Dimension,NNZ_per_row,Sparsity,Raw_Time
3,2,0.4,5.32e-07,
4,2,0.4,5.79e-07,
5,2,0.4,4.73e-07,
6,3,0.4,6.65e-07,
7,3,0.4,9.49e-07,
8,4,0.4,1.354e-06,
9,4,0.4,1.253e-06,
10,4,0.4,1.518e-06,
11,5,0.4,1.995e-06,
12,5,0.4,1.79e-06,
13,6,0.4,3.442e-06,
14,6,0.4,2.555e-06,
15,6,0.4,3.224e-06,
16,7,0.4,3.531e-06,
17,7,0.4,3.577e-06,
18,8,0.4,5.037e-06,
19,8,0.4,4.715e-06,
20,8,0.4,4.894e-06,
21,9,0.4,6.285e-06,
22,9,0.4,5.694e-06,
23,10,0.4,8.256e-06,
24,10,0.4,7.567e-06,
25,10,0.4,7.74e-06,
26,11,0.4,1.4365e-05,
27,11,0.4,1.2178e-05,
28,12,0.4,1.4868e-05,
29,12,0.4,1.221e-05,
30,12,0.4,1.7784e-05,
31,13,0.4,1.4563e-05,
32,13,0.4,1.4605e-05,
33,14,0.4,2.0328e-05,
34,14,0.4,1.8032e-05,
35,14,0.4,1.7542e-05,
36,15,0.4,2.5228e-05,
37,15,0.4,2.0763e-05,
38,16,0.4,2.922e-05,
39,16,0.4,2.5309e-05,
40,16,0.4,2.5278e-05,
41,17,0.4,5.2734e-05,
42,17,0.4,2.221e-05,
43,18,0.4,2.6104e-05,
44,18,0.4,2.0407e-05,
45,18,0.4,2.128e-05,
46,19,0.4,2.2743e-05,
47,19,0.4,2.2446e-05,
48,20,0.4,2.555e-05,
49,20,0.4,2.505e-05,
50,20,0.4,2.4763e-05,
51,21,0.4,3.0623e-05,
52,21,0.4,2.9065e-05,
53,22,0.4,3.6083e-05,
54,22,0.4,3.2634e-05,
55,22,0.4,3.0699e-05,
56,23,0.4,3.9024e-05,
57,23,0.4,3.5651e-05,
58,24,0.4,5.4541e-05,
59,24,0.4,4.1255e-05,
60,24,0.4,4.0243e-05,
61,25,0.4,4.4788e-05,
62,25,0.4,4.6543e-05,
63,26,0.4,4.9039e-05,
64,26,0.4,5.1241e-05,
65,26,0.4,5.0223e-05,
66,27,0.4,9.4317e-05,
67,27,0.4,5.8633e-05,
68,28,0.4,6.3328e-05,
69,28,0.4,5.9333e-05,
70,28,0.4,6.0318e-05,
71,29,0.4,6.7666e-05,
72,29,0.4,6.848e-05,
73,30,0.4,7.742e-05,
74,30,0.4,7.7297e-05,
75,30,0.4,7.8133e-05,
76,31,0.4,7.9244e-05,
77,31,0.4,8.1363e-05,
78,32,0.4,8.8572e-05,
79,32,0.4,9.0597e-05,
80,32,0.4,8.8836e-05,
81,33,0.4,9.8084e-05,
82,33,0.4,9.4792e-05,
83,34,0.4,0.000105281,
84,34,0.4,0.000106304,
85,34,0.4,0.000106399,
86,35,0.4,0.000117437,
87,35,0.4,0.00012035,
88,36,0.4,0.000125133,
89,36,0.4,0.000126247,
90,36,0.4,0.000125687,
91,37,0.4,0.000132694,
92,37,0.4,0.000133881,
93,38,0.4,0.000261844,
94,38,0.4,0.000201555,
95,38,0.4,0.00020935,
96,39,0.4,0.000159611,
97,39,0.4,0.000156357,
98,40,0.4,0.000166636,
99,40,0.4,0.000161751,
100,40,0.4,0.000167175,
101,41,0.4,0.000181502,
102,41,0.4,0.000330265,
103,42,0.4,0.000186973,
104,42,0.4,0.000187961,
105,42,0.4,0.000187461,
106,43,0.4,0.000202522,
107,43,0.4,0.000198659,
108,44,0.4,0.000211497,
109,44,0.4,0.000213078,
110,44,0.4,0.000214317,
111,45,0.4,0.000225215,
112,45,0.4,0.000221775,
113,46,0.4,0.000237289,
114,46,0.4,0.000233791,
115,46,0.4,0.000240554,
116,47,0.4,0.000254004,
117,47,0.4,0.000254463,
118,48,0.4,0.000261685,
119,48,0.4,0.000265587,
120,48,0.4,0.000266465,
121,49,0.4,0.000678262,
122,49,0.4,0.000675087,
123,50,0.4,0.000412137,
124,50,0.4,0.000414207,
125,50,0.4,0.000299177,
126,51,0.4,0.000310565,
127,51,0.4,0.00035447,
128,52,0.4,0.00033029,
129,52,0.4,0.000334928,
130,52,0.4,0.000316136,
131,53,0.4,0.000348273,
132,53,0.4,0.000342214,
133,54,0.4,0.00035239,
134,54,0.4,0.000362464,
135,54,0.4,0.000362349,
136,55,0.4,0.000383585,
137,55,0.4,0.000382744,
138,56,0.4,0.000396293,
139,56,0.4,0.000397683,
140,56,0.4,0.000401995,
141,57,0.4,0.000416729,
142,57,0.4,0.000453814,
143,58,0.4,0.000426805,
144,58,0.4,0.000433756,
145,58,0.4,0.000430795,
146,59,0.4,0.000459657,
147,59,0.4,0.000452925,
148,60,0.4,0.000481123,
149,60,0.4,0.000472882,
150,60,0.4,0.000490151,
151,61,0.4,0.000503218,
152,61,0.4,0.000498653,
153,62,0.4,0.000524548,
154,62,0.4,0.000529068,
155,62,0.4,0.000534029,
156,63,0.4,0.000545457,
157,63,0.4,0.000560994,
158,64,0.4,0.000582211,
159,64,0.4,0.000570205,
160,64,0.4,0.000630647,
161,65,0.4,0.000607382,
162,65,0.4,0.000599505,
163,66,0.4,0.00062605,
164,66,0.4,0.00062184,
165,66,0.4,0.000624182,
166,67,0.4,0.000645358,
167,67,0.4,0.000664622,
168,68,0.4,0.00068786,
169,68,0.4,0.0006761,
170,68,0.4,0.000677179,
171,69,0.4,0.000724758,
