Dimension,NNZ_per_row,Sparsity,Raw_Time
3,2,0.35,5.42e-07,
4,2,0.35,5.83e-07,
5,2,0.35,2.39e-07,
6,3,0.35,5.29e-07,
7,3,0.35,6.31e-07,
8,3,0.35,5.85e-07,
9,4,0.35,9.39e-07,
10,4,0.35,8.97e-07,
11,4,0.35,1.161e-06,
12,5,0.35,1.457e-06,
13,5,0.35,1.352e-06,
14,5,0.35,1.796e-06,
15,6,0.35,1.496e-06,
16,6,0.35,1.6e-06,
17,6,0.35,2.18e-06,
18,7,0.35,2.141e-06,
19,7,0.35,2.421e-06,
20,8,0.35,2.914e-06,
21,8,0.35,3.689e-06,
22,8,0.35,3.826e-06,
23,9,0.35,3.322e-06,
24,9,0.35,4.582e-06,
25,9,0.35,3.698e-06,
26,10,0.35,4.372e-06,
27,10,0.35,4.328e-06,
28,10,0.35,4.726e-06,
29,11,0.35,5.781e-06,
30,11,0.35,8.188e-06,
31,11,0.35,5.603e-06,
32,12,0.35,6.893e-06,
33,12,0.35,9.275e-06,
34,12,0.35,1.0034e-05,
35,13,0.35,1.2843e-05,
36,13,0.35,1.2594e-05,
37,13,0.35,8.683e-06,
38,14,0.35,9.526e-06,
39,14,0.35,9.562e-06,
40,15,0.35,1.8866e-05,
41,15,0.35,1.1538e-05,
42,15,0.35,1.1291e-05,
43,16,0.35,1.3891e-05,
44,16,0.35,1.3293e-05,
45,16,0.35,2.1394e-05,
46,17,0.35,1.6185e-05,
47,17,0.35,2.6949e-05,
48,17,0.35,1.5761e-05,
49,18,0.35,1.9348e-05,
50,18,0.35,1.8722e-05,
51,18,0.35,1.8836e-05,
52,19,0.35,3.7428e-05,
53,19,0.35,2.234e-05,
54,19,0.35,3.7126e-05,
55,20,0.35,2.6735e-05,
56,20,0.35,2.5327e-05,
57,20,0.35,2.7952e-05,
58,21,0.35,3.2749e-05,
59,21,0.35,3.1186e-05,
60,22,0.35,6.1629e-05,
61,22,0.35,3.4558e-05,
62,22,0.35,3.5304e-05,
63,23,0.35,3.9492e-05,
64,23,0.35,3.8688e-05,
65,23,0.35,3.859e-05,
66,24,0.35,4.5691e-05,
67,24,0.35,4.3155e-05,
68,24,0.35,4.6741e-05,
69,25,0.35,4.8339e-05,
70,25,0.35,8.4883e-05,
71,25,0.35,4.938e-05,
72,26,0.35,9.6273e-05,
73,26,0.35,5.5267e-05,
74,26,0.35,9.6986e-05,
75,27,0.35,6.0527e-05,
76,27,0.35,6.2712e-05,
77,27,0.35,5.9759e-05,
78,28,0.35,6.5628e-05,
79,28,0.35,6.9143e-05,
80,29,0.35,0.000130677,
81,29,0.35,7.128e-05,
82,29,0.35,7.2963e-05,
83,30,0.35,8.0303e-05,
84,30,0.35,7.9271e-05,
85,30,0.35,7.7825e-05,
86,31,0.35,8.7545e-05,
87,31,0.35,8.66e-05,
88,31,0.35,8.7248e-05,
89,32,0.35,0.000167651,
90,32,0.35,0.000174129,
91,32,0.35,0.000174672,
92,33,0.35,0.000103627,
93,33,0.35,0.000197768,
94,33,0.35,0.00018913,
95,34,0.35,0.000265949,
96,34,0.35,0.000473875,
97,34,0.35,0.000268641,
98,35,0.35,0.000195628,
99,35,0.35,0.000191511,
100,36,0.35,0.000200618,
101,36,0.35,0.000366435,
102,36,0.35,0.000376381,
103,37,0.35,0.000213546,
104,37,0.35,0.000260435,
105,37,0.35,0.00014762,
106,38,0.35,0.000151962,
107,38,0.35,0.000149568,
108,38,0.35,0.000155246,
109,39,0.35,0.000285371,
110,39,0.35,0.000298826,
111,39,0.35,0.00016328,
112,40,0.35,0.00017606,
113,40,0.35,0.000169722,
114,40,0.35,0.000221082,
115,41,0.35,0.000184966,
116,41,0.35,0.000191498,
