Dimension,NNZ_per_row,Sparsity,Raw_Time
3,1,0.15,1.67e-07,
4,1,0.15,1.72e-07,
5,1,0.15,4.43e-07,
6,1,0.15,1.73e-07,
7,2,0.15,5.26e-07,
8,2,0.15,3.09e-07,
9,2,0.15,3.32e-07,
10,2,0.15,4.3e-07,
11,2,0.15,4.41e-07,
12,2,0.15,3.69e-07,
13,2,0.15,4.69e-07,
14,3,0.15,6.55e-07,
15,3,0.15,6.22e-07,
16,3,0.15,8.33e-07,
17,3,0.15,8.04e-07,
18,3,0.15,8.55e-07,
19,3,0.15,8.25e-07,
20,3,0.15,1.179e-06,
21,4,0.15,1.334e-06,
22,4,0.15,1.36e-06,
23,4,0.15,1.41e-06,
24,4,0.15,1.271e-06,
25,4,0.15,1.178e-06,
26,4,0.15,1.311e-06,
27,5,0.15,1.6e-06,
28,5,0.15,1.842e-06,
29,5,0.15,1.701e-06,
30,5,0.15,2.022e-06,
31,5,0.15,2.494e-06,
32,5,0.15,1.751e-06,
33,5,0.15,2.627e-06,
34,6,0.15,3.451e-06,
35,6,0.15,2.283e-06,
36,6,0.15,2.593e-06,
37,6,0.15,2.44e-06,
38,6,0.15,4.874e-06,
39,6,0.15,3.72e-06,
40,6,0.15,2.952e-06,
41,7,0.15,4.552e-06,
42,7,0.15,3.597e-06,
43,7,0.15,5.248e-06,
44,7,0.15,4.826e-06,
45,7,0.15,3.834e-06,
46,7,0.15,4.919e-06,
47,8,0.15,4.903e-06,
48,8,0.15,4.984e-06,
49,8,0.15,7.368e-06,
50,8,0.15,5.323e-06,
51,8,0.15,5.172e-06,
52,8,0.15,4.939e-06,
53,8,0.15,5.724e-06,
54,9,0.15,1.0077e-05,
55,9,0.15,9.788e-06,
56,9,0.15,6.159e-06,
57,9,0.15,6.411e-06,
58,9,0.15,6.958e-06,
59,9,0.15,1.0403e-05,
60,9,0.15,1.0105e-05,
61,10,0.15,8.413e-06,
62,10,0.15,8.621e-06,
63,10,0.15,8.433e-06,
64,10,0.15,9.023e-06,
65,10,0.15,1.2879e-05,
66,10,0.15,1.346e-05,
67,11,0.15,1.5276e-05,
68,11,0.15,1.0877e-05,
69,11,0.15,1.0968e-05,
70,11,0.15,1.0377e-05,
71,11,0.15,1.6952e-05,
72,11,0.15,1.1133e-05,
73,11,0.15,1.1302e-05,
74,12,0.15,1.3931e-05,
75,12,0.15,1.3224e-05,
76,12,0.15,2.0863e-05,
77,12,0.15,1.321e-05,
78,12,0.15,2.1423e-05,
79,12,0.15,2.1172e-05,
80,12,0.15,2.1039e-05,
81,13,0.15,1.6283e-05,
82,13,0.15,1.5712e-05,
83,13,0.15,1.6626e-05,
84,13,0.15,2.5455e-05,
85,13,0.15,2.7354e-05,
86,13,0.15,2.5601e-05,
87,14,0.15,1.9576e-05,
88,14,0.15,3.2167e-05,
89,14,0.15,2.1073e-05,
90,14,0.15,1.9515e-05,
91,14,0.15,1.9383e-05,
92,14,0.15,1.9914e-05,
93,14,0.15,2.0177e-05,
94,15,0.15,2.2789e-05,
95,15,0.15,3.6096e-05,
96,15,0.15,2.3638e-05,
97,15,0.15,3.7636e-05,
98,15,0.15,3.6804e-05,
99,15,0.15,3.6731e-05,
100,16,0.15,3.027e-05,
101,16,0.15,4.5846e-05,
102,16,0.15,2.8584e-05,
103,16,0.15,2.7814e-05,
104,16,0.15,2.8502e-05,
105,16,0.15,4.5355e-05,
106,16,0.15,2.8634e-05,
107,17,0.15,4.1096e-05,
108,17,0.15,5.1293e-05,
109,17,0.15,3.2546e-05,
110,17,0.15,3.3923e-05,
111,17,0.15,5.3992e-05,
112,17,0.15,7.828e-05,
113,17,0.15,8.2791e-05,
114,18,0.15,9.3072e-05,
115,18,0.15,0.000153602,
116,18,0.15,8.4821e-05,
117,18,0.15,5.1306e-05,
118,18,0.15,8.7901e-05,
119,18,0.15,8.6836e-05,
120,18,0.15,5.2884e-05,
121,19,0.15,6.401e-05,
122,19,0.15,0.000100596,
123,19,0.15,5.8558e-05,
124,19,0.15,8.5135e-05,
125,19,0.15,7.7346e-05,
126,19,0.15,7.6855e-05,
127,20,0.15,5.5893e-05,
128,20,0.15,8.5609e-05,
129,20,0.15,5.3131e-05,
130,20,0.15,9.0699e-05,
131,20,0.15,9.2757e-05,
132,20,0.15,9.0434e-05,
133,20,0.15,9.1256e-05,
134,21,0.15,6.4664e-05,
135,21,0.15,9.5985e-05,
136,21,0.15,0.000124184,
137,21,0.15,6.6233e-05,
138,21,0.15,6.743e-05,
139,21,0.15,6.7113e-05,
140,21,0.15,6.7551e-05,
141,22,0.15,7.6266e-05,
142,22,0.15,0.00012884,
143,22,0.15,0.000135133,
144,22,0.15,7.4644e-05,
145,22,0.15,7.5415e-05,
146,22,0.15,7.5175e-05,
147,23,0.15,0.00015929,
148,23,0.15,9.0709e-05,
149,23,0.15,0.00015199,
150,23,0.15,9.3149e-05,
151,23,0.15,8.5337e-05,
152,23,0.15,8.6356e-05,
153,23,0.15,9.4572e-05,
154,24,0.15,9.7834e-05,
155,24,0.15,9.9854e-05,
156,24,0.15,9.4469e-05,
157,24,0.15,0.000169673,
158,24,0.15,9.1645e-05,
159,24,0.15,0.000178432,
160,24,0.15,0.000174583,
161,25,0.15,0.000104596,
162,25,0.15,0.000104084,
163,25,0.15,0.000109724,
164,25,0.15,0.000102593,
165,25,0.15,0.000104703,
166,25,0.15,0.000107707,
167,26,0.15,0.000125095,
168,26,0.15,0.000209252,
169,26,0.15,0.000211263,
170,26,0.15,0.000116009,
171,26,0.15,0.00011732,
172,26,0.15,0.000229211,
173,26,0.15,0.000114144,
174,27,0.15,0.000123964,
175,27,0.15,0.000227505,
176,27,0.15,0.000123422,
177,27,0.15,0.000125995,
178,27,0.15,0.000231037,
179,27,0.15,0.000141663,
180,28,0.15,0.000141352,
181,28,0.15,0.000264869,
182,28,0.15,0.000148694,
183,28,0.15,0.000152694,
184,28,0.15,0.000287495,
185,28,0.15,0.000154314,
186,28,0.15,0.000276986,
187,29,0.15,0.000290996,
188,29,0.15,0.000168301,
189,29,0.15,0.000152924,
190,29,0.15,0.000152623,
191,29,0.15,0.000170789,
192,29,0.15,0.000153756,
193,29,0.15,0.00025882,
194,30,0.15,0.00017711,
195,30,0.15,0.00031165,
196,30,0.15,0.000176928,
197,30,0.15,0.000171485,
198,30,0.15,0.000167493,
199,30,0.15,0.000184352,
200,31,0.15,0.000187887,
201,31,0.15,0.000198279,
202,31,0.15,0.000193467,
203,31,0.15,0.00019613,
204,31,0.15,0.000383624,
205,31,0.15,0.000189188,
206,31,0.15,0.000192223,
207,32,0.15,0.000204863,
208,32,0.15,0.00019909,
209,32,0.15,0.000219383,
210,32,0.15,0.000212329,
211,32,0.15,0.000225665,
212,32,0.15,0.000213955,
213,32,0.15,0.000212553,
214,33,0.15,0.000237612,
215,33,0.15,0.000225895,
216,33,0.15,0.000442067,
217,33,0.15,0.000215295,
218,33,0.15,0.000229973,
219,33,0.15,0.000427858,
220,33,0.15,0.000444209,
221,34,0.15,0.0002586,
222,34,0.15,0.00025183,
223,34,0.15,0.00025675,
224,34,0.15,0.000239656,
225,34,0.15,0.000245912,
226,34,0.15,0.000255941,
227,35,0.15,0.000255963,
228,35,0.15,0.000267847,
229,35,0.15,0.0003563,
230,35,0.15,0.000276742,
231,35,0.15,0.0002715,
232,35,0.15,0.000277132,
233,35,0.15,0.000258414,
234,36,0.15,0.000542653,
235,36,0.15,0.000419318,
236,36,0.15,0.000304061,
237,36,0.15,0.000288488,
238,36,0.15,0.000330155,
239,36,0.15,0.000570349,
240,36,0.15,0.000290055,
241,37,0.15,0.000294968,
242,37,0.15,0.000572442,
