Dimension,NNZ_per_row,Sparsity,Raw_Time
195,20,0.1,7.3419e-05,
196,20,0.1,8.0368e-05,
197,20,0.1,0.000125684,
198,20,0.1,7.3914e-05,
199,20,0.1,7.585e-05,
200,20,0.1,8.185e-05,
201,21,0.1,9.5055e-05,
202,21,0.1,9.6056e-05,
203,21,0.1,0.000186159,
204,21,0.1,0.000182159,
205,21,0.1,0.000185282,
206,21,0.1,0.000106331,
207,21,0.1,0.00010587,
208,21,0.1,9.7898e-05,
209,21,0.1,0.000165221,
210,21,0.1,0.000186565,
211,22,0.1,0.000105351,
212,22,0.1,0.000111457,
213,22,0.1,0.000110341,
214,22,0.1,0.000112558,
215,22,0.1,0.000118764,
216,22,0.1,0.000115296,
217,22,0.1,0.000157608,
218,22,0.1,0.000109311,
219,22,0.1,0.000206756,
220,22,0.1,0.000115547,
221,23,0.1,0.000119195,
222,23,0.1,0.000119713,
223,23,0.1,0.000120109,
224,23,0.1,0.000131157,
225,23,0.1,0.000218043,
226,23,0.1,0.000122673,
227,23,0.1,0.000131512,
228,23,0.1,0.000247745,
229,23,0.1,0.000140697,
230,23,0.1,0.000133866,
231,24,0.1,0.000148933,
232,24,0.1,0.000270356,
233,24,0.1,0.00014672,
234,24,0.1,0.000151471,
235,24,0.1,0.000151978,
236,24,0.1,0.00027763,
237,24,0.1,0.000259458,
238,24,0.1,0.000259243,
239,24,0.1,0.000254816,
240,24,0.1,0.00018991,
241,25,0.1,0.000155066,
242,25,0.1,0.000279796,
243,25,0.1,0.000154787,
244,25,0.1,0.000300384,
245,25,0.1,0.000167543,
246,25,0.1,0.000167933,
247,25,0.1,0.000158347,
248,25,0.1,0.00017045,
249,25,0.1,0.000292411,
250,25,0.1,0.000304013,
251,26,0.1,0.000319673,
252,26,0.1,0.000168732,
253,26,0.1,0.000176013,
254,26,0.1,0.000190868,
255,26,0.1,0.000178217,
256,26,0.1,0.000305415,
257,26,0.1,0.000181484,
258,26,0.1,0.000309706,
259,26,0.1,0.000182306,
260,26,0.1,0.000322244,
261,27,0.1,0.000185177,
262,27,0.1,0.000200776,
263,27,0.1,0.000187951,
264,27,0.1,0.000364301,
265,27,0.1,0.000186557,
266,27,0.1,0.000364686,
267,27,0.1,0.000298267,
268,27,0.1,0.000210011,
269,27,0.1,0.000195049,
270,27,0.1,0.000370286,
271,28,0.1,0.000349419,
272,28,0.1,0.000219742,
273,28,0.1,0.000216033,
274,28,0.1,0.000392468,
275,28,0.1,0.000225214,
276,28,0.1,0.000218347,
277,28,0.1,0.000380226,
278,28,0.1,0.000212389,
279,28,0.1,0.000217617,
280,28,0.1,0.000379004,
281,29,0.1,0.000414158,
282,29,0.1,0.000331568,
283,29,0.1,0.0002517,
284,29,0.1,0.000249579,
285,29,0.1,0.000235643,
286,29,0.1,0.000364795,
287,29,0.1,0.00025637,
288,29,0.1,0.000234971,
289,29,0.1,0.000234504,
290,29,0.1,0.000254885,
291,30,0.1,0.000251677,
292,30,0.1,0.0004824,
293,30,0.1,0.000270963,
294,30,0.1,0.000469258,
295,30,0.1,0.000483179,
296,30,0.1,0.000260342,
297,30,0.1,0.000295411,
298,30,0.1,0.000259831,
299,30,0.1,0.000266534,
300,30,0.1,0.000278649,
301,31,0.1,0.000423415,
302,31,0.1,0.000265527,
303,31,0.1,0.000532931,
304,31,0.1,0.00027838,
305,31,0.1,0.000293626,
306,31,0.1,0.000281797,
307,31,0.1,0.000306408,
308,31,0.1,0.000275533,
309,31,0.1,0.000432395,
310,31,0.1,0.000274907,
311,32,0.1,0.000292443,
312,32,0.1,0.000518604,
313,32,0.1,0.000418744,
314,32,0.1,0.000332489,
315,32,0.1,0.000309869,
316,32,0.1,0.000582544,
317,32,0.1,0.000319088,
318,32,0.1,0.000561494,
319,32,0.1,0.000316257,
320,32,0.1,0.000450109,
321,33,0.1,0.000355615,
322,33,0.1,0.000341396,
323,33,0.1,0.000316623,
324,33,0.1,0.000333265,
325,33,0.1,0.000534016,
326,33,0.1,0.000343785,
327,33,0.1,0.000347146,
328,33,0.1,0.000614942,
329,33,0.1,0.000642274,
330,33,0.1,0.000340992,
331,34,0.1,0.000362616,
332,34,0.1,0.000376015,
333,34,0.1,0.000368786,
334,34,0.1,0.000359923,
335,34,0.1,0.000388467,
336,34,0.1,0.000354958,
337,34,0.1,0.000367645,
338,34,0.1,0.000356481,
339,34,0.1,0.000374498,
340,34,0.1,0.000389782,
341,35,0.1,0.000398325,
342,35,0.1,0.000689808,
343,35,0.1,0.000481444,
344,35,0.1,0.000390925,
345,35,0.1,0.000393489,
346,35,0.1,0.000400112,
347,35,0.1,0.000410097,
348,35,0.1,0.000391918,
349,35,0.1,0.000396591,
350,35,0.1,0.000622524,
351,36,0.1,0.00066816,
352,36,0.1,0.000405431,
353,36,0.1,0.000425989,
354,36,0.1,0.000820631,
355,36,0.1,0.000411003,
356,36,0.1,0.000418009,
357,36,0.1,0.000695125,
358,36,0.1,0.000801177,
359,36,0.1,0.000436798,
360,36,0.1,0.000429721,
361,37,0.1,0.000452653,
362,37,0.1,0.000858617,
363,37,0.1,0.0004582,
364,37,0.1,0.000458982,
365,37,0.1,0.000619634,
366,37,0.1,0.000461614,
367,37,0.1,0.000461145,
368,37,0.1,0.000486956,
369,37,0.1,0.000472054,
370,37,0.1,0.000447113,
371,38,0.1,0.000483785,
372,38,0.1,0.000934764,
373,38,0.1,0.000624046,
374,38,0.1,0.000506654,
375,38,0.1,0.000504659,
376,38,0.1,0.000492172,
377,38,0.1,0.000515406,
378,38,0.1,0.000480291,
379,38,0.1,0.000526693,
380,38,0.1,0.00048744,
381,39,0.1,0.000926079,
382,39,0.1,0.000634662,
383,39,0.1,0.000515298,
384,39,0.1,0.000542004,
385,39,0.1,0.000513821,
386,39,0.1,0.000543638,
387,39,0.1,0.000530452,
388,39,0.1,0.000528104,
389,39,0.1,0.000532092,
390,39,0.1,0.000546106,
391,40,0.1,0.000548851,
392,40,0.1,0.000566127,
393,40,0.1,0.000729102,
394,40,0.1,0.000559839,
395,40,0.1,0.000564141,
396,40,0.1,0.000554238,
397,40,0.1,0.000574041,
398,40,0.1,0.000563219,
399,40,0.1,0.000560844,
400,40,0.1,0.000576382,
401,41,0.1,0.000615101,
402,41,0.1,0.000608441,
403,41,0.1,0.000806753,
404,41,0.1,0.000610096,
405,41,0.1,0.000620079,
406,41,0.1,0.000600317,
407,41,0.1,0.00105383,
408,41,0.1,0.000606851,
409,41,0.1,0.000783045,
410,41,0.1,0.000653583,
411,42,0.1,0.000640572,
412,42,0.1,0.000634626,
413,42,0.1,0.000648371,
414,42,0.1,0.000713666,
415,42,0.1,0.000636968,
416,42,0.1,0.000628196,
417,42,0.1,0.000755971,
418,42,0.1,0.000652388,
419,42,0.1,0.000833871,
420,42,0.1,0.000636916,
421,43,0.1,0.000859748,
422,43,0.1,0.00067032,
423,43,0.1,0.000689577,
424,43,0.1,0.000686981,
425,43,0.1,0.000691136,
426,43,0.1,0.000687407,
427,43,0.1,0.000696501,
428,43,0.1,0.000689397,
429,43,0.1,0.000692766,
430,43,0.1,0.00127936,
431,44,0.1,0.00073861,
432,44,0.1,0.00101533,
433,44,0.1,0.000731655,
434,44,0.1,0.000725793,
435,44,0.1,0.00073542,
436,44,0.1,0.00104313,
437,44,0.1,0.000735915,
438,44,0.1,0.00143329,
439,44,0.1,0.00119005,
440,44,0.1,0.000763142,
441,45,0.1,0.000774656,
442,45,0.1,0.000760105,
443,45,0.1,0.000764802,
444,45,0.1,0.000769979,
445,45,0.1,0.000880982,
446,45,0.1,0.000780264,
447,45,0.1,0.00116754,
448,45,0.1,0.000785352,
449,45,0.1,0.000793788,
450,45,0.1,0.000781213,
451,46,0.1,0.00142077,
452,46,0.1,0.000829097,
453,46,0.1,0.000836621,
454,46,0.1,0.00161525,
455,46,0.1,0.000827665,
456,46,0.1,0.000828082,
457,46,0.1,0.000821144,
458,46,0.1,0.000836906,
459,46,0.1,0.000829796,
