Dimension,NNZ_per_row,Sparsity,Raw_Time
3,2,0.55,4.58e-07,
4,3,0.55,3.16e-07,
5,3,0.55,5.62e-07,
6,4,0.55,5.19e-07,
7,4,0.55,7.67e-07,
8,5,0.55,1.166e-06,
9,5,0.55,8.82e-07,
10,6,0.55,1.57e-06,
11,7,0.55,1.955e-06,
12,7,0.55,1.697e-06,
13,8,0.55,2.978e-06,
14,8,0.55,2.152e-06,
15,9,0.55,2.926e-06,
16,9,0.55,2.629e-06,
17,10,0.55,3.636e-06,
18,10,0.55,3.542e-06,
19,11,0.55,4.567e-06,
20,12,0.55,5.513e-06,
21,12,0.55,4.835e-06,
22,13,0.55,6.369e-06,
23,13,0.55,6.316e-06,
24,14,0.55,7.694e-06,
25,14,0.55,7.471e-06,
26,15,0.55,8.948e-06,
27,15,0.55,8.475e-06,
28,16,0.55,1.0514e-05,
29,16,0.55,1.0492e-05,
30,17,0.55,1.2585e-05,
31,18,0.55,1.457e-05,
32,18,0.55,1.4245e-05,
33,19,0.55,1.5977e-05,
34,19,0.55,1.7263e-05,
35,20,0.55,1.9334e-05,
36,20,0.55,1.9398e-05,
37,21,0.55,3.36e-05,
38,21,0.55,2.1538e-05,
39,22,0.55,4.002e-05,
40,23,0.55,2.7174e-05,
41,23,0.55,4.2592e-05,
42,24,0.55,2.9666e-05,
43,24,0.55,3.062e-05,
44,25,0.55,3.3862e-05,
45,25,0.55,5.6659e-05,
46,26,0.55,3.7763e-05,
47,26,0.55,9.1799e-05,
48,27,0.55,0.000162009,
49,27,0.55,0.000158946,
50,28,0.55,0.00010786,
51,29,0.55,0.000116827,
52,29,0.55,0.000199086,
53,30,0.55,0.00012736,
54,30,0.55,0.000127768,
55,31,0.55,0.000140027,
56,31,0.55,0.000236352,
57,32,0.55,7.2677e-05,
58,32,0.55,7.2771e-05,
59,33,0.55,8.1531e-05,
60,34,0.55,8.4576e-05,
61,34,0.55,0.000139927,
62,35,0.55,9.2876e-05,
63,35,0.55,9.4366e-05,
64,36,0.55,0.000173544,
65,36,0.55,0.000174155,
66,37,0.55,0.000107849,
67,37,0.55,0.000188022,
