Dimension,NNZ_per_row,Sparsity,Raw_Time
3,3,0.95,5.92e-07,
4,4,0.95,4.99e-07,
5,5,0.95,7.28e-07,
6,6,0.95,8.85e-07,
7,7,0.95,1.176e-06,
8,8,0.95,1.628e-06,
9,9,0.95,1.892e-06,
10,10,0.95,1.988e-06,
11,11,0.95,3.095e-06,
12,12,0.95,2.733e-06,
13,13,0.95,4.766e-06,
14,14,0.95,5.56e-06,
15,15,0.95,4.527e-06,
16,16,0.95,7.876e-06,
17,17,0.95,5.983e-06,
18,18,0.95,1.5719e-05,
19,19,0.95,1.8499e-05,
20,20,0.95,2.1137e-05,
21,20,0.95,4.2182e-05,
22,21,0.95,5.1444e-05,
23,22,0.95,5.5441e-05,
24,23,0.95,4.186e-05,
25,24,0.95,6.8667e-05,
26,25,0.95,4.9385e-05,
27,26,0.95,8.7703e-05,
28,27,0.95,6.0415e-05,
29,28,0.95,0.000104537,
30,29,0.95,7.3141e-05,
31,30,0.95,9.6998e-05,
32,31,0.95,8.8329e-05,
33,32,0.95,0.000155679,
34,33,0.95,0.000196463,
35,34,0.95,0.000108435,
36,35,0.95,0.000145295,
37,36,0.95,0.000127322,
38,37,0.95,0.000138401,
39,38,0.95,0.000252674,
40,39,0.95,0.000216562,
41,39,0.95,0.000279419,
42,40,0.95,0.000296504,
43,41,0.95,0.000287276,
44,42,0.95,0.000225967,
45,43,0.95,0.000359074,
46,44,0.95,0.000170381,
47,45,0.95,0.000175916,
48,46,0.95,0.000109571,
49,47,0.95,0.000115225,
50,48,0.95,0.000121646,
51,49,0.95,0.000129207,
52,50,0.95,0.000218804,
53,51,0.95,0.000244319,
54,52,0.95,0.0002496,
55,53,0.95,0.000157589,
56,54,0.95,0.000287357,
57,55,0.95,0.000184362,
58,56,0.95,0.000266362,
59,57,0.95,0.000288533,
60,58,0.95,0.000239222,
61,58,0.95,0.000294957,
62,59,0.95,0.000214523,
63,60,0.95,0.000379009,
64,61,0.95,0.000235098,
65,62,0.95,0.000259363,
66,63,0.95,0.00025611,
67,64,0.95,0.000438973,
68,65,0.95,0.000496673,
69,66,0.95,0.000303993,
70,67,0.95,0.000417522,
71,68,0.95,0.000317039,
72,69,0.95,0.000327098,
73,70,0.95,0.000494345,
74,71,0.95,0.000354241,
75,72,0.95,0.000513706,
76,73,0.95,0.000525121,
77,74,0.95,0.000398905,
78,75,0.95,0.000417545,
79,76,0.95,0.000696476,
80,77,0.95,0.000729388,
81,77,0.95,0.000600607,
82,78,0.95,0.000554989,
83,79,0.95,0.000484929,
84,80,0.95,0.000499946,
85,81,0.95,0.000514156,
86,82,0.95,0.000809427,
87,83,0.95,0.000670769,
88,84,0.95,0.000906376,
89,85,0.95,0.000588959,
90,86,0.95,0.000672116,
91,87,0.95,0.000920884,
92,88,0.95,0.000715424,
93,89,0.95,0.00066798,
94,90,0.95,0.00109717,
95,91,0.95,0.000882594,
96,92,0.95,0.000743987,
97,93,0.95,0.000757601,
98,94,0.95,0.0010126,
99,95,0.95,0.000995909,
100,96,0.95,0.00107968,
101,96,0.95,0.000860617,
102,97,0.95,0.000950956,
103,98,0.95,0.0010106,
