Dimension,NNZ_per_row,Sparsity,Raw_Time
3,3,0.75,1.347e-06,
4,4,0.75,1.179e-06,
5,4,0.75,1.457e-06,
6,5,0.75,1.745e-06,
7,6,0.75,2.969e-06,
8,7,0.75,4.317e-06,
9,7,0.75,4.648e-06,
10,8,0.75,6.153e-06,
11,9,0.75,7.976e-06,
12,10,0.75,7.197e-06,
13,10,0.75,1.0983e-05,
14,11,0.75,8.32e-06,
15,12,0.75,1.0665e-05,
16,13,0.75,1.7455e-05,
17,13,0.75,1.2111e-05,
18,14,0.75,2.1945e-05,
19,15,0.75,1.7144e-05,
20,16,0.75,2.3618e-05,
21,16,0.75,3.5774e-05,
22,17,0.75,2.6607e-05,
23,18,0.75,2.7306e-05,
24,19,0.75,4.7417e-05,
25,19,0.75,3.6513e-05,
26,20,0.75,3.6536e-05,
27,21,0.75,6.463e-05,
28,22,0.75,4.3079e-05,
29,22,0.75,7.1845e-05,
30,23,0.75,7.6557e-05,
31,24,0.75,8.7969e-05,
32,25,0.75,9.8045e-05,
33,25,0.75,9.9916e-05,
34,26,0.75,0.000110825,
35,27,0.75,7.4993e-05,
36,28,0.75,8.3576e-05,
37,28,0.75,7.8374e-05,
38,29,0.75,8.7319e-05,
39,30,0.75,5.6844e-05,
40,31,0.75,6.2281e-05,
41,31,0.75,0.000104478,
42,32,0.75,6.7411e-05,
43,33,0.75,0.000120711,
44,34,0.75,7.9942e-05,
45,34,0.75,7.7813e-05,
46,35,0.75,0.000141031,
47,36,0.75,0.000107104,
48,37,0.75,0.000164855,
49,37,0.75,0.000164316,
50,38,0.75,0.000178623,
51,39,0.75,0.000113311,
52,40,0.75,0.000120575,
53,40,0.75,0.000123946,
54,41,0.75,0.000123861,
55,42,0.75,0.000103653,
56,43,0.75,0.000181204,
57,43,0.75,0.000111532,
58,44,0.75,0.000115778,
59,45,0.75,0.000124515,
60,46,0.75,0.000133442,
61,46,0.75,0.000134472,
62,47,0.75,0.000141406,
63,48,0.75,0.000249408,
64,49,0.75,0.000155675,
65,49,0.75,0.000157036,
66,50,0.75,0.000165957,
67,51,0.75,0.000290664,
68,52,0.75,0.000185379,
69,52,0.75,0.000306824,
70,53,0.75,0.000192109,
71,54,0.75,0.000298959,
72,55,0.75,0.000216823,
73,55,0.75,0.00035535,
74,56,0.75,0.000216001,
75,57,0.75,0.00023637,
76,58,0.75,0.000238882,
77,58,0.75,0.000337734,
78,59,0.75,0.00026095,
79,60,0.75,0.000411447,
80,61,0.75,0.000409421,
81,61,0.75,0.000502247,
82,62,0.75,0.000300426,
83,63,0.75,0.000308884,
84,64,0.75,0.000329059,
85,64,0.75,0.000390735,
86,65,0.75,0.000340792,
87,66,0.75,0.000361258,
88,67,0.75,0.000366439,
89,67,0.75,0.000553394,
90,68,0.75,0.000549345,
91,69,0.75,0.000403975,
92,70,0.75,0.000570109,
93,70,0.75,0.0004198,
94,71,0.75,0.00047251,
95,72,0.75,0.000454417,
96,73,0.75,0.000463668,
97,73,0.75,0.000461264,
98,74,0.75,0.00072807,
99,75,0.75,0.000500527,
100,76,0.75,0.000511901,
101,76,0.75,0.000806256,
102,77,0.75,0.000531026,
103,78,0.75,0.000888828,
104,79,0.75,0.000685937,
105,79,0.75,0.000592226,
106,80,0.75,0.000606186,
107,81,0.75,0.000976757,
108,82,0.75,0.00064966,
109,82,0.75,0.000904623,
110,83,0.75,0.000959773,
111,84,0.75,0.000720066,
112,85,0.75,0.00071441,
113,85,0.75,0.000724542,
114,86,0.75,0.00075211,
115,87,0.75,0.000762637,
116,88,0.75,0.000766258,
117,88,0.75,0.000770817,
118,89,0.75,0.000792312,
119,90,0.75,0.000815658,
120,91,0.75,0.000881196,
121,91,0.75,0.000850795,
122,92,0.75,0.000929514,
123,93,0.75,0.000964254,
124,94,0.75,0.000981242,
125,94,0.75,0.00119147,
126,95,0.75,0.00115309,
127,96,0.75,0.00109749,
128,97,0.75,0.00101439,
129,97,0.75,0.00102169,
130,98,0.75,0.00105613,
131,99,0.75,0.00138703,
132,100,0.75,0.0011341,
133,100,0.75,0.00133106,
134,101,0.75,0.00113209,
135,102,0.75,0.00120755,
136,103,0.75,0.00120633,
137,103,0.75,0.00153009,
138,104,0.75,0.00127795,
139,105,0.75,0.00125802,
140,106,0.75,0.00159233,
141,106,0.75,0.00159286,
142,107,0.75,0.00135001,
143,108,0.75,0.00138682,
144,109,0.75,0.00151823,
145,109,0.75,0.00160577,
146,110,0.75,0.00156547,
147,111,0.75,0.00162544,
148,112,0.75,0.00189685,
149,112,0.75,0.00154469,
150,113,0.75,0.00157953,
151,114,0.75,0.0018681,
152,115,0.75,0.00164909,
153,115,0.75,0.00168246,
154,116,0.75,0.00183136,
155,117,0.75,0.00178343,
156,118,0.75,0.0017853,
157,118,0.75,0.00191918,
158,119,0.75,0.00181687,
159,120,0.75,0.0019532,
160,121,0.75,0.0020686,
161,121,0.75,0.00209483,
162,122,0.75,0.00256904,
163,123,0.75,0.00201115,
164,124,0.75,0.00217473,
165,124,0.75,0.00204691,
166,125,0.75,0.00224519,
167,126,0.75,0.00239476,
168,127,0.75,0.00223389,
169,127,0.75,0.00220934,
170,128,0.75,0.00225731,
171,129,0.75,0.00231325,
172,130,0.75,0.00235912,
173,130,0.75,0.00237626,
174,131,0.75,0.0024237,
175,132,0.75,0.0024751,
176,133,0.75,0.00267459,
177,133,0.75,0.00287097,
178,134,0.75,0.00255544,
179,135,0.75,0.00267115,
180,136,0.75,0.00280471,
181,136,0.75,0.00281285,
182,137,0.75,0.00272544,
183,138,0.75,0.00294242,
184,139,0.75,0.0029294,
185,139,0.75,0.00284824,
186,140,0.75,0.00291752,
187,141,0.75,0.00298673,
188,142,0.75,0.00302457,
189,142,0.75,0.0031345,
190,143,0.75,0.00314564,
191,144,0.75,0.00313631,
192,145,0.75,0.00321327,
193,145,0.75,0.00325242,
194,146,0.75,0.00329514,
195,147,0.75,0.003575,
196,148,0.75,0.00348836,
197,148,0.75,0.00342645,
198,149,0.75,0.00352707,
199,150,0.75,0.00368,
200,151,0.75,0.00362427,
201,151,0.75,0.00383321,
202,152,0.75,0.00373687,
203,153,0.75,0.00385166,
204,154,0.75,0.0038954,
205,154,0.75,0.00393692,
206,155,0.75,0.00389974,
207,156,0.75,0.00395163,
208,157,0.75,0.00402474,
209,157,0.75,0.00404836,
210,158,0.75,0.00414732,
