Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14,Unzipper_Time24,Unzipper_Time25,Unzipper_Time33,Unzipper_Time34,Unzipper_Time35
428,25,10,0.00167199,0.00163733,0.00174994,0.00170711,0.0016409,0.00165307,0.0174704,0.0175444,0.00855121,0.00132866,0.00150609
546,25,10,0.00369953,0.00327762,0.00349324,0.00384382,0.00329211,0.00332727,0.0351964,0.0354984,0.0178019,0.00284562,0.00313697
695,25,10,0.00677833,0.00643761,0.00699829,0.0071451,0.00645012,0.0076508,0.0707076,0.0707129,0.0342653,0.00551292,0.00552653
886,25,10,0.0138201,0.0138919,0.0140249,0.0133101,0.0137045,0.0135347,0.145189,0.145414,0.0686613,0.011279,0.0113687
1129,25,10,0.027258,0.0266839,0.0279163,0.0272043,0.026716,0.0267625,0.296948,0.296905,0.140339,0.0232158,0.022747
1438,25,10,0.0550226,0.0533553,0.055534,0.0541548,0.0540729,0.0540852,0.609445,0.6099,0.281617,0.0492813,0.0468742
1833,25,10,0.112932,0.111776,0.114151,0.111089,0.111279,0.112011,1.25509,1.26659,0.580097,0.103012,0.0980073
2336,25,10,0.230611,0.224898,0.234801,0.225556,0.226285,0.229248,2.57701,2.5904,1.18683,0.211791,0.199843
2976,25,10,0.483999,0.461735,0.486572,0.462547,0.461872,0.481586,5.30409,5.33206,2.43909,0.437677,0.410963
3793,25,10,0.995076,0.950288,1.00699,0.950713,0.94742,0.997897,10.9988,11.3837,5.02839,0.910341,0.854777
4833,25,10,2.05755,1.95169,2.07375,1.95209,1.95271,2.05703,24.1138,24.8453,10.3655,1.91582,1.7683
6158,25,10,4.23333,4.01427,4.26744,4.01816,4.01979,4.23498,51.9875,53.4706,21.7435,4.20494,3.65531
7848,25,10,8.86383,8.11952,9.093,8.26322,8.27716,9.04981,110.224,112.353,45.3962,8.49173,7.51914
10000,25,10,19.0714,17.0637,19.1835,17.0869,16.8883,19.0176,228.856,233.858,101.363,17.8368,15.5564
100,25,25,6.0658e-05,5.6806e-05,6.3038e-05,6.0766e-05,5.7866e-05,5.7765e-05,0.000328974,0.000356232,0.00034252,0.000106939,5.8391e-05
127,25,25,0.000114339,0.000110009,0.000119211,0.000224764,0.000111776,0.000111763,0.00063368,0.000622676,0.000642646,0.000210788,0.000153259
162,25,25,0.000224362,0.000406917,0.000230985,0.000227072,0.000212753,0.00021303,0.00121714,0.00163216,0.00211814,0.000217443,0.000215268
207,25,25,0.000678341,0.000418835,0.000435067,0.000738207,0.000416451,0.000415468,0.00239937,0.00247871,0.0024341,0.000419639,0.000418819
264,25,25,0.00103013,0.000823311,0.000862486,0.000852449,0.000829745,0.000826076,0.0049815,0.00473766,0.00531317,0.00083983,0.000827899
336,25,25,0.00168335,0.00162702,0.00171767,0.00169232,0.00163364,0.00164918,0.0102546,0.00942169,0.00967685,0.00167405,0.00163997
428,25,25,0.0038429,0.00361666,0.00348085,0.0033943,0.00331659,0.00333948,0.0190957,0.0189393,0.019874,0.00337953,0.00333197
546,25,25,0.00721005,0.00671097,0.00701882,0.00687407,0.00674707,0.00688437,0.0385668,0.0385877,0.0397312,0.00690074,0.00714104
695,25,25,0.0142531,0.0138896,0.0142516,0.0139407,0.0138193,0.0138795,0.0780187,0.0792994,0.0806227,0.0139866,0.014094
886,25,25,0.0293693,0.0286561,0.0291472,0.0284549,0.0286616,0.0285118,0.160098,0.160761,0.164538,0.0287816,0.0284303
1129,25,25,0.0597944,0.0582775,0.0598378,0.0583945,0.0580917,0.0585237,0.328226,0.329034,0.336287,0.0588586,0.0591653
1438,25,25,0.123153,0.118491,0.122786,0.119099,0.119191,0.121037,0.67153,0.677421,0.689612,0.121291,0.118453
1833,25,25,0.256062,0.243807,0.256446,0.245637,0.24581,0.253243,1.3919,1.40573,1.42609,0.253747,0.244531
2336,25,25,0.528813,0.502201,0.531363,0.503472,0.50558,0.525293,2.86537,2.88925,2.9331,0.526919,0.50245
2976,25,25,1.09333,1.03768,1.09685,1.03638,1.03871,1.08755,5.90027,5.98011,6.03687,1.09066,1.03692
3793,25,25,2.25223,2.14916,2.26928,2.14395,2.14994,2.24872,12.2093,12.8147,12.5252,2.25552,2.15054
4833,25,25,4.76692,4.43604,4.77867,4.4286,4.43934,4.76526,26.1113,28.376,26.74,4.75858,4.43444
6158,25,25,10.1192,9.1822,9.95763,8.97986,9.19277,10.0867,57.7237,59.6738,59.2251,10.0112,9.12149
7848,25,25,21.3391,18.9012,21.419,18.9146,18.5966,21.3142,121.657,124.978,124.769,21.3944,18.9197
10000,25,25,44.9465,39.1177,44.5927,38.782,38.8482,44.7975,251.922,259.442,259.315,44.8863,39.134
100,25,50,8.6329e-05,8.1756e-05,8.7973e-05,8.5633e-05,8.426e-05,8.0864e-05,0.000362631,0.0003782,0.000590327,0.000118776,0.000187161
127,25,50,0.000233978,0.000159508,0.000171827,0.000165909,0.000161554,0.000159409,0.00069697,0.000677482,0.00119367,0.000231929,0.000360665
162,25,50,0.000383376,0.000326942,0.000333731,0.000329189,0.000332187,0.000316574,0.00133097,0.00152277,0.00235281,0.000435925,0.000429023
207,25,50,0.000676496,0.000651557,0.000714819,0.000675615,0.00105013,0.000648261,0.00271953,0.00276286,0.00526469,0.000866487,0.000854309
264,25,50,0.00150263,0.00127743,0.00136384,0.00130512,0.00129551,0.00128914,0.00523724,0.00522077,0.00931052,0.00169878,0.00175815
336,25,50,0.0028897,0.00290083,0.00273538,0.002663,0.00263891,0.00263822,0.0105986,0.0104835,0.0195151,0.00339983,0.00387283
428,25,50,0.00573972,0.00546818,0.00560784,0.00551234,0.00558367,0.00544091,0.0216262,0.0212182,0.0381043,0.00740333,0.0071793
546,25,50,0.0114903,0.0112049,0.0114614,0.0111189,0.0110741,0.0111945,0.0444366,0.0431815,0.0783033,0.0139015,0.0148986
695,25,50,0.023457,0.0226066,0.0234388,0.0225538,0.0226636,0.0228344,0.0888877,0.0879139,0.157526,0.0281931,0.0286896
886,25,50,0.0479153,0.0462862,0.0478138,0.0463647,0.0467414,0.0469421,0.18111,0.179468,0.324159,0.0575972,0.0594115
1129,25,50,0.0983336,0.0954659,0.0990493,0.095889,0.0962899,0.0976876,0.368512,0.37137,0.666632,0.119645,0.119273
1438,25,50,0.207964,0.196925,0.207125,0.197043,0.198721,0.20421,0.75521,0.770082,1.37704,0.243374,0.241054
1833,25,50,0.432711,0.4068,0.432267,0.406555,0.409143,0.427741,1.56966,1.5919,2.84351,0.509564,0.494488
2336,25,50,0.891955,0.838155,0.892713,0.854645,0.862598,0.897134,3.24029,3.27853,5.86013,1.05715,1.01168
2976,25,50,1.87266,1.77007,1.88073,1.76769,1.77617,1.86139,6.66545,6.90931,12.2399,2.18817,2.09966
3793,25,50,4.02998,3.66344,4.04731,3.65994,3.68702,4.01094,13.7796,14.9185,26.6529,4.41969,4.24182
4833,25,50,8.50524,7.57268,8.48768,7.55884,7.59129,8.43982,28.8657,31.3259,58.4096,9.55065,8.89222
6158,25,50,17.8621,15.6319,17.8667,15.613,15.4136,17.7522,64.2064,66.4914,121.378,20.3449,18.3514
7848,25,50,36.669,31.9604,37.2973,32.2977,32.4677,37.1982,135.819,138.399,252.818,42.8678,37.9189
10000,25,50,77.1445,66.9765,76.9789,66.9088,67.2198,76.6618,282.006,291.142,522.307,89.5374,78.4403
100,50,5,6.4796e-05,2.8708e-05,5.4421e-05,3.4602e-05,2.7192e-05,6.0857e-05,0.000498889,0.000555224,8.548e-05,1.5772e-05,1.5707e-05
127,50,5,8.0181e-05,7.8312e-05,8.9442e-05,7.0557e-05,5.4544e-05,0.000105961,0.000972554,0.00138959,0.000267037,3.5387e-05,3.565e-05
162,50,5,0.000152649,0.000110392,0.000171346,0.00012698,0.000107648,0.000189139,0.00204392,0.00252683,0.000520239,6.8258e-05,6.8012e-05
207,50,5,0.000292007,0.000294429,0.000323313,0.000236698,0.000291944,0.000507045,0.00391213,0.0041055,0.000616093,0.00013192,0.000130151
264,50,5,0.000525613,0.000412506,0.000578941,0.000656747,0.00039925,0.000631322,0.00772436,0.00880706,0.00122676,0.000269954,0.000438966
336,50,5,0.000954546,0.00080422,0.00105269,0.00114439,0.000759085,0.00147983,0.015781,0.0172473,0.00283292,0.00051797,0.000511098
428,50,5,0.00212796,0.00191928,0.0022839,0.00217223,0.00200322,0.00212797,0.0318069,0.0343166,0.00596189,0.00108872,0.00120894
546,50,5,0.00409724,0.0039574,0.00432592,0.00421069,0.00405288,0.00449523,0.0657468,0.0664606,0.0111779,0.00225293,0.00221613
695,50,5,0.00776133,0.00760817,0.00869776,0.00851946,0.00799829,0.00794292,0.133616,0.134454,0.0218688,0.00451409,0.00442161
886,50,5,0.0167455,0.0155641,0.0170486,0.0162855,0.0158641,0.0152452,0.273697,0.274886,0.0432843,0.00945209,0.00969935
1129,50,5,0.0316965,0.0309808,0.0324706,0.0310946,0.0314685,0.031221,0.56224,0.564068,0.089172,0.0197124,0.0194139
1438,50,5,0.0618374,0.0631425,0.063022,0.0632761,0.060441,0.0614267,1.15521,1.15697,0.174778,0.0417537,0.0396163
1833,50,5,0.124063,0.124904,0.12911,0.126319,0.123539,0.12344,2.38876,2.39533,0.35754,0.0887989,0.0827496
2336,50,5,0.250101,0.250926,0.254396,0.247502,0.248154,0.248545,4.92619,4.93768,0.729671,0.183275,0.171073
2976,50,5,0.505246,0.502595,0.517671,0.502772,0.500407,0.511189,10.2957,10.414,1.48231,0.379141,0.351955
3793,50,5,1.04231,1.01662,1.05609,1.01716,1.00855,1.0427,22.6231,23.145,3.04407,0.787781,0.727233
4833,50,5,2.14063,2.06879,2.16465,2.07004,2.06038,2.14519,49.4594,50.4236,6.24799,1.66542,1.51371
6158,50,5,4.38485,4.24793,4.42158,4.22498,4.21193,4.38887,103.474,104.864,12.8218,3.49257,3.04809
7848,50,5,8.97386,8.70855,9.0753,8.66969,8.65396,8.98393,214.756,217.674,26.2952,7.38602,6.42314
10000,50,5,18.8963,17.8621,19.0882,17.8016,17.8167,18.9082,443.027,450.108,55.6889,15.3613,13.352
100,50,10,6.5411e-05,4.9294e-05,0.000162773,5.6729e-05,4.7795e-05,9.5304e-05,0.000550097,0.000548814,0.000155664,3.3061e-05,6.2831e-05
127,50,10,0.000121235,9.5112e-05,0.000132153,0.000109894,0.000148154,0.000140251,0.001031,0.00106398,0.000297848,8.3965e-05,6.6238e-05
162,50,10,0.000224764,0.00022383,0.000248729,0.000239835,0.000187256,0.000442513,0.00199091,0.0020836,0.00104192,0.000266061,0.000131718
207,50,10,0.000493746,0.0004446,0.000525103,0.000493351,0.000372319,0.000482914,0.00456558,0.0043016,0.00135114,0.000268779,0.000499594
264,50,10,0.000941801,0.000891975,0.00127891,0.000937153,0.000893141,0.000908854,0.00840923,0.00828504,0.00291702,0.000536071,0.000726961
336,50,10,0.00177843,0.00172932,0.00184425,0.00228308,0.00175572,0.00173502,0.0167991,0.0169229,0.00553472,0.00109171,0.00136278
428,50,10,0.00369563,0.00329908,0.00355128,0.0034841,0.00330681,0.00333698,0.0335299,0.0334406,0.00987579,0.00252619,0.00242466
546,50,10,0.00750243,0.00657494,0.00700851,0.00724513,0.0067069,0.00666134,0.0692186,0.0689084,0.0209911,0.00452842,0.00441713
695,50,10,0.0138366,0.0130813,0.0140904,0.0135604,0.0142898,0.013247,0.139804,0.139259,0.0402399,0.0093517,0.00948312
886,50,10,0.0275615,0.0290996,0.0278224,0.0273166,0.0267592,0.0269186,0.286536,0.286557,0.0808199,0.0192248,0.0193184
1129,50,10,0.0545598,0.0547735,0.0555343,0.0540109,0.0542059,0.0536831,0.589032,0.588812,0.164151,0.0405883,0.0390908
1438,50,10,0.111588,0.10871,0.112022,0.109529,0.109707,0.109559,1.2081,1.20904,0.334768,0.08484,0.0806825
1833,50,10,0.227646,0.222718,0.229234,0.222823,0.22418,0.225237,2.49721,2.50471,0.690061,0.176053,0.165119
2336,50,10,0.468028,0.458245,0.4747,0.456071,0.452812,0.469304,5.14482,5.17473,1.41654,0.365474,0.343491
2976,50,10,0.960235,0.932958,0.971674,0.930655,0.929092,0.961928,10.7591,11.0344,2.91882,0.755677,0.708809
3793,50,10,1.99263,1.9413,2.00273,1.91012,1.90548,1.98943,23.5901,24.6875,6.02135,1.59599,1.46272
4833,50,10,4.09426,3.91683,4.11888,3.92818,3.91481,4.09667,51.5907,52.8036,12.4021,3.37734,3.02158
6158,50,10,8.36495,8.05431,8.32464,7.89776,8.02747,8.36916,107.934,110.244,25.6041,7.05081,6.2347
7848,50,10,17.9732,16.5645,17.772,16.5513,16.6264,17.9646,222.996,226.938,54.8005,14.7938,12.9246
10000,50,10,38.4732,34.2206,38.6779,34.1875,34.226,38.5048,460.769,472.396,119.57,30.7414,26.6664
100,50,25,0.000167838,0.000114181,0.000128526,0.000214383,0.000116377,0.000118578,0.00062528,0.000583652,0.000378173,8.6289e-05,0.000105581
127,50,25,0.00028811,0.000418191,0.000244033,0.00024687,0.000234166,0.000232492,0.00114689,0.00118395,0.000925227,0.000317201,0.000169001
162,50,25,0.000447205,0.000424611,0.000449794,0.000454186,0.000431275,0.000425828,0.00231128,0.00230706,0.00142462,0.000369242,0.000555958
207,50,25,0.000874944,0.000848334,0.000900864,0.000893896,0.000853162,0.000850693,0.00450373,0.00461402,0.00297388,0.000673919,0.000664451
264,50,25,0.00208415,0.00166824,0.00176313,0.00173413,0.00167484,0.00168818,0.00919966,0.00902546,0.0059804,0.00135279,0.00132347
336,50,25,0.0038685,0.00332058,0.00349975,0.00342415,0.0033302,0.00339729,0.018172,0.0186449,0.0120292,0.00272679,0.0030233
428,50,25,0.00754631,0.00680798,0.00701806,0.00689826,0.00671699,0.00678319,0.0370808,0.037005,0.0228868,0.00556841,0.00555588
546,50,25,0.0148854,0.0139139,0.0142322,0.0140766,0.0136611,0.014397,0.0757227,0.075559,0.046854,0.0115538,0.0113321
695,50,25,0.0288306,0.0277296,0.0289289,0.0282586,0.0279407,0.0282986,0.154139,0.154027,0.0953376,0.0234968,0.0230117
886,50,25,0.0672731,0.0576771,0.0585674,0.0576913,0.0570661,0.0572695,0.317958,0.316529,0.195389,0.0484481,0.0477155
1129,50,25,0.120527,0.116295,0.120141,0.11779,0.118036,0.117404,0.651841,0.655286,0.399621,0.0998793,0.0978343
1438,50,25,0.245141,0.239258,0.246418,0.239806,0.240345,0.242538,1.3449,1.35286,0.820655,0.209358,0.200985
1833,50,25,0.513496,0.494226,0.516329,0.494179,0.494388,0.507396,2.77881,2.80065,1.69686,0.438009,0.416284
2336,50,25,1.05903,1.0268,1.0588,1.01386,1.01544,1.05904,5.72028,5.80988,3.51675,0.908479,0.863626
2976,50,25,2.15806,2.05118,2.16037,2.05163,2.05226,2.15022,11.9604,12.7274,7.26449,1.87616,1.77633
3793,50,25,4.43061,4.32114,4.50864,4.31247,4.31972,4.47727,26.1971,27.9025,15.0224,4.02738,3.67527
4833,50,25,9.50721,8.9317,9.5524,8.89197,8.92077,9.48712,56.7836,58.605,31.9624,8.47459,7.58935
6158,50,25,20.4374,18.355,20.4843,18.3407,18.3701,20.4142,118.486,121.555,69.9885,17.7806,15.6601
7848,50,25,43.2253,37.9357,43.4903,37.9003,38.0015,43.2088,245.584,252.285,146.415,36.9268,32.3804
10000,50,25,89.2613,78.4497,89.3997,77.8342,78.5799,89.8011,507.799,523.254,304.452,76.5993,67.0704
100,50,50,0.000180856,0.000171638,0.000183669,0.000183347,0.000174994,0.000170854,0.000701452,0.000637313,0.000705592,0.000173946,0.000172218
127,50,50,0.000348854,0.000333126,0.000354322,0.000348248,0.000337099,0.000334794,0.00124715,0.00124483,0.00136589,0.000341702,0.000338585
162,50,50,0.000809112,0.000653683,0.00069407,0.000679125,0.000663269,0.000656201,0.00248107,0.00247174,0.00288743,0.000672221,0.000660529
207,50,50,0.00143407,0.00133768,0.00142046,0.00138108,0.00135615,0.00135574,0.00503563,0.00508312,0.00546112,0.00181462,0.00135175
264,50,50,0.00288513,0.00268957,0.0028361,0.00275148,0.00271485,0.00272073,0.0101644,0.0100775,0.0109606,0.00275496,0.00271677
336,50,50,0.00578352,0.00570013,0.00588627,0.00552709,0.00545959,0.00564237,0.0204543,0.0203927,0.0223406,0.00556236,0.00638824
428,50,50,0.0116685,0.0109926,0.0115897,0.0118325,0.0112688,0.0111626,0.0411731,0.0414428,0.0447986,0.0113419,0.0118724
546,50,50,0.0239285,0.0234654,0.0233959,0.022936,0.0226878,0.0228489,0.084647,0.0845308,0.0921588,0.023262,0.0230184
695,50,50,0.0488347,0.0473377,0.04799,0.0471136,0.046584,0.0468909,0.173027,0.173417,0.188088,0.0477251,0.0474324
886,50,50,0.0985879,0.0955833,0.0983607,0.0958914,0.0958143,0.0969774,0.354775,0.358256,0.385519,0.0972963,0.0970793
1129,50,50,0.20299,0.197103,0.204693,0.197634,0.197935,0.200555,0.733035,0.745916,0.797167,0.200993,0.198487
1438,50,50,0.425506,0.404534,0.423777,0.40537,0.406667,0.420055,1.51361,1.54041,1.65787,0.417954,0.408155
1833,50,50,0.885089,0.836328,0.867221,0.82069,0.8247,0.86118,3.15801,3.19306,3.41639,0.881673,0.83992
2336,50,50,1.78738,1.69757,1.78805,1.69068,1.70235,1.78639,6.47211,6.66398,7.05034,1.81584,1.73752
2976,50,50,3.74782,3.57648,3.75721,3.56044,3.57349,3.7298,13.5099,14.7179,14.6477,3.74727,3.57896
3793,50,50,8.10045,7.36644,8.16524,7.38959,7.39309,8.10739,29.4199,30.7716,31.9425,8.10923,7.39147
4833,50,50,17.1069,15.2185,17.2248,15.1957,15.2475,17.0655,63.4582,64.2588,68.0802,17.131,15.2519
6158,50,50,35.8401,31.4177,36.0205,31.368,31.4767,35.8646,132.244,134.006,143.334,35.7916,31.4701
7848,50,50,74.5635,64.9804,74.6622,64.8779,65.0665,74.4177,273.911,281.506,296.624,74.4503,64.6142
10000,50,50,153.542,134.005,154.013,134.185,134.664,153.58,564.141,589.725,611.89,153.931,134.394
