Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14,Unzipper_Time24,Unzipper_Time25,Unzipper_Time33,Unzipper_Time34,Unzipper_Time35
127,5,25,3.0988e-05,4.1791e-05,4.6801e-05,4.5121e-05,2.356e-05,2.3951e-05,0.000165268,0.000156715,0.000546203,4.1445e-05,2.7866e-05
162,5,25,4.9539e-05,4.5758e-05,9.2655e-05,4.6349e-05,4.5582e-05,8.5484e-05,0.000312021,0.000312572,0.0018392,7.8571e-05,5.3881e-05
207,5,25,8.7375e-05,8.4025e-05,0.000177242,8.5893e-05,8.5151e-05,8.4299e-05,0.000624508,0.000552403,0.00211953,0.000137569,0.0001035
264,5,25,0.000171609,0.000163739,0.000171971,0.000167099,0.00016664,0.000164662,0.00109843,0.00107743,0.00421624,0.000250954,0.00021064
336,5,25,0.000320958,0.00053186,0.000325856,0.000319818,0.000314266,0.000315398,0.0020257,0.00206922,0.00829064,0.000466902,0.000385762
428,5,25,0.000691908,0.000643013,0.000671733,0.00065801,0.000648637,0.000650218,0.00526455,0.0048924,0.0168787,0.00105247,0.00133722
546,5,25,0.00139363,0.00130205,0.00136567,0.00132364,0.00158087,0.00132894,0.00978823,0.00990331,0.0338519,0.00201184,0.00241563
695,5,25,0.00287814,0.00279264,0.00276066,0.00266361,0.00265091,0.00267541,0.0193591,0.0188952,0.0691464,0.00389442,0.00424261
886,5,25,0.00596662,0.00543703,0.00572479,0.00560359,0.00554399,0.00555169,0.0374631,0.0380138,0.139678,0.00794395,0.00991425
1129,5,25,0.0117087,0.0112861,0.0117213,0.0113364,0.0114175,0.0114782,0.0754507,0.0764334,0.284849,0.0154207,0.0172772
1438,5,25,0.0244671,0.023153,0.0241983,0.0232948,0.0233095,0.0236062,0.147194,0.1483,0.58209,0.0307963,0.0317658
1833,5,25,0.0504454,0.0475702,0.0508687,0.0480453,0.0484541,0.0512107,0.296276,0.298394,1.19871,0.0628507,0.0614175
2336,5,25,0.106066,0.0990154,0.106414,0.0988675,0.0991276,0.104703,0.605651,0.607178,2.46731,0.125113,0.129545
2976,5,25,0.219748,0.204788,0.220806,0.204297,0.205027,0.217814,1.22244,1.23132,5.08447,0.253985,0.251074
3793,5,25,0.455121,0.423938,0.458625,0.423296,0.424192,0.451106,2.5087,2.52375,10.5424,0.522849,0.502057
4833,5,25,0.946131,0.87443,0.953633,0.874371,0.877024,0.943102,5.13456,5.24444,22.9167,1.07677,1.02695
6158,5,25,1.99355,1.81755,2.00538,1.80691,1.81232,1.98986,10.4837,10.9184,50.6276,2.21242,2.10667
7848,5,25,4.22203,3.74464,4.26575,3.74218,3.77311,4.20741,21.5826,22.6085,107.014,4.54107,4.30411
10000,5,25,8.91986,7.75047,8.93623,7.75264,7.76528,8.8399,45.3725,48.6868,222.468,9.55256,8.84874
100,5,50,1.7703e-05,2.8853e-05,3.1355e-05,1.5604e-05,1.5918e-05,2.9699e-05,0.000103163,8.0745e-05,0.000495465,4.4656e-05,2.58e-05
127,5,50,3.901e-05,6.275e-05,7.3425e-05,3.5957e-05,3.5024e-05,3.3973e-05,0.000173032,0.000185558,0.00138026,8.071e-05,5.5421e-05
162,5,50,7.1228e-05,6.6312e-05,7.0307e-05,6.6296e-05,6.8545e-05,6.6255e-05,0.000321242,0.000307892,0.0021282,0.000155095,0.000105913
207,5,50,0.00013844,0.000129821,0.000138225,0.000132634,0.000224023,0.000130478,0.000621296,0.000608151,0.0038432,0.000270681,0.000258884
264,5,50,0.000270665,0.000256586,0.000270519,0.000260429,0.000262315,0.000259784,0.00113574,0.0018045,0.00871087,0.000539343,0.000407255
336,5,50,0.000526675,0.000690942,0.00052978,0.00050836,0.000511802,0.000508877,0.00226524,0.00226571,0.0158357,0.000952937,0.000768232
428,5,50,0.00109952,0.00104574,0.00110152,0.00114471,0.00106813,0.00106011,0.00566073,0.00573276,0.0316846,0.0021289,0.00221579
546,5,50,0.00229056,0.00218304,0.00229793,0.00220577,0.00236271,0.00221914,0.0104747,0.0105156,0.0658449,0.0041406,0.00426325
695,5,50,0.00468792,0.00448743,0.00461816,0.00439805,0.00445913,0.00444814,0.0210473,0.021379,0.134002,0.00782855,0.00811829
886,5,50,0.00974799,0.0091075,0.00970202,0.00922634,0.00937086,0.00931277,0.0413365,0.0410639,0.275195,0.016181,0.0156791
1129,5,50,0.01979,0.018998,0.0201536,0.0189629,0.0193654,0.0194936,0.0820793,0.0824874,0.564322,0.0307423,0.0306748
1438,5,50,0.0420245,0.0390034,0.0421562,0.0390998,0.0403004,0.0425843,0.162887,0.183309,1.15703,0.0660357,0.0604974
1833,5,50,0.089623,0.0813456,0.0890556,0.0814868,0.0825361,0.0861628,0.332467,0.363325,2.3874,0.125259,0.128007
2336,5,50,0.180011,0.165105,0.181218,0.165203,0.166872,0.177533,0.671865,0.686806,4.96144,0.253575,0.250605
2976,5,50,0.371195,0.342103,0.372954,0.341694,0.345113,0.367496,1.37219,1.39698,10.5621,0.507738,0.525559
