Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2,Unzipper_Time7,Unzipper_Time8,Unzipper_Time13,Unzipper_Time14
886,5,50,0.00974799,0.0091075,0.00970202,0.00922634,0.00937086,0.00931277,
1129,5,50,0.01979,0.018998,0.0201536,0.0189629,0.0193654,0.0194936,
1438,5,50,0.0420245,0.0390034,0.0421562,0.0390998,0.0403004,0.0425843,
1833,5,50,0.089623,0.0813456,0.0890556,0.0814868,0.0825361,0.0861628,
2336,5,50,0.180011,0.165105,0.181218,0.165203,0.166872,0.177533,
2976,5,50,0.371195,0.342103,0.372954,0.341694,0.345113,0.367496,
3793,5,50,0.777951,0.708257,0.779646,0.720798,0.731497,0.781519,
4833,5,50,1.66985,1.50227,1.67516,1.49084,1.51305,1.65261,
6158,5,50,3.5143,3.08309,3.50892,3.08485,3.11068,3.49486,
7848,5,50,7.3764,6.40764,7.40343,6.27582,6.44787,7.32016,
10000,5,50,15.2353,13.2462,15.3072,13.2418,13.3241,15.5572,
100,10,5,9.661e-06,7.607e-06,1.0158e-05,8.123e-06,7.082e-06,1.2368e-05,
127,10,5,1.7681e-05,1.3791e-05,1.8431e-05,1.4512e-05,1.2329e-05,2.2218e-05,
162,10,5,4.4692e-05,3.4988e-05,3.5076e-05,2.6937e-05,3.1786e-05,4.042e-05,
207,10,5,7.1015e-05,4.4698e-05,5.9403e-05,4.995e-05,4.2688e-05,7.0332e-05,
264,10,5,0.000157077,0.00012875,0.000109079,9.7552e-05,8.1941e-05,0.000126998,
336,10,5,0.000316464,0.000175603,0.000205106,0.000198509,0.000154755,0.000226479,
428,10,5,0.000421072,0.00038699,0.00044714,0.000429481,0.000684545,0.000422918,
546,10,5,0.000794908,0.00076481,0.00084394,0.00123473,0.000780629,0.000801675,
695,10,5,0.00209123,0.00194074,0.00161579,0.00157637,0.00150455,0.00153824,
886,10,5,0.00306457,0.00297511,0.00368168,0.00309333,0.00297772,0.00349391,
1129,10,5,0.00648841,0.006302,0.00621513,0.00603037,0.00580195,0.00595919,
1438,10,5,0.0126196,0.0127371,0.012261,0.0120111,0.0118941,0.0122238,
1833,10,5,0.025161,0.025012,0.0249336,0.0239386,0.0244877,0.0251375,
2336,10,5,0.0499747,0.04782,0.0506215,0.0483866,0.0494703,0.0496648,
2976,10,5,0.100345,0.100063,0.104071,0.0980465,0.0973057,0.100234,
3793,10,5,0.207603,0.198333,0.212251,0.200205,0.199863,0.209662,
4833,10,5,0.430801,0.407192,0.436973,0.407897,0.409939,0.429611,
6158,10,5,0.886822,0.836097,0.900814,0.838138,0.824647,0.875916,
7848,10,5,1.80659,1.69537,1.82775,1.68742,1.6898,1.80697,
10000,10,5,3.79965,3.50426,3.85065,3.5303,3.5335,3.85406,
100,10,10,1.2472e-05,1.1605e-05,1.3068e-05,1.1668e-05,1.0923e-05,1.4536e-05,
127,10,10,2.2854e-05,1.9535e-05,2.4871e-05,2.0569e-05,1.9673e-05,4.2835e-05,
162,10,10,7.3506e-05,4.4659e-05,4.8762e-05,4.8457e-05,3.9451e-05,5.2578e-05,
207,10,10,9.224e-05,8.4362e-05,0.000100662,9.098e-05,7.6304e-05,9.2946e-05,
264,10,10,0.000179494,0.00017136,0.000333704,0.000182846,0.0001743,0.00030668,
336,10,10,0.000335438,0.000576883,0.000608167,0.000345333,0.000332217,0.000334844,
428,10,10,0.000645123,0.000630828,0.000668237,0.000677305,0.000627593,0.000637505,
546,10,10,0.00128842,0.00126003,0.00135139,0.00130581,0.00127161,0.00128978,
695,10,10,0.00270746,0.00300822,0.00267285,0.00260322,0.00250753,0.0025832,
886,10,10,0.00517447,0.0052132,0.0053229,0.00517452,0.0050396,0.00513987,
1129,10,10,0.0104142,0.0101229,0.0108488,0.0103084,0.0101084,0.0104213,
1438,10,10,0.0214532,0.0209347,0.0217321,0.0213207,0.021518,0.0213212,
1833,10,10,0.0441096,0.0425155,0.0445241,0.0431985,0.0436553,0.0438151,
2336,10,10,0.0915558,0.0876882,0.0924695,0.0878806,0.0884785,0.0915195,
