Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,2,0.5,3.25e-07,0.0644622,
4,2,0.5,3.57e-07,0.0616555,
5,3,0.5,6.86e-07,0.0653768,
6,3,0.5,1.064e-06,0.0672642,
7,4,0.5,1.953e-06,0.065179,
8,4,0.5,9.1e-07,0.0623714,
9,5,0.5,1.865e-06,0.0658297,
10,5,0.5,2.876e-06,0.0628093,
11,6,0.5,3.77e-06,0.0628037,
12,6,0.5,3.685e-06,0.0634386,
13,7,0.5,1.945e-06,0.0651758,
14,7,0.5,4.233e-06,0.0647222,
15,8,0.5,2.46e-06,0.064643,
16,8,0.5,2.391e-06,0.0656812,
17,9,0.5,6.44e-06,0.0679716,
18,9,0.5,3.289e-06,0.0636517,
19,10,0.5,8.462e-06,0.0649886,
20,10,0.5,4.293e-06,0.0653899,
21,11,0.5,1.0697e-05,0.0605392,
22,11,0.5,1.058e-05,0.0648038,
23,12,0.5,1.337e-05,0.0651832,
24,12,0.5,8.431e-06,0.0639634,
25,13,0.5,2.1981e-05,0.0645448,
26,13,0.5,2.3048e-05,0.0641297,
27,14,0.5,1.2746e-05,0.0665383,
28,14,0.5,8.248e-06,0.0669307,
29,15,0.5,1.037e-05,0.0656724,
30,15,0.5,9.97e-06,0.0649659,
31,16,0.5,2.5553e-05,0.0667861,
32,16,0.5,1.173e-05,0.0662226,
33,17,0.5,1.4743e-05,0.0660738,
34,17,0.5,1.6745e-05,0.0661194,
35,18,0.5,1.598e-05,0.0645464,
36,18,0.5,3.5601e-05,0.0649817,
37,19,0.5,1.8766e-05,0.0663555,
38,19,0.5,4.2314e-05,0.0663519,
39,20,0.5,2.0458e-05,0.0656133,
40,20,0.5,4.4517e-05,0.0666514,
41,21,0.5,2.3404e-05,0.064906,
42,21,0.5,3.7957e-05,0.0652832,
43,22,0.5,4.1829e-05,0.0622128,
44,22,0.5,4.6077e-05,0.0624795,
45,23,0.5,6.3449e-05,0.0646792,
46,23,0.5,2.9549e-05,0.0646591,
47,24,0.5,0.000121469,0.0651598,
48,24,0.5,3.3104e-05,0.0661773,
49,25,0.5,3.7369e-05,0.0657483,
50,25,0.5,6.179e-05,0.0668646,
51,26,0.5,6.8135e-05,0.0641813,
52,26,0.5,6.8335e-05,0.0648008,
53,27,0.5,4.5028e-05,0.0657527,
54,27,0.5,7.7773e-05,0.0648905,
55,28,0.5,0.000182173,0.0631969,
56,28,0.5,0.000183216,0.0657408,
57,29,0.5,5.4099e-05,0.0642526,
58,29,0.5,0.000204136,0.0646762,
59,30,0.5,5.8741e-05,0.0682125,
60,30,0.5,0.000102656,0.0659801,
61,31,0.5,0.000141174,0.0630995,
62,31,0.5,0.000147949,0.0656478,
63,32,0.5,7.011e-05,0.0664544,
64,32,0.5,7.5237e-05,0.0676973,
65,33,0.5,7.9343e-05,0.0660933,
66,33,0.5,0.000137988,0.0660142,
67,34,0.5,0.000148218,0.0656474,
68,34,0.5,8.4782e-05,0.0676405,
69,35,0.5,9.5488e-05,0.0682107,
70,35,0.5,0.000221727,0.0642688,
71,36,0.5,0.000229184,0.0669162,
72,36,0.5,0.000102198,0.0656311,
73,37,0.5,0.000107635,0.0664418,
74,37,0.5,0.000110303,0.0657677,
75,38,0.5,0.000118119,0.0663841,
76,38,0.5,0.000441882,0.0633355,
77,39,0.5,0.000237184,0.0678924,
78,39,0.5,0.000124454,0.0671414,
79,40,0.5,0.000135938,0.0658213,
80,40,0.5,0.000132254,0.0675057,
81,41,0.5,0.000141567,0.0677347,
82,41,0.5,0.000144264,0.0674599,
83,42,0.5,0.000279594,0.064007,
84,42,0.5,0.000395997,0.0679714,
85,43,0.5,0.000161183,0.0659383,
86,43,0.5,0.000307338,0.0675986,
87,44,0.5,0.000171008,0.0661039,
88,44,0.5,0.000327103,0.0642893,
89,45,0.5,0.000614653,0.0652293,
90,45,0.5,0.000181783,0.0651691,
91,46,0.5,0.000192689,0.0679963,
92,46,0.5,0.000235264,0.0635877,
93,47,0.5,0.000315217,0.0644128,
94,47,0.5,0.000230342,0.0679735,
95,48,0.5,0.000217386,0.0669615,
96,48,0.5,0.00022028,0.0661619,
97,49,0.5,0.000230951,0.0685392,
98,49,0.5,0.000228827,0.0653523,
99,50,0.5,0.000460883,0.0661645,
100,50,0.5,0.000449066,0.0651763,
101,51,0.5,0.000257885,0.067692,
102,51,0.5,0.000496286,0.0661754,
103,52,0.5,0.000506718,0.0674088,
104,52,0.5,0.000266588,0.0653265,
105,53,0.5,0.000635095,0.0654625,
106,53,0.5,0.000284941,0.0669098,
107,54,0.5,0.000313111,0.0652778,
108,54,0.5,0.000552593,0.0674526,
109,55,0.5,0.000607864,0.0662795,
110,55,0.5,0.000711501,0.0661849,
111,56,0.5,0.000634856,0.0656852,
112,56,0.5,0.000333666,0.06787,
113,57,0.5,0.000349904,0.0630769,
114,57,0.5,0.000670953,0.0650346,
115,58,0.5,0.000365144,0.066937,
116,58,0.5,0.000704297,0.0662619,
117,59,0.5,0.000385867,0.0654825,
118,59,0.5,0.000386625,0.0661831,
119,60,0.5,0.000405178,0.0651323,
120,60,0.5,0.000843408,0.0663987,
121,61,0.5,0.000814597,0.0653416,
122,61,0.5,0.000817402,0.0664465,
123,62,0.5,0.000859149,0.0674398,
124,62,0.5,0.00085664,0.0688078,
125,63,0.5,0.000853522,0.0679143,
126,63,0.5,0.00090603,0.0659428,
127,64,0.5,0.000486552,0.0671067,
128,64,0.5,0.000487668,0.0651187,
129,65,0.5,0.00050187,0.0672847,
130,65,0.5,0.000510529,0.0685678,
131,66,0.5,0.000532297,0.0686862,
132,66,0.5,0.000526477,0.0666459,
133,67,0.5,0.000547291,0.0676974,
134,67,0.5,0.00108945,0.0665231,
135,68,0.5,0.000573011,0.0638912,
136,68,0.5,0.00121751,0.0672346,
137,69,0.5,0.00118843,0.0664161,
138,69,0.5,0.000604334,0.0679467,
139,70,0.5,0.00121822,0.0682211,
140,70,0.5,0.000626963,0.0711591,
141,71,0.5,0.00115061,0.0684864,
142,71,0.5,0.00129553,0.0673661,
143,72,0.5,0.00132698,0.0679212,
144,72,0.5,0.00068275,0.0664897,
145,73,0.5,0.00138169,0.0665572,
146,73,0.5,0.00136029,0.0659063,
147,74,0.5,0.000739295,0.068854,
148,74,0.5,0.000743146,0.0660034,
149,75,0.5,0.00150862,0.0678067,
150,75,0.5,0.000765344,0.0668171,
151,76,0.5,0.000796622,0.0671986,
152,76,0.5,0.00158558,0.0708572,
153,77,0.5,0.00160944,0.0675478,
154,77,0.5,0.00161264,0.0700729,
155,78,0.5,0.00168536,0.0705244,
156,78,0.5,0.00171596,0.0670081,
157,79,0.5,0.00089015,0.0683697,
158,79,0.5,0.000885025,0.0677148,
159,80,0.5,0.000918973,0.0660749,
160,80,0.5,0.000943442,0.0662022,
161,81,0.5,0.000966317,0.0693849,
162,81,0.5,0.00188773,0.0683558,
163,82,0.5,0.000991768,0.0656864,
164,82,0.5,0.000990423,0.0678609,
165,83,0.5,0.00202221,0.0669176,
166,83,0.5,0.00103441,0.0670259,
167,84,0.5,0.0020966,0.0674383,
168,84,0.5,0.00210729,0.0663255,
169,85,0.5,0.00221326,0.0693413,
170,85,0.5,0.00221649,0.070495,
171,86,0.5,0.00116051,0.0681216,
172,86,0.5,0.00118422,0.068749,
173,87,0.5,0.00122068,0.0668764,
174,87,0.5,0.00123392,0.0693276,
175,88,0.5,0.00125623,0.0664157,
176,88,0.5,0.00127551,0.068651,
177,89,0.5,0.00130855,0.0677338,
178,89,0.5,0.00130701,0.0677576,
179,90,0.5,0.00134882,0.0688646,
180,90,0.5,0.00133609,0.0684022,
181,91,0.5,0.00138618,0.0692604,
182,91,0.5,0.00138267,0.0697512,
183,92,0.5,0.00150854,0.0701829,
184,92,0.5,0.00288658,0.0698492,
185,93,0.5,0.00147027,0.0666756,
186,93,0.5,0.00147761,0.0697265,
187,94,0.5,0.002018,0.0681504,
188,94,0.5,0.00153124,0.0724665,
189,95,0.5,0.00157009,0.0680426,
190,95,0.5,0.00155641,0.0698245,
191,96,0.5,0.00328154,0.0691547,
192,96,0.5,0.00161668,0.0682137,
193,97,0.5,0.00164968,0.0695553,
194,97,0.5,0.00166989,0.0683447,
195,98,0.5,0.00170775,0.0684329,
196,98,0.5,0.00323509,0.0700902,
197,99,0.5,0.00176042,0.0718427,
198,99,0.5,0.0017714,0.0706054,
199,100,0.5,0.00180418,0.0690907,
200,100,0.5,0.00307152,0.0686152,
201,101,0.5,0.00187106,0.068473,
202,101,0.5,0.00189092,0.0695307,
203,102,0.5,0.0019298,0.0711765,
204,102,0.5,0.0034973,0.0706893,
205,103,0.5,0.00197475,0.0690085,
206,103,0.5,0.00368661,0.0728026,
207,104,0.5,0.00201696,0.0691924,
208,104,0.5,0.00204678,0.0711473,
209,105,0.5,0.00387179,0.0709776,
210,105,0.5,0.00209566,0.0696942,
211,106,0.5,0.00212969,0.0702612,
212,106,0.5,0.0021341,0.0703156,
213,107,0.5,0.00220054,0.0687704,
214,107,0.5,0.0022312,0.0694304,
215,108,0.5,0.00225759,0.0699644,
216,108,0.5,0.00420587,0.0693274,
