Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,3,0.75,9.17e-07,0.0694499,
4,3,0.75,4.04e-07,0.0637479,
5,4,0.75,6.06e-07,0.0639202,
6,5,0.75,8.53e-07,0.0637052,
7,6,0.75,1.156e-06,0.0655274,
8,6,0.75,1.353e-06,0.0639013,
9,7,0.75,1.8e-06,0.064971,
10,8,0.75,2.058e-06,0.0648292,
11,9,0.75,2.581e-06,0.0640341,
12,9,0.75,3.249e-06,0.0660397,
13,10,0.75,3.125e-06,0.0636434,
14,11,0.75,8.196e-06,0.0626865,
15,12,0.75,4.884e-06,0.0644092,
16,12,0.75,4.659e-06,0.0635515,
17,13,0.75,1.2061e-05,0.0637764,
18,14,0.75,6.884e-06,0.0650558,
19,15,0.75,7.616e-06,0.0618137,
20,15,0.75,1.842e-05,0.0646681,
21,16,0.75,9.014e-06,0.0653176,
22,17,0.75,1.0523e-05,0.0633855,
23,18,0.75,2.6733e-05,0.0653874,
24,18,0.75,1.1873e-05,0.0656293,
25,19,0.75,1.4149e-05,0.063071,
26,20,0.75,3.6874e-05,0.0651137,
27,21,0.75,1.8734e-05,0.0639462,
28,21,0.75,4.3122e-05,0.0626557,
29,22,0.75,2.1878e-05,0.0657396,
30,23,0.75,2.3257e-05,0.0638721,
31,24,0.75,2.4181e-05,0.0628023,
32,24,0.75,5.446e-05,0.0643465,
33,25,0.75,2.7803e-05,0.0623377,
34,26,0.75,5.0642e-05,0.0652152,
35,27,0.75,5.3907e-05,0.065158,
36,27,0.75,3.3672e-05,0.0683492,
37,28,0.75,8.041e-05,0.0641976,
38,29,0.75,4.1437e-05,0.0625206,
39,30,0.75,9.7256e-05,0.0670399,
40,30,0.75,4.4037e-05,0.06536,
41,31,0.75,4.8615e-05,0.0646422,
42,32,0.75,5.6323e-05,0.0648649,
43,33,0.75,5.5604e-05,0.0660229,
44,33,0.75,5.5624e-05,0.0647533,
45,34,0.75,0.000137801,0.063415,
46,35,0.75,0.000116353,0.0644785,
47,36,0.75,0.000161571,0.0663996,
48,36,0.75,7.4108e-05,0.0653229,
49,37,0.75,7.9462e-05,0.0654902,
50,38,0.75,8.6365e-05,0.0643867,
51,39,0.75,0.000202618,0.060964,
52,39,0.75,9.2422e-05,0.0637181,
53,40,0.75,0.000100346,0.0682853,
54,41,0.75,0.000190462,0.0654502,
55,42,0.75,0.000109824,0.0658051,
56,42,0.75,0.000115413,0.0692912,
57,43,0.75,0.000395638,0.0648182,
58,44,0.75,0.000212193,0.0660124,
59,45,0.75,0.000235992,0.0675994,
60,45,0.75,0.000132398,0.0642152,
61,46,0.75,0.00031132,0.0639918,
62,47,0.75,0.000318956,0.0640056,
63,48,0.75,0.000160865,0.0658548,
64,48,0.75,0.000296998,0.0672381,
65,49,0.75,0.000299876,0.0660084,
66,50,0.75,0.000330404,0.0636934,
67,51,0.75,0.000184083,0.0667228,
68,51,0.75,0.000405122,0.065845,
69,52,0.75,0.000196855,0.0653597,
70,53,0.75,0.000212976,0.0637348,
71,54,0.75,0.000219392,0.0675208,
72,54,0.75,0.000218785,0.0681651,
73,55,0.75,0.000228652,0.0660378,
74,56,0.75,0.000334935,0.0633816,
75,57,0.75,0.000397838,0.0627409,
76,57,0.75,0.000249191,0.0647735,
77,58,0.75,0.000493008,0.0644574,
78,59,0.75,0.000516802,0.0655292,
79,60,0.75,0.000546045,0.0643741,
80,60,0.75,0.000289681,0.0641179,
81,61,0.75,0.000568173,0.0659886,
82,62,0.75,0.000320868,0.0661172,
83,63,0.75,0.000327669,0.0648028,
84,63,0.75,0.000622178,0.0629627,
85,64,0.75,0.000340984,0.0639238,
86,65,0.75,0.000354424,0.0687143,
87,66,0.75,0.000368672,0.0651914,
88,66,0.75,0.000441308,0.0662847,
89,67,0.75,0.000384866,0.0647372,
90,68,0.75,0.000443889,0.0652301,
91,69,0.75,0.000420901,0.0652275,
92,69,0.75,0.00050449,0.066324,
93,70,0.75,0.000461981,0.0668534,
94,71,0.75,0.000457753,0.0656108,
95,72,0.75,0.000509983,0.0652131,
96,72,0.75,0.000477869,0.0670041,
97,73,0.75,0.000497372,0.0669546,
98,74,0.75,0.000997123,0.0667985,
