dimension,elapsed_time
402,0.007606000
403,0.007633000
404,0.007608000
405,0.007717000
406,0.007747000
407,0.007827000
408,0.007744000
409,0.007957000
410,0.008609000
411,0.008433000
412,0.008211000
413,0.008100000
414,0.008152000
415,0.008284000
416,0.008404000
417,0.008352000
418,0.008395000
419,0.008493000
420,0.008555000
421,0.008497000
422,0.008660000
423,0.008671000
424,0.008655000
425,0.008856000
426,0.008846000
427,0.008906000
428,0.008899000
429,0.009130000
430,0.009117000
431,0.009112000
432,0.009380000
433,0.009316000
434,0.009610000
435,0.009611000
436,0.009536000
437,0.009567000
438,0.009655000
439,0.009716000
440,0.009814000
441,0.009883000
442,0.010013000
443,0.010043000
444,0.010085000
445,0.010154000
446,0.010395000
447,0.010224000
448,0.010278000
449,0.010676000
450,0.010540000
451,0.010676000
452,0.010908000
453,0.010757000
454,0.011480000
455,0.011269000
456,0.011643000
457,0.011533000
458,0.011285000
459,0.011576000
460,0.011572000
461,0.011651000
462,0.011861000
463,0.011929000
464,0.011922000
465,0.013341000
466,0.012909000
467,0.012171000
468,0.012183000
469,0.012309000
470,0.012376000
471,0.012436000
472,0.012641000
473,0.012632000
474,0.012618000
475,0.012869000
476,0.012835000
477,0.012994000
478,0.012891000
479,0.013102000
480,0.013091000
481,0.013253000
482,0.013398000
483,0.013460000
484,0.013499000
485,0.013609000
486,0.013697000
487,0.013713000
488,0.014885000
489,0.015723000
490,0.014357000
491,0.014039000
492,0.014140000
493,0.014316000
494,0.014520000
495,0.014945000
496,0.014864000
497,0.014467000
498,0.014502000
499,0.014820000
500,0.014777000
501,0.014892000
502,0.015097000
503,0.015040000
504,0.015091000
505,0.016049000
506,0.015544000
507,0.015839000
508,0.015446000
509,0.015588000
510,0.015727000
511,0.015695000
512,0.016057000
513,0.016020000
514,0.015964000
515,0.016161000
516,0.016226000
517,0.016309000
518,0.016286000
519,0.016571000
520,0.016606000
521,0.017094000
522,0.017059000
523,0.016887000
524,0.016815000
525,0.017119000
526,0.017137000
527,0.017162000
528,0.017340000
529,0.017615000
530,0.017651000
531,0.017559000
532,0.017810000
533,0.017832000
534,0.017846000
535,0.018173000
536,0.018469000
537,0.018290000
538,0.018423000
539,0.018512000
540,0.019263000
541,0.018852000
542,0.020002000
543,0.019437000
544,0.019567000
545,0.019578000
546,0.019484000
547,0.019529000
548,0.019626000
549,0.019915000
550,0.019982000
551,0.019840000
552,0.020150000
553,0.020361000
554,0.020306000
555,0.020551000
556,0.020580000
557,0.020560000
558,0.021162000
559,0.020493000
560,0.020508000
561,0.020576000
562,0.020941000
563,0.020790000
564,0.020876000
565,0.021370000
566,0.021138000
567,0.028583000
568,0.024017000
569,0.022428000
570,0.022355000
571,0.022455000
572,0.022291000
573,0.022482000
574,0.022489000
575,0.022306000
576,0.022508000
577,0.022503000
578,0.024379000
579,0.023542000
580,0.029397000
581,0.030064000
582,0.030142000
583,0.028507000
584,0.025018000
585,0.024536000
586,0.029453000
587,0.024460000
588,0.028874000
589,0.024617000
590,0.024622000
591,0.024565000
592,0.024905000
593,0.030468000
594,0.024784000
595,0.025254000
596,0.025135000
597,0.025545000
598,0.025637000
599,0.025793000
600,0.025956000
601,0.025995000
602,0.026238000
603,0.026228000
604,0.027076000
605,0.030892000
606,0.027018000
607,0.027172000
608,0.026949000
609,0.026884000
610,0.026817000
611,0.026824000
612,0.027493000
613,0.027257000
614,0.027145000
615,0.027501000
616,0.027743000
617,0.027629000
618,0.027464000
619,0.027720000
620,0.027793000
621,0.028261000
622,0.028016000
623,0.028228000
624,0.028547000
625,0.029394000
626,0.029200000
627,0.029421000
628,0.029319000
629,0.029487000
630,0.029902000
631,0.028966000
632,0.029819000
633,0.029565000
634,0.029632000
635,0.029848000
636,0.029881000
637,0.030450000
638,0.030452000
639,0.030536000
640,0.030460000
641,0.030747000
642,0.031395000
643,0.031073000
644,0.031440000
645,0.032088000
646,0.031529000
647,0.031974000
648,0.032759000
649,0.032656000
650,0.031925000
651,0.032248000
652,0.033135000
653,0.032387000
654,0.032567000
655,0.033105000
656,0.032914000
657,0.033046000
658,0.033439000
659,0.033575000
660,0.033594000
661,0.033953000
662,0.034383000
663,0.034857000
664,0.034864000
665,0.034957000
666,0.035036000
667,0.034851000
668,0.035019000
669,0.035177000
670,0.035665000
671,0.035343000
672,0.035685000
673,0.035533000
674,0.036406000
675,0.035805000
676,0.036625000
677,0.036224000
678,0.036701000
679,0.036677000
680,0.037067000
681,0.036777000
682,0.037617000
683,0.037637000
684,0.037464000
685,0.038590000
686,0.037627000
687,0.037878000
688,0.037832000
689,0.038562000
690,0.040812000
691,0.041601000
692,0.042083000
693,0.041588000
694,0.043031000
695,0.040318000
696,0.044764000
697,0.039677000
698,0.039925000
699,0.040227000
700,0.040193000
701,0.040459000
702,0.040802000
703,0.040829000
704,0.041097000
705,0.041353000
706,0.041547000
707,0.041510000
708,0.041657000
709,0.042319000
710,0.041749000
711,0.041815000
712,0.042215000
713,0.042464000
714,0.042703000
715,0.043122000
716,0.043178000
717,0.043139000
718,0.043283000
719,0.043703000
720,0.043737000
721,0.043939000
722,0.044307000
723,0.044322000
724,0.044420000
725,0.044927000
726,0.044861000
727,0.044928000
728,0.045014000
729,0.045573000
730,0.045534000
731,0.045632000
732,0.046081000
733,0.046220000
734,0.046139000
735,0.046736000
736,0.046692000
737,0.046848000
738,0.063083000
739,0.052123000
740,0.047422000
741,0.047913000
742,0.050106000
743,0.057397000
744,0.049367000
745,0.048998000
746,0.049338000
747,0.049460000
748,0.049346000
749,0.057680000
750,0.058299000
751,0.050651000
752,0.051402000
753,0.050681000
754,0.051359000
755,0.051248000
756,0.051140000
757,0.051657000
758,0.052898000
759,0.052671000
760,0.052190000
761,0.051788000
762,0.052488000
763,0.052551000
764,0.052468000
765,0.053223000
766,0.053330000
767,0.053274000
768,0.053744000
769,0.053814000
770,0.053745000
771,0.053856000
772,0.054535000
773,0.054557000
774,0.054501000
775,0.055227000
776,0.055506000
777,0.055033000
778,0.055273000
779,0.055921000
780,0.056270000
781,0.055824000
782,0.056579000
783,0.056472000
784,0.056580000
785,0.057250000
786,0.057206000
787,0.057235000
788,0.065846000
789,0.068820000
790,0.068113000
791,0.073653000
792,0.072838000
793,0.074599000
794,0.076123000
795,0.074469000
796,0.074192000
797,0.077703000
798,0.076202000
799,0.076395000
800,0.075520000
801,0.076745000
802,0.077093000
803,0.076649000
804,0.067744000
805,0.066049000
806,0.062178000
807,0.062080000
808,0.062171000
809,0.062576000
810,0.062292000
811,0.062607000
812,0.063158000
813,0.062624000
814,0.062697000
815,0.063077000
816,0.063284000
817,0.063110000
818,0.063307000
819,0.063789000
820,0.064019000
821,0.064023000
822,0.064661000
823,0.078437000
824,0.082460000
825,0.083110000
826,0.083558000
827,0.084252000
828,0.079009000
829,0.066503000
830,0.066591000
831,0.066447000
832,0.066879000
833,0.067123000
834,0.067847000
835,0.068449000
836,0.068917000
837,0.068636000
838,0.068778000
839,0.069456000
840,0.069323000
841,0.070304000
842,0.070390000
843,0.071105000
844,0.071597000
845,0.070993000
846,0.071098000
847,0.071211000
848,0.071626000
849,0.071894000
850,0.071999000
851,0.072001000
852,0.072724000
853,0.073176000
854,0.072967000
855,0.073514000
856,0.073851000
857,0.073762000
858,0.073797000
859,0.074315000
860,0.074309000
861,0.073848000
862,0.074781000
863,0.075443000
864,0.075440000
865,0.076167000
866,0.076472000
867,0.076533000
