sparsity,elapsed_time
0.10,0.100453000
0.15,0.135704000
0.20,0.174081000
0.25,0.218973000
0.30,0.259864000
0.35,0.307457000
0.40,0.345659000
0.45,0.388113000
0.50,0.431197000
0.55,0.497152000
0.60,0.537688000
0.65,0.590823000
0.70,0.620283000
0.75,0.660184000
0.80,0.720513000
0.85,0.787700000
0.90,0.812413000
