Dimension,NNZ_per_row,Sparsity,Time
3,2,0.55,9.7384e-05,
4,3,0.55,6.5719e-05,
5,3,0.55,0.000127704,
6,4,0.55,9.4398e-05,
7,4,0.55,8.6292e-05,
8,5,0.55,7.8853e-05,
9,5,0.55,7.7669e-05,
10,6,0.55,9.2406e-05,
11,7,0.55,0.000125681,
12,7,0.55,7.1723e-05,
13,8,0.55,9.6529e-05,
14,8,0.55,8.8837e-05,
15,9,0.55,8.7267e-05,
16,9,0.55,9.472e-05,
17,10,0.55,9.1685e-05,
18,10,0.55,0.000106699,
19,11,0.55,9.6802e-05,
20,11,0.55,0.000150616,
21,12,0.55,0.000105281,
22,13,0.55,0.00014677,
23,13,0.55,0.000101799,
24,14,0.55,8.8942e-05,
25,14,0.55,0.000164797,
26,15,0.55,0.000101545,
27,15,0.55,0.000103474,
28,16,0.55,0.000177327,
29,16,0.55,0.000113644,
30,17,0.55,0.000180509,
31,18,0.55,0.000113477,
32,18,0.55,0.000189172,
33,19,0.55,0.000123281,
34,19,0.55,0.000123726,
35,20,0.55,0.000116637,
36,20,0.55,0.000118418,
37,21,0.55,0.000241439,
38,21,0.55,0.000132677,
39,22,0.55,0.000255635,
40,22,0.55,0.000243572,
41,23,0.55,0.000152846,
42,24,0.55,0.00014391,
43,24,0.55,0.000168201,
44,25,0.55,0.000278196,
45,25,0.55,0.000170705,
46,26,0.55,0.000295356,
47,26,0.55,0.000331281,
48,27,0.55,0.000186837,
49,27,0.55,0.000347027,
50,28,0.55,0.000189193,
51,29,0.55,0.000197685,
52,29,0.55,0.000211419,
53,30,0.55,0.000403658,
54,30,0.55,0.000220412,
55,31,0.55,0.000203643,
56,31,0.55,0.000223138,
57,32,0.55,0.000234121,
58,32,0.55,0.000446642,
59,33,0.55,0.000492958,
60,33,0.55,0.000494813,
61,34,0.55,0.000248338,
62,35,0.55,0.000518219,
63,35,0.55,0.0005331,
64,36,0.55,0.000273535,
65,36,0.55,0.000553962,
66,37,0.55,0.000293699,
67,37,0.55,0.000308645,
68,38,0.55,0.000324639,
69,38,0.55,0.000312284,
70,39,0.55,0.000322784,
71,40,0.55,0.000355669,
72,40,0.55,0.000365974,
73,41,0.55,0.000722901,
74,41,0.55,0.000379527,
75,42,0.55,0.000449639,
76,42,0.55,0.000374702,
77,43,0.55,0.000395489,
78,43,0.55,0.000396727,
79,44,0.55,0.000400125,
80,44,0.55,0.000410124,
81,45,0.55,0.000422323,
82,46,0.55,0.000416768,
83,46,0.55,0.000922842,
84,47,0.55,0.00093462,
85,47,0.55,0.000468835,
86,48,0.55,0.00098454,
87,48,0.55,0.000500071,
88,49,0.55,0.00103702,
89,49,0.55,0.00051403,
90,50,0.55,0.000501494,
91,51,0.55,0.000548714,
92,51,0.55,0.000552169,
93,52,0.55,0.00117063,
94,52,0.55,0.00118154,
95,53,0.55,0.00121177,
96,53,0.55,0.000616696,
97,54,0.55,0.000596112,
98,54,0.55,0.000626804,
99,55,0.55,0.000651545,
100,55,0.55,0.000702573,
101,56,0.55,0.000679077,
102,57,0.55,0.00145195,
103,57,0.55,0.00151206,
104,58,0.55,0.000727367,
105,58,0.55,0.001472,
106,59,0.55,0.000740805,
107,59,0.55,0.00163056,
108,60,0.55,0.000746645,
109,60,0.55,0.000761219,
110,61,0.55,0.000807363,
111,62,0.55,0.000839628,
112,62,0.55,0.00167362,
113,63,0.55,0.000839472,
114,63,0.55,0.00176732,
115,64,0.55,0.000892733,
