Dimension,NNZ_per_row,Sparsity,Time
3,1,0.2,3.1756e-05,
4,1,0.2,2.9785e-05,
5,1,0.2,7.2579e-05,
6,2,0.2,7.0111e-05,
7,2,0.2,3.3011e-05,
8,2,0.2,3.2382e-05,
9,2,0.2,3.2322e-05,
10,2,0.2,3.2104e-05,
11,3,0.2,3.3011e-05,
12,3,0.2,3.4179e-05,
13,3,0.2,3.32e-05,
14,3,0.2,3.4011e-05,
15,3,0.2,3.4423e-05,
16,4,0.2,3.8094e-05,
17,4,0.2,3.7928e-05,
18,4,0.2,4.2195e-05,
19,4,0.2,3.7303e-05,
20,4,0.2,3.7456e-05,
21,5,0.2,4.4944e-05,
22,5,0.2,4.6093e-05,
23,5,0.2,4.4268e-05,
24,5,0.2,4.654e-05,
25,5,0.2,4.8562e-05,
26,6,0.2,5.31e-05,
27,6,0.2,5.4797e-05,
28,6,0.2,5.3828e-05,
29,6,0.2,5.4217e-05,
30,6,0.2,5.8732e-05,
31,7,0.2,6.766e-05,
32,7,0.2,6.7504e-05,
33,7,0.2,7.0799e-05,
34,7,0.2,6.7307e-05,
35,7,0.2,7.0157e-05,
36,8,0.2,8.0338e-05,
37,8,0.2,8.2568e-05,
38,8,0.2,8.0157e-05,
39,8,0.2,8.8672e-05,
40,8,0.2,8.9665e-05,
41,9,0.2,0.000102094,
42,9,0.2,0.000108808,
43,9,0.2,0.000102658,
44,9,0.2,0.000106792,
45,9,0.2,0.000112912,
46,10,0.2,0.000125543,
47,10,0.2,0.000122213,
48,10,0.2,0.000133096,
49,10,0.2,0.00013888,
50,10,0.2,0.000135587,
51,11,0.2,0.00014906,
52,11,0.2,0.000155687,
53,11,0.2,0.000154093,
54,11,0.2,0.000165828,
55,11,0.2,0.000168758,
56,12,0.2,0.000182825,
57,12,0.2,0.000189,
58,12,0.2,0.000189882,
59,12,0.2,0.000198786,
60,12,0.2,0.000201664,
61,13,0.2,0.00020712,
62,13,0.2,0.000217009,
63,13,0.2,0.000223027,
64,13,0.2,0.000227292,
65,13,0.2,0.000232817,
66,14,0.2,0.000243124,
67,14,0.2,0.000259971,
68,14,0.2,0.000259667,
69,14,0.2,0.000260989,
70,14,0.2,0.000275192,
71,15,0.2,0.000279522,
72,15,0.2,0.000295516,
73,15,0.2,0.000302708,
74,15,0.2,0.000303444,
75,15,0.2,0.000321132,
76,16,0.2,0.000328893,
77,16,0.2,0.000337105,
78,16,0.2,0.000354119,
79,16,0.2,0.000347614,
80,16,0.2,0.00036656,
81,17,0.2,0.000369703,
82,17,0.2,0.000388176,
83,17,0.2,0.00039093,
84,17,0.2,0.00038885,
85,17,0.2,0.000392395,
86,18,0.2,0.000409555,
87,18,0.2,0.000427495,
88,18,0.2,0.000429245,
89,18,0.2,0.000450157,
90,18,0.2,0.000469008,
91,19,0.2,0.000477733,
92,19,0.2,0.000498057,
