Dimension,NNZ_per_row,Sparsity,Time
3,3,0.95,8.9603e-05,
4,4,0.95,7.0627e-05,
5,5,0.95,8.3104e-05,
6,6,0.95,7.2105e-05,
7,7,0.95,8.9215e-05,
8,8,0.95,9.5917e-05,
9,9,0.95,0.000123115,
10,10,0.95,8.4337e-05,
11,11,0.95,0.000129864,
12,12,0.95,8.5392e-05,
13,13,0.95,0.000156429,
14,14,0.95,7.7356e-05,
15,15,0.95,9.1355e-05,
16,16,0.95,8.5989e-05,
17,17,0.95,8.6321e-05,
18,18,0.95,8.4449e-05,
19,19,0.95,8.2927e-05,
20,19,0.95,8.4756e-05,
21,20,0.95,0.000168157,
22,21,0.95,9.1274e-05,
23,22,0.95,0.000163922,
24,23,0.95,0.000102747,
25,24,0.95,0.000180598,
26,25,0.95,9.608e-05,
27,26,0.95,9.7089e-05,
28,27,0.95,0.000196717,
29,28,0.95,9.9416e-05,
30,29,0.95,0.000215043,
31,30,0.95,0.00011477,
32,31,0.95,0.000215174,
33,32,0.95,0.000233203,
34,33,0.95,0.000224471,
35,34,0.95,0.000240489,
36,35,0.95,0.000240991,
37,36,0.95,0.000259095,
38,37,0.95,0.00015221,
39,38,0.95,0.000275468,
40,38,0.95,0.000325736,
41,39,0.95,0.000161069,
42,40,0.95,0.000365398,
43,41,0.95,0.000180206,
44,42,0.95,0.000191227,
45,43,0.95,0.000184029,
46,44,0.95,0.000349135,
47,45,0.95,0.000202755,
48,46,0.95,0.000216085,
49,47,0.95,0.000212434,
50,48,0.95,0.000229387,
51,49,0.95,0.000243606,
52,50,0.95,0.000241622,
53,51,0.95,0.000253292,
54,52,0.95,0.000523503,
55,53,0.95,0.000270612,
56,54,0.95,0.000309585,
57,55,0.95,0.000297808,
58,56,0.95,0.000306612,
59,57,0.95,0.000609899,
60,57,0.95,0.000320743,
61,58,0.95,0.000342152,
62,59,0.95,0.000345373,
63,60,0.95,0.000693638,
64,61,0.95,0.00073359,
65,62,0.95,0.00038595,
66,63,0.95,0.000829936,
67,64,0.95,0.000419262,
68,65,0.95,0.00083386,
69,66,0.95,0.000881559,
70,67,0.95,0.000520071,
71,68,0.95,0.000973697,
72,69,0.95,0.000494345,
73,70,0.95,0.0005125,
74,71,0.95,0.0010456,
75,72,0.95,0.000546351,
76,73,0.95,0.000557322,
77,74,0.95,0.000564397,
78,75,0.95,0.000623933,
79,76,0.95,0.000897095,
80,76,0.95,0.00062065,
81,77,0.95,0.000705462,
82,78,0.95,0.000670941,
83,79,0.95,0.000696138,
84,80,0.95,0.000706631,
85,81,0.95,0.000721575,
86,82,0.95,0.000750533,
87,83,0.95,0.000774691,
88,84,0.95,0.00169584,
89,85,0.95,0.00174008,
90,86,0.95,0.000880041,
91,87,0.95,0.000913172,
92,88,0.95,0.00202219,
93,89,0.95,0.000988774,
94,90,0.95,0.00104938,
95,91,0.95,0.00104104,
96,92,0.95,0.00148031,
97,93,0.95,0.0011008,
98,94,0.95,0.00110223,
99,95,0.95,0.00114786,
100,95,0.95,0.00132831,
101,96,0.95,0.00121803,
102,97,0.95,0.00123173,
103,98,0.95,0.0026339,
104,99,0.95,0.00128979,
105,100,0.95,0.00135132,
106,101,0.95,0.00135349,
107,102,0.95,0.00283884,
108,103,0.95,0.00143667,
109,104,0.95,0.00304261,
110,105,0.95,0.00150992,
111,106,0.95,0.00153401,
112,107,0.95,0.0031494,
113,108,0.95,0.00321301,
114,109,0.95,0.00164636,
115,110,0.95,0.00170588,
116,111,0.95,0.00272174,
117,112,0.95,0.00176783,
118,113,0.95,0.00182194,
119,114,0.95,0.00185532,
120,114,0.95,0.00187402,
121,115,0.95,0.00191775,
122,116,0.95,0.00194687,
123,117,0.95,0.00362687,
124,118,0.95,0.00203975,
125,119,0.95,0.0038147,
126,120,0.95,0.00214484,
127,121,0.95,0.00384449,
128,122,0.95,0.00259432,
129,123,0.95,0.00239914,
130,124,0.95,0.0024377,
131,125,0.95,0.00240651,
132,126,0.95,0.00245491,
133,127,0.95,0.00250872,
134,128,0.95,0.00262335,
135,129,0.95,0.00433611,
136,130,0.95,0.00266857,
137,131,0.95,0.00441736,
138,132,0.95,0.00278036,
139,133,0.95,0.00281903,
140,133,0.95,0.00292426,
141,134,0.95,0.00290275,
142,135,0.95,0.00478714,
143,136,0.95,0.00474728,
144,137,0.95,0.00326573,
145,138,0.95,0.00316707,
146,139,0.95,0.00509666,
147,140,0.95,0.00334312,
148,141,0.95,0.00336302,
149,142,0.95,0.00340084,
150,143,0.95,0.00410457,
151,144,0.95,0.00358803,
152,145,0.95,0.00358724,
153,146,0.95,0.00373689,
154,147,0.95,0.00377136,
155,148,0.95,0.00531906,
156,149,0.95,0.0038795,
157,150,0.95,0.0039551,
158,151,0.95,0.00403576,
159,152,0.95,0.00408941,
160,152,0.95,0.00580181,
161,153,0.95,0.00586558,
162,154,0.95,0.00579129,
163,155,0.95,0.00598575,
164,156,0.95,0.00445356,
165,157,0.95,0.0045219,
166,158,0.95,0.00460394,
167,159,0.95,0.00644526,
168,160,0.95,0.00481372,
169,161,0.95,0.00483636,
170,162,0.95,0.00499529,
171,163,0.95,0.00510686,
172,164,0.95,0.00510155,
173,165,0.95,0.00534003,
174,166,0.95,0.00534284,
175,167,0.95,0.00687578,
176,168,0.95,0.00542941,
177,169,0.95,0.00600892,
178,170,0.95,0.0056226,
179,171,0.95,0.00572455,
180,171,0.95,0.00577697,
181,172,0.95,0.00581868,
182,173,0.95,0.0059317,
183,174,0.95,0.00605794,
184,175,0.95,0.00612757,
185,176,0.95,0.00654145,
186,177,0.95,0.0063412,
187,178,0.95,0.00640937,
188,179,0.95,0.00657727,
189,180,0.95,0.00661516,
190,181,0.95,0.00683083,
191,182,0.95,0.00691795,
192,183,0.95,0.00692612,
193,184,0.95,0.00709157,
194,185,0.95,0.00712625,
195,186,0.95,0.00735702,
