Dimension,NNZ_per_row,Sparsity,Time
3,1,0.3,3.4165e-05,
4,2,0.3,3.1077e-05,
5,2,0.3,3.4217e-05,
6,2,0.3,3.9712e-05,
7,3,0.3,3.9271e-05,
8,3,0.3,3.9506e-05,
9,3,0.3,3.8193e-05,
10,3,0.3,3.3565e-05,
11,4,0.3,3.4425e-05,
12,4,0.3,3.575e-05,
13,4,0.3,3.9296e-05,
14,5,0.3,3.9373e-05,
15,5,0.3,4.2459e-05,
16,5,0.3,4.2121e-05,
17,6,0.3,4.2612e-05,
18,6,0.3,4.4506e-05,
19,6,0.3,4.5561e-05,
20,6,0.3,4.5023e-05,
21,7,0.3,4.9219e-05,
22,7,0.3,5.3755e-05,
23,7,0.3,5.3689e-05,
24,8,0.3,5.8768e-05,
25,8,0.3,6.1645e-05,
26,8,0.3,6.1637e-05,
27,9,0.3,6.4739e-05,
28,9,0.3,6.7636e-05,
29,9,0.3,6.8659e-05,
30,9,0.3,7.1284e-05,
31,10,0.3,7.5296e-05,
32,10,0.3,7.9844e-05,
33,10,0.3,8.3116e-05,
34,11,0.3,8.8854e-05,
35,11,0.3,9.1861e-05,
36,11,0.3,9.3675e-05,
37,12,0.3,9.6992e-05,
38,12,0.3,9.8894e-05,
39,12,0.3,0.000102986,
40,12,0.3,0.000106329,
41,13,0.3,0.000115891,
42,13,0.3,0.000118721,
43,13,0.3,0.000123291,
44,14,0.3,0.000125887,
45,14,0.3,0.000132553,
46,14,0.3,0.000132761,
47,15,0.3,0.000144707,
48,15,0.3,0.000144143,
49,15,0.3,0.000148427,
50,16,0.3,0.000156552,
51,16,0.3,0.000164269,
52,16,0.3,0.000163915,
53,16,0.3,0.000171959,
54,17,0.3,0.000181321,
55,17,0.3,0.000185755,
56,17,0.3,0.000191864,
57,18,0.3,0.000198021,
58,18,0.3,0.000196883,
59,18,0.3,0.000214846,
60,18,0.3,0.000221519,
61,19,0.3,0.000224708,
62,19,0.3,0.000234044,
63,19,0.3,0.000238683,
64,20,0.3,0.000240524,
65,20,0.3,0.000246682,
66,20,0.3,0.000258994,
67,21,0.3,0.000265697,
68,21,0.3,0.00027763,
69,21,0.3,0.000277879,
70,21,0.3,0.000288408,
71,22,0.3,0.000281075,
72,22,0.3,0.000292416,
73,22,0.3,0.000314912,
74,23,0.3,0.000309846,
75,23,0.3,0.000335275,
76,23,0.3,0.000334171,
77,24,0.3,0.00033069,
78,24,0.3,0.000341988,
79,24,0.3,0.000354466,
80,24,0.3,0.000362407,
81,25,0.3,0.000369613,
82,25,0.3,0.000395055,
83,25,0.3,0.000383481,
84,26,0.3,0.000391082,
85,26,0.3,0.000412558,
86,26,0.3,0.000400952,
87,27,0.3,0.000423688,
88,27,0.3,0.000437496,
89,27,0.3,0.00046332,
90,28,0.3,0.000462993,
91,28,0.3,0.000467301,
92,28,0.3,0.000481944,
93,28,0.3,0.000509298,
94,29,0.3,0.000553855,
95,29,0.3,0.0005169,
96,29,0.3,0.000543791,
97,30,0.3,0.000571034,
98,30,0.3,0.000592376,
99,30,0.3,0.000571175,
100,31,0.3,0.000613309,
101,31,0.3,0.000624855,
102,31,0.3,0.000620388,
103,31,0.3,0.000650377,
104,32,0.3,0.000634542,
105,32,0.3,0.000676703,
106,32,0.3,0.000664171,
107,33,0.3,0.000729561,
108,33,0.3,0.000716498,
109,33,0.3,0.000714598,
110,33,0.3,0.000768105,
111,34,0.3,0.000728463,
112,34,0.3,0.000757391,
113,34,0.3,0.000769326,
114,35,0.3,0.000775838,
115,35,0.3,0.000797936,
116,35,0.3,0.00083402,
117,36,0.3,0.00084442,
118,36,0.3,0.000867317,
119,36,0.3,0.000851299,
120,36,0.3,0.00088585,
121,37,0.3,0.000909977,
122,37,0.3,0.000936499,
123,37,0.3,0.000953385,
124,38,0.3,0.000918769,
125,38,0.3,0.000937606,
126,38,0.3,0.000983232,
127,39,0.3,0.00102998,
128,39,0.3,0.00104299,
129,39,0.3,0.00101862,
130,39,0.3,0.00103476,
131,40,0.3,0.0010636,
132,40,0.3,0.00107666,
133,40,0.3,0.00105164,
134,41,0.3,0.00113233,
135,41,0.3,0.00111901,
136,41,0.3,0.00110557,
137,42,0.3,0.00119487,
138,42,0.3,0.00114805,
139,42,0.3,0.00122611,
140,42,0.3,0.00121662,
141,43,0.3,0.00121298,
142,43,0.3,0.001231,
143,43,0.3,0.00120703,
144,44,0.3,0.00125753,
145,44,0.3,0.0012792,
146,44,0.3,0.00130904,
147,45,0.3,0.00136015,
148,45,0.3,0.00140041,
149,45,0.3,0.00140056,
150,45,0.3,0.00145434,
151,46,0.3,0.00144734,
152,46,0.3,0.00140516,
153,46,0.3,0.00144368,
154,47,0.3,0.00154092,
155,47,0.3,0.00149836,
156,47,0.3,0.0015149,
157,48,0.3,0.00150065,
158,48,0.3,0.0015241,
159,48,0.3,0.00159916,
160,48,0.3,0.00153903,
161,49,0.3,0.00157924,
162,49,0.3,0.00162072,
163,49,0.3,0.00167903,
164,50,0.3,0.00165314,
165,50,0.3,0.00170494,
