Dimension,NNZ_per_row,Sparsity,Time
3,1,0.25,0.000101794,
4,1,0.25,9.0771e-05,
5,2,0.25,8.9663e-05,
6,2,0.25,0.000113232,
7,2,0.25,0.000120837,
8,2,0.25,0.000133019,
9,3,0.25,7.9315e-05,
10,3,0.25,8.2856e-05,
11,3,0.25,8.7147e-05,
12,3,0.25,0.000132941,
13,4,0.25,9.318e-05,
14,4,0.25,9.3297e-05,
15,4,0.25,8.8462e-05,
16,4,0.25,8.4854e-05,
17,5,0.25,8.2566e-05,
18,5,0.25,8.9006e-05,
19,5,0.25,0.000139134,
20,5,0.25,0.000148576,
21,6,0.25,0.000172809,
22,6,0.25,9.8679e-05,
23,6,0.25,9.9961e-05,
24,6,0.25,0.000109222,
25,7,0.25,0.000175834,
26,7,0.25,0.000175395,
27,7,0.25,0.000119251,
28,7,0.25,0.000124412,
29,8,0.25,0.000225392,
30,8,0.25,0.000120543,
31,8,0.25,0.000189643,
32,8,0.25,0.000131796,
33,9,0.25,0.000138453,
34,9,0.25,0.000138275,
35,9,0.25,0.000236445,
36,9,0.25,0.000147947,
37,10,0.25,0.000144115,
38,10,0.25,0.00015366,
39,10,0.25,0.000305844,
40,10,0.25,0.000297434,
41,11,0.25,0.000280911,
42,11,0.25,0.000178579,
43,11,0.25,0.000354176,
44,11,0.25,0.000179409,
45,12,0.25,0.000352608,
46,12,0.25,0.000374545,
47,12,0.25,0.000205828,
48,12,0.25,0.000407895,
49,13,0.25,0.00038116,
50,13,0.25,0.000432037,
51,13,0.25,0.000223582,
52,13,0.25,0.000237301,
53,14,0.25,0.000468927,
54,14,0.25,0.000497836,
55,14,0.25,0.000261805,
56,14,0.25,0.000271816,
57,15,0.25,0.000282149,
58,15,0.25,0.000283893,
59,15,0.25,0.000564378,
60,15,0.25,0.000571838,
61,16,0.25,0.000284939,
62,16,0.25,0.000307036,
63,16,0.25,0.000444413,
64,16,0.25,0.000669893,
65,17,0.25,0.000331031,
66,17,0.25,0.000661603,
67,17,0.25,0.000613363,
68,17,0.25,0.000347708,
69,18,0.25,0.000354574,
70,18,0.25,0.000383127,
71,18,0.25,0.00075153,
72,18,0.25,0.000771639,
73,19,0.25,0.000748706,
74,19,0.25,0.000414431,
75,19,0.25,0.000424219,
76,19,0.25,0.000444474,
77,20,0.25,0.000423701,
78,20,0.25,0.000451286,
79,20,0.25,0.000735758,
80,20,0.25,0.000471175,
81,21,0.25,0.000990922,
82,21,0.25,0.000477836,
83,21,0.25,0.000500608,
84,21,0.25,0.000510227,
85,22,0.25,0.00052759,
86,22,0.25,0.00110687,
87,22,0.25,0.000547956,
88,22,0.25,0.000563366,
89,23,0.25,0.00117798,
90,23,0.25,0.00120206,
91,23,0.25,0.000611865,
92,23,0.25,0.000603538,
93,24,0.25,0.00064289,
94,24,0.25,0.000632429,
95,24,0.25,0.000631998,
96,24,0.25,0.000658554,
97,25,0.25,0.00137272,
98,25,0.25,0.000689158,
99,25,0.25,0.000723218,
100,25,0.25,0.00147937,
101,26,0.25,0.00151648,
102,26,0.25,0.00157144,
103,26,0.25,0.0015655,
104,26,0.25,0.000759771,
105,27,0.25,0.000761306,
106,27,0.25,0.00079292,
107,27,0.25,0.000820881,
108,27,0.25,0.00174547,
109,28,0.25,0.000931176,
110,28,0.25,0.00175601,
111,28,0.25,0.000860151,
112,28,0.25,0.000920474,
113,29,0.25,0.000900541,
114,29,0.25,0.000907835,
115,29,0.25,0.000911293,
116,29,0.25,0.000922773,
117,30,0.25,0.00094591,
118,30,0.25,0.000947755,
119,30,0.25,0.00204914,
