Dimension,NNZ_per_row,Sparsity,Time
3,2,0.45,3.4121e-05,
4,2,0.45,3.0318e-05,
5,3,0.45,3.2934e-05,
6,3,0.45,3.245e-05,
7,4,0.45,3.4738e-05,
8,4,0.45,3.3491e-05,
9,5,0.45,3.5595e-05,
10,5,0.45,3.5833e-05,
11,5,0.45,3.7088e-05,
12,6,0.45,3.8322e-05,
13,6,0.45,4.012e-05,
14,7,0.45,4.0299e-05,
15,7,0.45,4.2718e-05,
16,8,0.45,4.541e-05,
17,8,0.45,4.5975e-05,
18,9,0.45,4.6786e-05,
19,9,0.45,4.4867e-05,
20,9,0.45,5.0976e-05,
21,10,0.45,5.0942e-05,
22,10,0.45,5.9133e-05,
23,11,0.45,5.8179e-05,
24,11,0.45,5.9584e-05,
25,12,0.45,6.2089e-05,
26,12,0.45,6.051e-05,
27,13,0.45,6.0931e-05,
28,13,0.45,6.7247e-05,
29,14,0.45,6.7452e-05,
30,14,0.45,6.9037e-05,
31,14,0.45,7.3022e-05,
32,15,0.45,7.2939e-05,
33,15,0.45,7.7103e-05,
34,16,0.45,8.0276e-05,
35,16,0.45,9.1016e-05,
36,17,0.45,8.5873e-05,
37,17,0.45,9.0091e-05,
38,18,0.45,8.8513e-05,
39,18,0.45,0.000104186,
40,18,0.45,9.6525e-05,
41,19,0.45,0.000108657,
42,19,0.45,0.000113237,
43,20,0.45,0.000112425,
44,20,0.45,0.000122441,
45,21,0.45,0.000124208,
46,21,0.45,0.000129421,
47,22,0.45,0.000134684,
48,22,0.45,0.000131653,
49,23,0.45,0.000136111,
50,23,0.45,0.000142672,
51,23,0.45,0.000147183,
52,24,0.45,0.000160238,
53,24,0.45,0.000169242,
54,25,0.45,0.00017188,
55,25,0.45,0.000167561,
56,26,0.45,0.000175301,
57,26,0.45,0.000179657,
58,27,0.45,0.000184444,
59,27,0.45,0.000191899,
60,28,0.45,0.000195017,
61,28,0.45,0.000204256,
62,28,0.45,0.000214679,
63,29,0.45,0.000223462,
64,29,0.45,0.00023039,
65,30,0.45,0.000228142,
66,30,0.45,0.000241467,
67,31,0.45,0.0002541,
68,31,0.45,0.000255819,
69,32,0.45,0.000258118,
70,32,0.45,0.000259809,
71,32,0.45,0.00027894,
72,33,0.45,0.000280893,
73,33,0.45,0.000283862,
74,34,0.45,0.000271273,
75,34,0.45,0.000305702,
76,35,0.45,0.00030207,
77,35,0.45,0.000311155,
78,36,0.45,0.000318929,
79,36,0.45,0.000331579,
80,36,0.45,0.000355406,
81,37,0.45,0.000356376,
82,37,0.45,0.000347633,
83,38,0.45,0.000379924,
84,38,0.45,0.000384023,
85,39,0.45,0.000385775,
86,39,0.45,0.000395431,
87,40,0.45,0.000398975,
88,40,0.45,0.000404686,
89,41,0.45,0.000420245,
90,41,0.45,0.000417561,
91,41,0.45,0.000431714,
92,42,0.45,0.00045899,
93,42,0.45,0.000480478,
94,43,0.45,0.000460263,
95,43,0.45,0.000478107,
96,44,0.45,0.000492413,
97,44,0.45,0.000517199,
98,45,0.45,0.000516533,
99,45,0.45,0.000515679,
100,45,0.45,0.000562976,
101,46,0.45,0.000557554,
102,46,0.45,0.000541614,
103,47,0.45,0.000566865,
104,47,0.45,0.000562407,
105,48,0.45,0.000594484,
106,48,0.45,0.000607589,
107,49,0.45,0.000616077,
108,49,0.45,0.000637723,
109,50,0.45,0.000628505,
110,50,0.45,0.000664808,
111,50,0.45,0.000673136,
112,51,0.45,0.000714026,
113,51,0.45,0.000757371,
114,52,0.45,0.000785134,
115,52,0.45,0.000780514,
116,53,0.45,0.000794238,
117,53,0.45,0.000833928,
118,54,0.45,0.000815363,
119,54,0.45,0.00086356,
120,55,0.45,0.000829184,
121,55,0.45,0.000876797,
122,55,0.45,0.000899908,
123,56,0.45,0.000888422,
124,56,0.45,0.000942204,
125,57,0.45,0.00091866,
126,57,0.45,0.000963032,
127,58,0.45,0.000963696,
128,58,0.45,0.000981115,
129,59,0.45,0.0010104,
130,59,0.45,0.00103333,
131,59,0.45,0.00105462,
132,60,0.45,0.00106091,
133,60,0.45,0.00108704,
