Dimension,NNZ_per_row,Sparsity,Time
3,2,0.4,0.000163021,
4,2,0.4,9.0625e-05,
5,2,0.4,0.000139301,
6,3,0.4,8.9776e-05,
7,3,0.4,0.000119329,
8,4,0.4,9.3122e-05,
9,4,0.4,0.000126652,
10,4,0.4,0.000138551,
11,5,0.4,9.8544e-05,
12,5,0.4,9.2716e-05,
13,6,0.4,0.000153248,
14,6,0.4,9.6471e-05,
15,6,0.4,0.000105694,
16,7,0.4,0.000164985,
17,7,0.4,0.000149825,
18,8,0.4,0.000115266,
19,8,0.4,0.000161844,
20,8,0.4,0.000163002,
21,9,0.4,0.000184487,
22,9,0.4,0.000158008,
23,10,0.4,0.000199043,
24,10,0.4,0.000192033,
25,10,0.4,0.000119835,
26,11,0.4,0.000201617,
27,11,0.4,0.000119998,
28,12,0.4,0.000114685,
29,12,0.4,0.000204679,
30,12,0.4,0.000229169,
31,13,0.4,0.000223807,
32,13,0.4,0.00023161,
33,14,0.4,0.000147608,
34,14,0.4,0.00014281,
35,14,0.4,0.000148886,
36,15,0.4,0.000285976,
37,15,0.4,0.00026779,
38,16,0.4,0.000286126,
39,16,0.4,0.000299923,
40,16,0.4,0.000251491,
41,17,0.4,0.000298067,
42,17,0.4,0.000175868,
43,18,0.4,0.000174219,
44,18,0.4,0.000180065,
45,18,0.4,0.000191338,
46,19,0.4,0.000344159,
47,19,0.4,0.000309518,
48,20,0.4,0.000203719,
49,20,0.4,0.000371589,
50,20,0.4,0.000417295,
51,21,0.4,0.000210311,
52,21,0.4,0.000433229,
53,22,0.4,0.000427402,
54,22,0.4,0.000362358,
55,22,0.4,0.000480607,
56,23,0.4,0.000244844,
57,23,0.4,0.000485119,
58,24,0.4,0.000258403,
59,24,0.4,0.000258065,
60,24,0.4,0.000285346,
61,25,0.4,0.000283775,
62,25,0.4,0.000288139,
63,26,0.4,0.000584195,
64,26,0.4,0.000453329,
65,26,0.4,0.000521155,
66,27,0.4,0.000632238,
67,27,0.4,0.000325376,
68,28,0.4,0.000336275,
69,28,0.4,0.00068395,
70,28,0.4,0.000351981,
71,29,0.4,0.000720117,
72,29,0.4,0.000359421,
73,30,0.4,0.000379734,
74,30,0.4,0.000383946,
75,30,0.4,0.000394177,
76,31,0.4,0.000695832,
77,31,0.4,0.000422178,
78,32,0.4,0.000852931,
79,32,0.4,0.000889079,
80,32,0.4,0.000820485,
81,33,0.4,0.000868844,
82,33,0.4,0.000451973,
83,34,0.4,0.000479621,
84,34,0.4,0.000901935,
85,34,0.4,0.00100038,
86,35,0.4,0.00101783,
87,35,0.4,0.00103476,
88,36,0.4,0.00110208,
89,36,0.4,0.000501861,
90,36,0.4,0.000550677,
91,37,0.4,0.00114351,
92,37,0.4,0.00117151,
93,38,0.4,0.000867003,
94,38,0.4,0.00125028,
95,38,0.4,0.000596749,
96,39,0.4,0.00128819,
97,39,0.4,0.000702692,
98,40,0.4,0.000655637,
99,40,0.4,0.000661138,
100,40,0.4,0.000674692,
101,41,0.4,0.000685594,
102,41,0.4,0.000726009,
103,42,0.4,0.000697828,
104,42,0.4,0.00149043,
105,42,0.4,0.0007106,
106,43,0.4,0.000756997,
107,43,0.4,0.000828965,
108,44,0.4,0.0015328,
109,44,0.4,0.0016418,
110,44,0.4,0.00162185,
111,45,0.4,0.00167655,
112,45,0.4,0.000821534,
113,46,0.4,0.00177863,
114,46,0.4,0.000860706,
115,46,0.4,0.00181953,
116,47,0.4,0.000884382,
117,47,0.4,0.000908819,
118,48,0.4,0.000909788,
119,48,0.4,0.000945306,
120,48,0.4,0.00203442,
121,49,0.4,0.00199935,
