Dimension,B_Sparsity,C_Sparsity,Unzipper_Time1,Unzipper_Time2
162,25,5,0.000116635,5.8841e-05,
207,25,5,0.000142744,0.000106571,
264,25,5,0.000258469,0.00032344,
336,25,5,0.000698808,0.000717685,
428,25,5,0.00106435,0.00101592,
546,25,5,0.00235311,0.00252745,
695,25,5,0.00394288,0.00393119,
886,25,5,0.00805079,0.00779472,
1129,25,5,0.0163185,0.0152948,
1438,25,5,0.0311325,0.0302743,
1833,25,5,0.0628742,0.0613862,
2336,25,5,0.125336,0.124714,
2976,25,5,0.257354,0.251497,
3793,25,5,0.526762,0.513047,
4833,25,5,1.0785,1.04743,
6158,25,5,2.2242,2.15284,
7848,25,5,4.56052,4.42942,
10000,25,5,9.56598,9.12576,
100,25,10,2.9302e-05,3.3749e-05,
127,25,10,6.8079e-05,5.3469e-05,
162,25,10,0.000112274,0.000114341,
207,25,10,0.00023691,0.000224954,
264,25,10,0.000452362,0.000466365,
336,25,10,0.000993298,0.0009006,
428,25,10,0.00167584,0.00174586,
546,25,10,0.00337603,0.00371998,
695,25,10,0.00683828,0.00686484,
886,25,10,0.0140043,0.0139623,
1129,25,10,0.0275305,0.0283384,
1438,25,10,0.0559569,0.0565014,
1833,25,10,0.114277,0.115833,
2336,25,10,0.231919,0.236232,
2976,25,10,0.483954,0.485173,
3793,25,10,1.00262,0.998689,
4833,25,10,2.06918,2.05782,
6158,25,10,4.24916,4.21597,
7848,25,10,8.88583,8.70313,
10000,25,10,19.0162,18.0161,
100,25,25,6.0403e-05,0.00010519,
127,25,25,0.000114022,0.000153425,
162,25,25,0.00021904,0.000255017,
207,25,25,0.000425467,0.000483354,
264,25,25,0.000843084,0.000956016,
336,25,25,0.00172816,0.00195493,
428,25,25,0.00343989,0.00382171,
546,25,25,0.00697643,0.00776792,
695,25,25,0.0143988,0.015827,
886,25,25,0.0293003,0.032365,
1129,25,25,0.0608816,0.066475,
1438,25,25,0.122297,0.136278,
1833,25,25,0.257157,0.281022,
2336,25,25,0.53123,0.577198,
2976,25,25,1.09443,1.19254,
3793,25,25,2.25746,2.47673,
4833,25,25,4.77345,5.08676,
6158,25,25,10.1054,10.4906,
7848,25,25,21.353,21.7058,
10000,25,25,44.8793,44.7997,
100,25,50,8.9058e-05,0.000165409,
127,25,50,0.000170171,0.000224715,
162,25,50,0.000334133,0.00043824,
207,25,50,0.000679918,0.000944021,
264,25,50,0.00160342,0.00177034,
336,25,50,0.00306681,0.00397436,
428,25,50,0.00586536,0.00741036,
546,25,50,0.0121153,0.015048,
695,25,50,0.0242299,0.0306729,
886,25,50,0.0495382,0.0633343,
1129,25,50,0.101343,0.130861,
1438,25,50,0.211551,0.269276,
