sparsity,elapsed_time
0.10,0.087962000
0.15,0.112833000
0.20,0.154314000
0.25,0.187474000
0.30,0.223847000
0.35,0.264787000
0.40,0.298619000
0.45,0.334023000
0.50,0.367265000
0.55,0.412777000
0.60,0.453728000
0.65,0.482031000
0.70,0.521900000
0.75,0.561699000
0.80,0.598209000
0.85,0.630538000
0.90,0.675429000
