Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,3,0.75,2.08e-06,0.000197381,
4,3,0.75,2.817e-06,0.000108304,
5,4,0.75,2.551e-06,0.000113675,
6,5,0.75,2.771e-06,0.000159572,
7,6,0.75,5.863e-06,9.842e-05,
8,6,0.75,3.79e-06,0.000172441,
9,7,0.75,1.1257e-05,0.000118646,
10,8,0.75,6.368e-06,0.000100083,
11,9,0.75,8.402e-06,0.000159958,
12,9,0.75,1.4731e-05,0.000112754,
13,10,0.75,1.0802e-05,0.00010593,
14,11,0.75,1.364e-05,0.000111591,
15,12,0.75,2.4799e-05,0.000137325,
16,12,0.75,1.7153e-05,0.000114328,
17,13,0.75,2.0395e-05,0.00011297,
18,14,0.75,2.4319e-05,0.000114181,
19,15,0.75,3.1366e-05,0.000130904,
20,15,0.75,3.1035e-05,0.000197389,
21,16,0.75,7.7596e-05,0.000199204,
22,17,0.75,7.6216e-05,0.000219256,
23,18,0.75,4.462e-05,0.000139539,
24,18,0.75,5.1091e-05,0.000227719,
25,19,0.75,0.000118385,0.000239419,
26,20,0.75,0.000138213,0.000147513,
27,21,0.75,6.6486e-05,0.000137358,
28,21,0.75,7.7155e-05,0.000145161,
29,22,0.75,8.5487e-05,0.000244829,
30,23,0.75,0.00020642,0.000155091,
31,24,0.75,0.000100518,0.000303471,
32,24,0.75,0.000226287,0.000298212,
33,25,0.75,0.000231328,0.000168654,
34,26,0.75,0.000125468,0.000156266,
35,27,0.75,0.000137448,0.000167921,
36,27,0.75,0.000141524,0.000176569,
37,28,0.75,0.000151181,0.000167767,
38,29,0.75,0.000160083,0.000192006,
39,30,0.75,0.000173117,0.000190948,
40,30,0.75,0.000195003,0.000346724,
41,31,0.75,0.000442844,0.000193997,
42,32,0.75,0.000217471,0.000197154,
43,33,0.75,0.000242886,0.000213864,
44,33,0.75,0.000245117,0.000220411,
45,34,0.75,0.000260507,0.000407155,
46,35,0.75,0.00060709,0.000430102,
47,36,0.75,0.000647598,0.000234662,
48,36,0.75,0.000312706,0.000232274,
49,37,0.75,0.000329972,0.000250897,
50,38,0.75,0.000358899,0.000378123,
51,39,0.75,0.000661825,0.000517402,
52,39,0.75,0.00069228,0.000255797,
53,40,0.75,0.000422332,0.000281413,
54,41,0.75,0.000465847,0.000276187,
55,42,0.75,0.000476729,0.000296504,
56,42,0.75,0.000474717,0.000450375,
57,43,0.75,0.00102812,0.000561722,
58,44,0.75,0.000968189,0.000616628,
59,45,0.75,0.000864017,0.000322973,
60,45,0.75,0.000612218,0.00033291,
61,46,0.75,0.000647091,0.000332769,
62,47,0.75,0.000690284,0.000716397,
63,48,0.75,0.000733565,0.000341378,
64,48,0.75,0.000777297,0.000366482,
65,49,0.75,0.000802642,0.000382107,
66,50,0.75,0.00085332,0.000819418,
67,51,0.75,0.000901986,0.000768822,
68,51,0.75,0.0014516,0.000609726,
69,52,0.75,0.00110059,0.00042565,
70,53,0.75,0.00105881,0.000418812,
71,54,0.75,0.00109968,0.000437732,
72,54,0.75,0.00117927,0.000460746,
73,55,0.75,0.00125206,0.000950324,
74,56,0.75,0.00130474,0.000483724,
75,57,0.75,0.00134702,0.000780236,
76,57,0.75,0.00145712,0.00101872,
77,58,0.75,0.0015893,0.000518799,
78,59,0.75,0.00158807,0.00110524,
79,60,0.75,0.00169387,0.000546386,
80,60,0.75,0.00179515,0.000553207,
81,61,0.75,0.00181284,0.000561544,
82,62,0.75,0.00198527,0.00101224,
83,63,0.75,0.00204645,0.00125416,
84,63,0.75,0.00226887,0.00129358,
85,64,0.75,0.0022028,0.000622327,
86,65,0.75,0.00233397,0.000652725,
87,66,0.75,0.00240879,0.000659867,
88,66,0.75,0.0025364,0.000669142,
89,67,0.75,0.00271656,0.000673666,
90,68,0.75,0.00279686,0.00151974,
91,69,0.75,0.00286647,0.00152856,
