Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,2,0.55,1.861e-06,0.000125654,
4,3,0.55,1.579e-06,0.000150757,
5,3,0.55,2.466e-06,0.000102721,
6,4,0.55,2.346e-06,0.000127117,
7,4,0.55,2.682e-06,0.000118145,
8,5,0.55,4.117e-06,0.000200571,
9,5,0.55,1.0026e-05,0.000118147,
10,6,0.55,5.774e-06,0.000117659,
11,7,0.55,8.277e-06,0.000190574,
12,7,0.55,1.8831e-05,0.000105813,
13,8,0.55,1.0248e-05,0.000128366,
14,8,0.55,1.1784e-05,0.000173477,
15,9,0.55,2.3346e-05,0.000130544,
16,9,0.55,1.6877e-05,0.000125241,
17,10,0.55,2.0283e-05,0.000211092,
18,10,0.55,4.7741e-05,0.00013936,
19,11,0.55,2.5447e-05,0.00013173,
20,11,0.55,2.7915e-05,0.000132468,
21,12,0.55,3.0024e-05,0.000220099,
22,13,0.55,8.6036e-05,0.000244239,
23,13,0.55,9.23e-05,0.000251035,
24,14,0.55,9.69e-05,0.000225086,
25,14,0.55,4.9142e-05,0.000268758,
26,15,0.55,0.00012449,0.000155033,
27,15,0.55,6.0446e-05,0.00016222,
28,16,0.55,6.4984e-05,0.000268396,
29,16,0.55,0.000173306,0.000304808,
30,17,0.55,0.000169424,0.000170524,
31,18,0.55,7.9985e-05,0.000167869,
32,18,0.55,8.6001e-05,0.000180335,
33,19,0.55,9.9722e-05,0.000181954,
34,19,0.55,0.000112171,0.000320397,
35,20,0.55,0.000247392,0.000177372,
36,20,0.55,0.000131297,0.00018302,
37,21,0.55,0.000131261,0.000355004,
38,21,0.55,0.000311515,0.00020607,
39,22,0.55,0.000147331,0.000378587,
40,22,0.55,0.000340066,0.000424311,
41,23,0.55,0.000355854,0.000374821,
42,24,0.55,0.000387242,0.000211065,
43,24,0.55,0.000192956,0.00022957,
44,25,0.55,0.000200974,0.000433911,
45,25,0.55,0.000477045,0.000258209,
46,26,0.55,0.000231377,0.000240535,
47,26,0.55,0.000235353,0.00025372,
48,27,0.55,0.000254704,0.000269367,
49,27,0.55,0.000262496,0.000520295,
50,28,0.55,0.00061521,0.000261066,
51,29,0.55,0.00031022,0.000293714,
52,29,0.55,0.000319939,0.000296054,
53,30,0.55,0.000338423,0.000288832,
54,30,0.55,0.000357569,0.000605677,
55,31,0.55,0.000668247,0.000454168,
56,31,0.55,0.000755983,0.000491579,
57,32,0.55,0.000688278,0.000331533,
58,32,0.55,0.000444881,0.000665361,
59,33,0.55,0.000938566,0.000334546,
60,33,0.55,0.000480724,0.000340217,
61,34,0.55,0.000514501,0.000340022,
62,35,0.55,0.000544386,0.000367987,
63,35,0.55,0.000541084,0.000713396,
64,36,0.55,0.0013227,0.000370632,
65,36,0.55,0.000675984,0.000383647,
66,37,0.55,0.000698439,0.00038841,
67,37,0.55,0.000686548,0.000784585,
68,38,0.55,0.00164358,0.000416007,
69,38,0.55,0.000768403,0.000855284,
70,39,0.55,0.001101,0.000881292,
71,40,0.55,0.00103504,0.000433018,
72,40,0.55,0.000908347,0.000460428,
73,41,0.55,0.000962277,0.000454101,
74,41,0.55,0.000972004,0.000473765,
75,42,0.55,0.0010473,0.000478484,
76,42,0.55,0.00113953,0.000510501,
77,43,0.55,0.00115818,0.00107478,
78,43,0.55,0.00164919,0.0005373,
79,44,0.55,0.00124311,0.000786473,
80,44,0.55,0.0016815,0.00112609,
81,45,0.55,0.00169059,0.000585361,
82,46,0.55,0.00150669,0.000579679,
83,46,0.55,0.00155084,0.00115379,
84,47,0.55,0.00151996,0.00056759,
85,47,0.55,0.00159208,0.000569452,
86,48,0.55,0.00170547,0.000593509,
87,48,0.55,0.00168844,0.00133406,
88,49,0.55,0.00195446,0.000655733,
89,49,0.55,0.00188267,0.0006462,
90,50,0.55,0.00194795,0.000646921,
91,51,0.55,0.00207812,0.000669688,
92,51,0.55,0.00211803,0.000698026,
93,52,0.55,0.0022256,0.000711079,
94,52,0.55,0.00232561,0.00157192,
95,53,0.55,0.00242586,0.00073711,
96,53,0.55,0.00252374,0.00157213,
97,54,0.55,0.00257078,0.000750336,
98,54,0.55,0.00258013,0.00130153,
99,55,0.55,0.00275178,0.00169204,
100,55,0.55,0.00276756,0.0017428,
101,56,0.55,0.00299498,0.000905949,
102,57,0.55,0.00307095,0.00084924,
103,57,0.55,0.00319784,0.00180671,
104,58,0.55,0.00338032,0.000877257,
105,58,0.55,0.00329993,0.0010108,
106,59,0.55,0.00348754,0.00191584,
107,59,0.55,0.00350994,0.000930537,
108,60,0.55,0.00372671,0.000947103,
109,60,0.55,0.00387424,0.000978665,
110,61,0.55,0.00408164,0.000942137,
111,62,0.55,0.00417437,0.000998286,
112,62,0.55,0.0040958,0.00103951,
113,63,0.55,0.00440362,0.00156215,
114,63,0.55,0.00437937,0.00216555,
115,64,0.55,0.00460403,0.00152533,
116,64,0.55,0.00468307,0.00107051,
117,65,0.55,0.00492218,0.0011068,
118,65,0.55,0.00534765,0.00112451,
119,66,0.55,0.00521352,0.0024226,
120,66,0.55,0.00522374,0.00242679,
121,67,0.55,0.00540288,0.00252997,
122,68,0.55,0.00574388,0.00118526,
123,68,0.55,0.00574769,0.0026069,
124,69,0.55,0.00594238,0.00119192,
125,69,0.55,0.00593609,0.00252686,
126,70,0.55,0.00623719,0.00271193,
127,70,0.55,0.00622315,0.0012715,
128,71,0.55,0.00675292,0.00127766,
129,71,0.55,0.00667362,0.00130136,
130,72,0.55,0.00684592,0.00134588,
131,73,0.55,0.00735292,0.00292216,
132,73,0.55,0.00720482,0.00258469,
133,74,0.55,0.00747716,0.0014422,
134,74,0.55,0.00750004,0.00139665,
135,75,0.55,0.00773664,0.00150234,
136,75,0.55,0.00786968,0.00296803,
137,76,0.55,0.00813415,0.00148952,
138,76,0.55,0.00820017,0.00316325,
139,77,0.55,0.00854136,0.00161922,
140,77,0.55,0.0086582,0.00159101,
141,78,0.55,0.00899924,0.00160275,
142,79,0.55,0.00923341,0.00332903,
143,79,0.55,0.00925929,0.00164784,
144,80,0.55,0.00956578,0.00167264,
145,80,0.55,0.00961273,0.0035704,
146,81,0.55,0.0100936,0.00171587,
147,81,0.55,0.0100347,0.00171242,
148,82,0.55,0.0105837,0.00181391,
149,82,0.55,0.0105075,0.00180712,
150,83,0.55,0.0108794,0.00186252,
151,84,0.55,0.0112186,0.00184646,
152,84,0.55,0.0111452,0.00398861,
153,85,0.55,0.0116405,0.00192178,
154,85,0.55,0.0117091,0.00400142,
155,86,0.55,0.0122675,0.00381609,
156,86,0.55,0.012294,0.00205043,
157,87,0.55,0.0124216,0.0039377,
158,87,0.55,0.0126691,0.00202928,
159,88,0.55,0.0131171,0.00405497,
160,88,0.55,0.0131183,0.00206086,
161,89,0.55,0.0134247,0.0020846,
162,90,0.55,0.0139851,0.00219245,
163,90,0.55,0.0140846,0.00227142,
164,91,0.55,0.0145829,0.00286842,
165,91,0.55,0.0145016,0.00417726,
166,92,0.55,0.0150029,0.00228719,
167,92,0.55,0.0151104,0.00438715,
168,93,0.55,0.0154725,0.00425911,
169,93,0.55,0.0158271,0.0023766,
170,94,0.55,0.0161668,0.00308969,
171,95,0.55,0.0163882,0.00335822,
172,95,0.55,0.0165108,0.00354817,
173,96,0.55,0.0169781,0.00249858,
174,96,0.55,0.0170109,0.00375621,
175,97,0.55,0.0177549,0.00351324,
176,97,0.55,0.0175675,0.00253562,
177,98,0.55,0.0181922,0.00485269,
178,98,0.55,0.0180538,0.00265184,
179,99,0.55,0.0192561,0.00487277,
180,99,0.55,0.0191339,0.00482655,
181,100,0.55,0.0193425,0.0028046,
