Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,3,0.95,1.052e-06,0.000107669,
4,4,0.95,1.692e-06,0.000195111,
5,5,0.95,3.979e-06,0.000102541,
6,6,0.95,2.525e-06,0.000100647,
7,7,0.95,3.248e-06,0.000116176,
8,8,0.95,4.04e-06,0.000187127,
9,9,0.95,1.2323e-05,0.000105349,
10,10,0.95,6.407e-06,0.000120551,
11,11,0.95,7.586e-06,0.000111791,
12,12,0.95,9.798e-06,0.00020898,
13,13,0.95,2.5123e-05,0.000120692,
14,14,0.95,1.6685e-05,0.000121527,
15,15,0.95,1.6907e-05,0.000191268,
16,16,0.95,4.178e-05,0.0001222,
17,17,0.95,2.5527e-05,0.00020298,
18,18,0.95,6.3042e-05,0.000114129,
19,19,0.95,3.2371e-05,0.000198507,
20,19,0.95,7.6351e-05,0.0001353,
21,20,0.95,4.2157e-05,0.000208847,
22,21,0.95,0.000102554,0.000137868,
23,22,0.95,5.2777e-05,0.000228327,
24,23,0.95,0.000129257,0.000138018,
25,24,0.95,6.4588e-05,0.000136927,
26,25,0.95,8.1873e-05,0.000147481,
27,26,0.95,8.4832e-05,0.000156462,
28,27,0.95,9.7344e-05,0.000153854,
29,28,0.95,0.000100564,0.000259166,
30,29,0.95,0.000247781,0.000163521,
31,30,0.95,0.000123497,0.00029659,
32,31,0.95,0.000279638,0.000158573,
33,32,0.95,0.000145154,0.000173813,
34,33,0.95,0.000158852,0.000212432,
35,34,0.95,0.000167287,0.000175687,
36,35,0.95,0.000187637,0.000178389,
37,36,0.95,0.000194779,0.000200539,
38,37,0.95,0.000216888,0.000197236,
39,38,0.95,0.000240053,0.000211545,
40,38,0.95,0.000237084,0.000231036,
41,39,0.95,0.000253482,0.000230167,
42,40,0.95,0.000276546,0.000222311,
43,41,0.95,0.000293199,0.000232324,
44,42,0.95,0.000312925,0.000466782,
45,43,0.95,0.000745754,0.000256616,
46,44,0.95,0.000358917,0.000500153,
47,45,0.95,0.000833682,0.000502718,
48,46,0.95,0.00088975,0.000287052,
49,47,0.95,0.000435741,0.000553208,
50,48,0.95,0.000983994,0.000295849,
51,49,0.95,0.000488518,0.000299232,
52,50,0.95,0.000549768,0.000311837,
53,51,0.95,0.000548105,0.000323328,
54,52,0.95,0.000582147,0.000651803,
55,53,0.95,0.00123378,0.000679571,
