Dimension,NNZ_per_row,Sparsity,TACO_Time
3,2,0.4,0.000907701,
4,2,0.4,0.000843334,
5,3,0.4,0.000760197,
6,3,0.4,0.000739537,
7,3,0.4,0.000773375,
8,4,0.4,0.000771105,
9,4,0.4,0.000756911,
10,5,0.4,0.000766766,
11,5,0.4,0.00076824,
12,5,0.4,0.00082596,
13,6,0.4,0.00077256,
14,6,0.4,0.000769212,
15,7,0.4,0.000772462,
16,7,0.4,0.000805694,
17,7,0.4,0.000805622,
18,8,0.4,0.000779964,
19,8,0.4,0.000778361,
20,9,0.4,0.000787618,
21,9,0.4,0.000800865,
22,9,0.4,0.000805605,
23,10,0.4,0.000802574,
24,10,0.4,0.000791124,
25,11,0.4,0.000858002,
26,11,0.4,0.00081523,
27,11,0.4,0.000826665,
28,12,0.4,0.00085969,
29,12,0.4,0.00083454,
30,13,0.4,0.000845527,
31,13,0.4,0.000852677,
32,13,0.4,0.000854302,
33,14,0.4,0.000907079,
34,14,0.4,0.000901448,
35,15,0.4,0.000887082,
36,15,0.4,0.00091291,
37,15,0.4,0.000915922,
38,16,0.4,0.000950561,
39,16,0.4,0.000904953,
40,17,0.4,0.000910269,
41,17,0.4,0.000919974,
42,17,0.4,0.000933729,
43,18,0.4,0.00099918,
44,18,0.4,0.000978369,
45,19,0.4,0.000976079,
46,19,0.4,0.000986654,
47,19,0.4,0.00100186,
48,20,0.4,0.00104359,
49,20,0.4,0.00100401,
50,21,0.4,0.00101735,
51,21,0.4,0.00104286,
52,21,0.4,0.00105671,
53,22,0.4,0.00106108,
54,22,0.4,0.00110171,
55,23,0.4,0.00109035,
56,23,0.4,0.00108743,
57,23,0.4,0.00110969,
58,24,0.4,0.00115306,
59,24,0.4,0.00112639,
60,25,0.4,0.0011842,
61,25,0.4,0.00115838,
62,25,0.4,0.00118425,
63,26,0.4,0.00119064,
64,26,0.4,0.00120812,
65,27,0.4,0.00122462,
66,27,0.4,0.00120424,
67,27,0.4,0.00122554,
68,28,0.4,0.00127252,
69,28,0.4,0.00128759,
70,29,0.4,0.00132261,
71,29,0.4,0.00131611,
72,29,0.4,0.00140274,
73,30,0.4,0.00132098,
74,30,0.4,0.0013661,
75,31,0.4,0.00138283,
76,31,0.4,0.00140204,
77,31,0.4,0.0014084,
78,32,0.4,0.00139421,
79,32,0.4,0.00149538,
80,33,0.4,0.00153919,
81,33,0.4,0.00147675,
82,33,0.4,0.00151676,
83,34,0.4,0.00147474,
84,34,0.4,0.00152378,
85,35,0.4,0.00161667,
86,35,0.4,0.00157743,
87,35,0.4,0.00160848,
88,36,0.4,0.00166287,
89,36,0.4,0.00164519,
90,37,0.4,0.00169225,
91,37,0.4,0.00177462,
92,37,0.4,0.00173822,
93,38,0.4,0.00176505,
94,38,0.4,0.00173023,
95,39,0.4,0.00185841,
96,39,0.4,0.00178789,
97,39,0.4,0.00188798,
98,40,0.4,0.00186257,
99,40,0.4,0.0018635,
100,41,0.4,0.00191145,
101,41,0.4,0.00192482,
