Dimension,NNZ_per_row,Sparsity,TACO_Time
3,2,0.6,0.000936691,
4,3,0.6,0.00079243,
5,3,0.6,0.000794611,
6,4,0.6,0.000834807,
7,5,0.6,0.000846043,
8,5,0.6,0.000788023,
9,6,0.6,0.00073178,
10,6,0.6,0.000729469,
11,7,0.6,0.000817534,
12,8,0.6,0.000747391,
13,8,0.6,0.000739797,
14,9,0.6,0.000776471,
15,9,0.6,0.000782632,
16,10,0.6,0.000786063,
17,11,0.6,0.000777592,
18,11,0.6,0.000792586,
19,12,0.6,0.000789609,
20,12,0.6,0.000783643,
21,13,0.6,0.000870231,
22,14,0.6,0.000813253,
23,14,0.6,0.000809168,
24,15,0.6,0.000834397,
25,16,0.6,0.000875635,
26,16,0.6,0.000906724,
27,17,0.6,0.000858005,
28,17,0.6,0.000836883,
29,18,0.6,0.000854132,
30,18,0.6,0.000903855,
31,19,0.6,0.000892726,
32,20,0.6,0.000987979,
33,20,0.6,0.000925374,
34,21,0.6,0.0010641,
35,21,0.6,0.000952765,
36,22,0.6,0.000976535,
37,23,0.6,0.00100999,
38,23,0.6,0.000968151,
39,24,0.6,0.00099853,
40,24,0.6,0.0010036,
41,25,0.6,0.00106783,
42,26,0.6,0.00104829,
43,26,0.6,0.0010689,
44,27,0.6,0.0010361,
45,28,0.6,0.00109719,
46,28,0.6,0.00110422,
47,29,0.6,0.0011214,
48,29,0.6,0.00110178,
49,30,0.6,0.0011392,
50,31,0.6,0.00113329,
51,31,0.6,0.00116443,
52,32,0.6,0.00124629,
53,32,0.6,0.00121665,
54,33,0.6,0.00121613,
55,33,0.6,0.00118735,
56,34,0.6,0.00128218,
57,35,0.6,0.00130539,
58,35,0.6,0.00133978,
59,36,0.6,0.00129819,
60,36,0.6,0.00127312,
61,37,0.6,0.00134359,
62,38,0.6,0.00138106,
63,38,0.6,0.00144874,
64,39,0.6,0.00135885,
65,39,0.6,0.00146949,
66,40,0.6,0.00146807,
67,41,0.6,0.00148358,
68,41,0.6,0.00153733,
69,42,0.6,0.00151591,
70,42,0.6,0.00149192,
71,43,0.6,0.00152523,
72,44,0.6,0.00155257,
73,44,0.6,0.0015976,
74,45,0.6,0.00165523,
75,45,0.6,0.00159727,
76,46,0.6,0.00165498,
77,47,0.6,0.00174439,
78,47,0.6,0.00168862,
79,48,0.6,0.00169889,
80,48,0.6,0.00171169,
81,49,0.6,0.0018223,
82,50,0.6,0.00180896,
83,50,0.6,0.00186283,
84,51,0.6,0.00195092,
85,52,0.6,0.00201432,
86,52,0.6,0.00202761,
87,53,0.6,0.00199795,
88,53,0.6,0.00211025,
89,54,0.6,0.00204047,
90,55,0.6,0.00209484,
91,55,0.6,0.00214677,
92,56,0.6,0.00219707,
93,56,0.6,0.00209459,
94,57,0.6,0.0021638,
95,58,0.6,0.00229905,
96,58,0.6,0.00224369,
97,59,0.6,0.00230302,
98,59,0.6,0.00227087,
99,60,0.6,0.00234819,
100,61,0.6,0.00232583,
101,61,0.6,0.00231394,
102,62,0.6,0.00244769,
103,62,0.6,0.00245922,
104,63,0.6,0.00261115,
105,64,0.6,0.00249882,
106,64,0.6,0.00251005,
107,65,0.6,0.00267867,
108,65,0.6,0.0026237,
109,66,0.6,0.00264402,
110,66,0.6,0.00271856,
111,67,0.6,0.00267603,
112,68,0.6,0.00286092,
113,68,0.6,0.00286741,
114,69,0.6,0.00290029,
115,69,0.6,0.00284797,
116,70,0.6,0.00286077,
117,71,0.6,0.00296637,
118,71,0.6,0.0029303,
119,72,0.6,0.00312208,
120,72,0.6,0.00300498,
121,73,0.6,0.00303529,
122,74,0.6,0.0032267,
123,74,0.6,0.00314614,
124,75,0.6,0.0032736,
125,75,0.6,0.00333508,
126,76,0.6,0.00333537,
127,77,0.6,0.00339016,
128,77,0.6,0.00341487,
129,78,0.6,0.00347152,
130,78,0.6,0.00352949,
131,79,0.6,0.00347405,
132,80,0.6,0.00361634,
133,80,0.6,0.00363878,
134,81,0.6,0.00372689,
135,81,0.6,0.00361043,
