Dimension,NNZ_per_row,Sparsity,TACO_Time
3,3,0.75,0.068285,
4,3,0.75,0.0640637,
5,4,0.75,0.0650298,
6,5,0.75,0.0648439,
7,6,0.75,0.0608459,
8,6,0.75,0.0627767,
9,7,0.75,0.0658036,
10,8,0.75,0.066692,
11,9,0.75,0.0660275,
12,9,0.75,0.0617694,
13,10,0.75,0.0624091,
14,11,0.75,0.0667179,
15,12,0.75,0.0670711,
16,12,0.75,0.0643084,
17,13,0.75,0.0636885,
18,14,0.75,0.066232,
19,15,0.75,0.0608358,
20,15,0.75,0.0648537,
21,16,0.75,0.0636774,
22,17,0.75,0.0681252,
23,18,0.75,0.0668127,
24,18,0.75,0.0662788,
25,19,0.75,0.0659013,
26,20,0.75,0.0636859,
27,21,0.75,0.0637045,
28,21,0.75,0.0651225,
29,22,0.75,0.0639332,
30,23,0.75,0.0642615,
31,24,0.75,0.0604746,
32,24,0.75,0.0619861,
33,25,0.75,0.0617042,
34,26,0.75,0.0647458,
35,27,0.75,0.0635342,
36,27,0.75,0.0628768,
37,28,0.75,0.060772,
38,29,0.75,0.0651247,
39,30,0.75,0.0661227,
40,30,0.75,0.0684379,
41,31,0.75,0.0658152,
42,32,0.75,0.0657243,
43,33,0.75,0.066607,
44,33,0.75,0.0647568,
45,34,0.75,0.0646022,
46,35,0.75,0.066286,
47,36,0.75,0.0610069,
48,36,0.75,0.0658522,
49,37,0.75,0.0631326,
50,38,0.75,0.0680141,
51,39,0.75,0.0621427,
52,39,0.75,0.0657324,
53,40,0.75,0.0664922,
54,41,0.75,0.0665931,
55,42,0.75,0.0682788,
56,42,0.75,0.0630165,
57,43,0.75,0.064127,
58,44,0.75,0.0647851,
59,45,0.75,0.0664192,
60,45,0.75,0.0670825,
61,46,0.75,0.0675865,
62,47,0.75,0.0690287,
63,48,0.75,0.0645115,
64,48,0.75,0.0672097,
65,49,0.75,0.065907,
66,50,0.75,0.0639305,
67,51,0.75,0.0669333,
68,51,0.75,0.0674158,
69,52,0.75,0.0652404,
70,53,0.75,0.0650997,
71,54,0.75,0.0678723,
72,54,0.75,0.0645639,
73,55,0.75,0.0658604,
74,56,0.75,0.0667697,
75,57,0.75,0.0654074,
76,57,0.75,0.0653451,
77,58,0.75,0.0639319,
78,59,0.75,0.0646427,
79,60,0.75,0.0651511,
80,60,0.75,0.0670199,
81,61,0.75,0.0651592,
82,62,0.75,0.0682321,
83,63,0.75,0.0659472,
84,63,0.75,0.0651834,
85,64,0.75,0.067206,
86,65,0.75,0.0650694,
87,66,0.75,0.0670772,
88,66,0.75,0.066807,
89,67,0.75,0.0644813,
90,68,0.75,0.0664178,
91,69,0.75,0.0651865,
92,69,0.75,0.064285,
93,70,0.75,0.0652367,
94,71,0.75,0.065628,
95,72,0.75,0.0671059,
96,72,0.75,0.0660562,
97,73,0.75,0.0656403,
98,74,0.75,0.0650232,
99,75,0.75,0.0636098,
100,75,0.75,0.067139,
101,76,0.75,0.0671327,
102,77,0.75,0.070355,
103,78,0.75,0.0658283,
104,78,0.75,0.068488,
105,79,0.75,0.0654634,
106,80,0.75,0.0672703,
107,81,0.75,0.0665738,
108,81,0.75,0.0660978,
109,82,0.75,0.0675514,
110,83,0.75,0.0680555,
111,84,0.75,0.0677869,
112,84,0.75,0.0680823,
113,85,0.75,0.0676154,
114,86,0.75,0.0659309,
115,87,0.75,0.0659896,
116,87,0.75,0.0666708,
117,88,0.75,0.0665514,
118,89,0.75,0.0685163,
119,90,0.75,0.065992,
120,90,0.75,0.0661914,
121,91,0.75,0.0694034,
122,92,0.75,0.0702272,
123,93,0.75,0.0669193,
124,93,0.75,0.0686601,
125,94,0.75,0.0687506,
126,95,0.75,0.0687682,
127,96,0.75,0.067224,
128,96,0.75,0.0693871,
129,97,0.75,0.0680315,
130,98,0.75,0.069588,
131,99,0.75,0.0702942,
132,99,0.75,0.0715078,
133,100,0.75,0.0704199,
134,101,0.75,0.0699939,
135,102,0.75,0.0672053,
136,102,0.75,0.067278,
137,103,0.75,0.0656729,
138,104,0.75,0.06847,
139,105,0.75,0.0680575,
140,105,0.75,0.0679065,
141,106,0.75,0.0696116,
142,107,0.75,0.0704153,
143,108,0.75,0.0714928,
144,108,0.75,0.0694848,
145,109,0.75,0.0680209,
146,110,0.75,0.0677615,
147,111,0.75,0.0695107,
148,111,0.75,0.067655,
149,112,0.75,0.0685697,
150,113,0.75,0.0681805,
151,114,0.75,0.0668194,
152,114,0.75,0.0708319,
153,115,0.75,0.0696042,
154,116,0.75,0.0708812,
155,117,0.75,0.0687396,
156,117,0.75,0.0699127,
157,118,0.75,0.0724328,
158,119,0.75,0.0707151,
159,120,0.75,0.0717613,
160,120,0.75,0.0691608,
161,121,0.75,0.0718024,
162,122,0.75,0.069984,
163,123,0.75,0.0687203,
164,123,0.75,0.070143,
165,124,0.75,0.070156,
166,125,0.75,0.0697033,
167,126,0.75,0.0697203,
168,126,0.75,0.0706208,
169,127,0.75,0.0695678,
170,128,0.75,0.0709032,
171,129,0.75,0.0725132,
172,129,0.75,0.0700824,
173,130,0.75,0.0699666,
174,131,0.75,0.0719652,
175,132,0.75,0.0702314,
176,132,0.75,0.0709892,
177,133,0.75,0.0755416,
178,134,0.75,0.073258,
179,135,0.75,0.0706566,
180,135,0.75,0.0731042,
181,136,0.75,0.0723416,
182,137,0.75,0.0724431,
183,138,0.75,0.072532,
184,138,0.75,0.071199,
185,139,0.75,0.071311,
186,140,0.75,0.0696161,
187,141,0.75,0.0718322,
188,141,0.75,0.0727403,
189,142,0.75,0.072113,
190,143,0.75,0.0730751,
191,144,0.75,0.0717785,
192,144,0.75,0.0722367,
193,145,0.75,0.0706901,
194,146,0.75,0.0725007,
195,147,0.75,0.0726251,
196,147,0.75,0.0742772,
197,148,0.75,0.0725395,
198,149,0.75,0.0730924,
199,150,0.75,0.075145,
200,150,0.75,0.0734887,
201,151,0.75,0.0729732,
202,152,0.75,0.0737222,
203,153,0.75,0.0732292,
204,153,0.75,0.0737211,
205,154,0.75,0.071876,
206,155,0.75,0.0736336,
207,156,0.75,0.0738707,
208,156,0.75,0.0756396,
209,157,0.75,0.0755732,
210,158,0.75,0.0737426,
211,159,0.75,0.0762445,
212,159,0.75,0.0723915,
213,160,0.75,0.0765013,
214,161,0.75,0.074062,
215,162,0.75,0.0714951,
216,162,0.75,0.0752246,
217,163,0.75,0.0734179,
218,164,0.75,0.075272,
219,165,0.75,0.0736312,
220,165,0.75,0.0765166,
221,166,0.75,0.0756648,
222,167,0.75,0.0759937,
223,168,0.75,0.0756924,
224,168,0.75,0.0736574,
225,169,0.75,0.0766462,
226,170,0.75,0.0784253,
227,171,0.75,0.0768434,
228,171,0.75,0.076858,
229,172,0.75,0.0750406,
230,173,0.75,0.0772373,
231,174,0.75,0.0790082,
232,174,0.75,0.0750143,
233,175,0.75,0.0780088,
234,176,0.75,0.077378,
235,177,0.75,0.0751619,
236,177,0.75,0.0760409,
237,178,0.75,0.077624,
238,179,0.75,0.0774608,
239,180,0.75,0.0770701,
240,180,0.75,0.0764393,
241,181,0.75,0.0791893,
242,182,0.75,0.0781643,
243,183,0.75,0.0782903,
244,183,0.75,0.0779828,
245,184,0.75,0.0771977,
246,185,0.75,0.0793432,
247,186,0.75,0.0799289,
248,186,0.75,0.0785473,
249,187,0.75,0.0780763,
250,188,0.75,0.0773626,
251,189,0.75,0.0768343,
252,189,0.75,0.0810475,
253,190,0.75,0.0773662,
254,191,0.75,0.0774296,
255,192,0.75,0.0786469,
256,192,0.75,0.0776125,
257,193,0.75,0.0778383,
258,194,0.75,0.0786953,
259,195,0.75,0.0785232,
260,195,0.75,0.0806028,
261,196,0.75,0.0780524,
262,197,0.75,0.0785178,
263,198,0.75,0.0788253,
264,198,0.75,0.0814865,
265,199,0.75,0.0798572,
266,200,0.75,0.0791782,
267,201,0.75,0.0812487,
268,201,0.75,0.0815793,
269,202,0.75,0.0807253,
270,203,0.75,0.0796396,
271,204,0.75,0.0794145,
272,204,0.75,0.0861234,
273,205,0.75,0.0802704,
274,206,0.75,0.08033,
275,207,0.75,0.0802614,
276,207,0.75,0.0806651,
277,208,0.75,0.0805378,
278,209,0.75,0.0824396,
279,210,0.75,0.0831333,
280,210,0.75,0.0799965,
281,211,0.75,0.0834718,
282,212,0.75,0.0845458,
283,213,0.75,0.0852914,
284,213,0.75,0.0813541,
285,214,0.75,0.0815012,
286,215,0.75,0.0838672,
287,216,0.75,0.0818257,
288,216,0.75,0.087306,
289,217,0.75,0.0850478,
290,218,0.75,0.08446,
291,219,0.75,0.0839,
292,219,0.75,0.0826098,
293,220,0.75,0.0840309,
294,221,0.75,0.0855159,
295,222,0.75,0.085105,
296,222,0.75,0.0832055,
297,223,0.75,0.0850023,
298,224,0.75,0.0841431,
299,225,0.75,0.08606,
300,225,0.75,0.0837506,
301,226,0.75,0.0842082,
302,227,0.75,0.0855799,
303,228,0.75,0.0845186,
304,228,0.75,0.0859883,
305,229,0.75,0.0870077,
306,230,0.75,0.0844618,
307,231,0.75,0.0874746,
308,231,0.75,0.0875271,
309,232,0.75,0.0878542,
310,233,0.75,0.0871746,
311,234,0.75,0.0896266,
312,234,0.75,0.0889072,
313,235,0.75,0.0882548,
314,236,0.75,0.0863665,
315,237,0.75,0.0886501,
316,237,0.75,0.0887355,
317,238,0.75,0.0895635,
318,239,0.75,0.0883749,
319,240,0.75,0.088386,
320,240,0.75,0.0888467,
321,241,0.75,0.0887384,
322,242,0.75,0.0883722,
323,243,0.75,0.0891647,
324,243,0.75,0.0891046,
325,244,0.75,0.0899319,
326,245,0.75,0.0898495,
327,246,0.75,0.0902916,
328,246,0.75,0.0904868,
329,247,0.75,0.0890811,
330,248,0.75,0.0899779,
331,249,0.75,0.0902687,
332,249,0.75,0.090545,
333,250,0.75,0.090822,
334,251,0.75,0.0911124,
335,252,0.75,0.0920617,
336,252,0.75,0.0921086,
337,253,0.75,0.0909975,
338,254,0.75,0.0913855,
339,255,0.75,0.0943939,
340,255,0.75,0.092744,
341,256,0.75,0.0920569,
342,257,0.75,0.0924748,
343,258,0.75,0.092904,
344,258,0.75,0.0922762,
345,259,0.75,0.0906952,
346,260,0.75,0.0959909,
347,261,0.75,0.0927218,
348,261,0.75,0.0933015,
349,262,0.75,0.0943235,
350,263,0.75,0.092813,
351,264,0.75,0.0937916,
352,264,0.75,0.0942491,
353,265,0.75,0.0930544,
354,266,0.75,0.0946253,
355,267,0.75,0.0947181,
356,267,0.75,0.0965711,
357,268,0.75,0.0991357,
358,269,0.75,0.0945055,
359,270,0.75,0.0953466,
360,270,0.75,0.095133,
361,271,0.75,0.0938215,
362,272,0.75,0.0956609,
363,273,0.75,0.0936581,
364,273,0.75,0.0961,
365,274,0.75,0.0960609,
366,275,0.75,0.0969456,
367,276,0.75,0.0953596,
368,276,0.75,0.0997415,
369,277,0.75,0.09753,
370,278,0.75,0.0976442,
371,279,0.75,0.0971261,
372,279,0.75,0.0968265,
373,280,0.75,0.0966703,
374,281,0.75,0.100181,
375,282,0.75,0.0982666,
376,282,0.75,0.100523,
377,283,0.75,0.0980028,
378,284,0.75,0.0989628,
379,285,0.75,0.09801,
380,285,0.75,0.0982544,
381,286,0.75,0.0998731,
382,287,0.75,0.0983949,
383,288,0.75,0.100085,
384,288,0.75,0.0986265,
385,289,0.75,0.0986747,
386,290,0.75,0.0986281,
387,291,0.75,0.102567,
388,291,0.75,0.0984179,
389,292,0.75,0.0994726,
390,293,0.75,0.0995059,
391,294,0.75,0.101063,
392,294,0.75,0.0996098,
393,295,0.75,0.10101,
394,296,0.75,0.101675,
395,297,0.75,0.0995193,
396,297,0.75,0.100976,
397,298,0.75,0.0995744,
398,299,0.75,0.100007,
399,300,0.75,0.10542,
400,300,0.75,0.100884,
401,301,0.75,0.10436,
402,302,0.75,0.1017,
403,303,0.75,0.102757,
404,303,0.75,0.103004,
405,304,0.75,0.104873,
406,305,0.75,0.103316,
407,306,0.75,0.103887,
408,306,0.75,0.102316,
409,307,0.75,0.102569,
410,308,0.75,0.109417,
411,309,0.75,0.109782,
412,309,0.75,0.101579,
413,310,0.75,0.108107,
414,311,0.75,0.110602,
415,312,0.75,0.10808,
416,312,0.75,0.112693,
417,313,0.75,0.11018,
418,314,0.75,0.103115,
419,315,0.75,0.109771,
420,315,0.75,0.111195,
421,316,0.75,0.113615,
422,317,0.75,0.112962,
423,318,0.75,0.109209,
424,318,0.75,0.112599,
425,319,0.75,0.11128,
426,320,0.75,0.110464,
427,321,0.75,0.108397,
428,321,0.75,0.112434,
429,322,0.75,0.110885,
430,323,0.75,0.11119,
431,324,0.75,0.112507,
432,324,0.75,0.111826,
433,325,0.75,0.112656,
434,326,0.75,0.111278,
435,327,0.75,0.11134,
436,327,0.75,0.112968,
437,328,0.75,0.113302,
438,329,0.75,0.115307,
439,330,0.75,0.11575,
440,330,0.75,0.111632,
441,331,0.75,0.115005,
442,332,0.75,0.114787,
443,333,0.75,0.113686,
444,333,0.75,0.114293,
445,334,0.75,0.116341,
446,335,0.75,0.115948,
447,336,0.75,0.114158,
448,336,0.75,0.118957,
449,337,0.75,0.116475,
450,338,0.75,0.116532,
451,339,0.75,0.119283,
452,339,0.75,0.114764,
453,340,0.75,0.115241,
454,341,0.75,0.113376,
455,342,0.75,0.111967,
456,342,0.75,0.114602,
457,343,0.75,0.115759,
458,344,0.75,0.117828,
459,345,0.75,0.113373,
460,345,0.75,0.113121,
461,346,0.75,0.11547,
462,347,0.75,0.116048,
463,348,0.75,0.114434,
464,348,0.75,0.114533,
465,349,0.75,0.11477,
466,350,0.75,0.117758,
467,351,0.75,0.117662,
468,351,0.75,0.116881,
469,352,0.75,0.118036,
470,353,0.75,0.115017,
471,354,0.75,0.120414,
472,354,0.75,0.117176,
473,355,0.75,0.118992,
474,356,0.75,0.116748,
475,357,0.75,0.117216,
476,357,0.75,0.117076,
477,358,0.75,0.118863,
478,359,0.75,0.120289,
479,360,0.75,0.118534,
480,360,0.75,0.118853,
481,361,0.75,0.121326,
482,362,0.75,0.120361,
483,363,0.75,0.121382,
484,363,0.75,0.116518,
485,364,0.75,0.120172,
486,365,0.75,0.118604,
487,366,0.75,0.120249,
488,366,0.75,0.119688,
489,367,0.75,0.121037,
490,368,0.75,0.119869,
491,369,0.75,0.122503,
492,369,0.75,0.12119,
493,370,0.75,0.120645,
494,371,0.75,0.124184,
495,372,0.75,0.123421,
496,372,0.75,0.124116,
497,373,0.75,0.123934,
498,374,0.75,0.124009,
499,375,0.75,0.119904,
500,375,0.75,0.122548,
501,376,0.75,0.123902,
502,377,0.75,0.125127,
503,378,0.75,0.123803,
504,378,0.75,0.125783,
505,379,0.75,0.121123,
506,380,0.75,0.124739,
507,381,0.75,0.124498,
508,381,0.75,0.121867,
509,382,0.75,0.124647,
510,383,0.75,0.125433,
511,384,0.75,0.126646,
512,384,0.75,0.125155,
513,385,0.75,0.126086,
514,386,0.75,0.129179,
515,387,0.75,0.127499,
516,387,0.75,0.127211,
517,388,0.75,0.127952,
518,389,0.75,0.126504,
519,390,0.75,0.128949,
520,390,0.75,0.125072,
521,391,0.75,0.127643,
522,392,0.75,0.130511,
523,393,0.75,0.128969,
524,393,0.75,0.129543,
525,394,0.75,0.128968,
526,395,0.75,0.128837,
527,396,0.75,0.128782,
528,396,0.75,0.13123,
529,397,0.75,0.130455,
530,398,0.75,0.130012,
531,399,0.75,0.129111,
532,399,0.75,0.129642,
533,400,0.75,0.130067,
534,401,0.75,0.131204,
535,402,0.75,0.132867,
536,402,0.75,0.131176,
537,403,0.75,0.131666,
538,404,0.75,0.130898,
539,405,0.75,0.13188,
540,405,0.75,0.133714,
541,406,0.75,0.133739,
542,407,0.75,0.13441,
543,408,0.75,0.132614,
544,408,0.75,0.133519,
545,409,0.75,0.137967,
546,410,0.75,0.134136,
547,411,0.75,0.133424,
548,411,0.75,0.133819,
549,412,0.75,0.132828,
550,413,0.75,0.134208,
551,414,0.75,0.134894,
552,414,0.75,0.138047,
553,415,0.75,0.134465,
554,416,0.75,0.136776,
555,417,0.75,0.135781,
556,417,0.75,0.136061,
557,418,0.75,0.139086,
558,419,0.75,0.138495,
559,420,0.75,0.138368,
560,420,0.75,0.135905,
561,421,0.75,0.137769,
562,422,0.75,0.141871,
563,423,0.75,0.136922,
564,423,0.75,0.139524,
565,424,0.75,0.13986,
566,425,0.75,0.140977,
567,426,0.75,0.139409,
568,426,0.75,0.139504,
569,427,0.75,0.139563,
570,428,0.75,0.1392,
571,429,0.75,0.14103,
572,429,0.75,0.139484,
573,430,0.75,0.142026,
574,431,0.75,0.139922,
575,432,0.75,0.142192,
576,432,0.75,0.143486,
577,433,0.75,0.142503,
578,434,0.75,0.143582,
579,435,0.75,0.142485,
580,435,0.75,0.143421,
581,436,0.75,0.142556,
582,437,0.75,0.142234,
583,438,0.75,0.143297,
584,438,0.75,0.142521,
585,439,0.75,0.145041,
586,440,0.75,0.142535,
587,441,0.75,0.145016,
588,441,0.75,0.147205,
589,442,0.75,0.143375,
590,443,0.75,0.147605,
591,444,0.75,0.143549,
592,444,0.75,0.149249,
593,445,0.75,0.147063,
594,446,0.75,0.148535,
595,447,0.75,0.147842,
596,447,0.75,0.14744,
597,448,0.75,0.147063,
598,449,0.75,0.14771,
599,450,0.75,0.150605,
600,450,0.75,0.148596,
601,451,0.75,0.147386,
602,452,0.75,0.148889,
603,453,0.75,0.151484,
604,453,0.75,0.150699,
605,454,0.75,0.146998,
606,455,0.75,0.149001,
607,456,0.75,0.153162,
608,456,0.75,0.150735,
609,457,0.75,0.148403,
610,458,0.75,0.151412,
611,459,0.75,0.150594,
612,459,0.75,0.151471,
613,460,0.75,0.151204,
614,461,0.75,0.152807,
615,462,0.75,0.154006,
616,462,0.75,0.152555,
617,463,0.75,0.152838,
618,464,0.75,0.152429,
619,465,0.75,0.153073,
620,465,0.75,0.154288,
621,466,0.75,0.152984,
622,467,0.75,0.155549,
623,468,0.75,0.153896,
624,468,0.75,0.155639,
625,469,0.75,0.157502,
626,470,0.75,0.160199,
627,471,0.75,0.156345,
628,471,0.75,0.155435,
629,472,0.75,0.15252,
630,473,0.75,0.158379,
631,474,0.75,0.15602,
632,474,0.75,0.160465,
633,475,0.75,0.158512,
634,476,0.75,0.157194,
635,477,0.75,0.158021,
636,477,0.75,0.157449,
637,478,0.75,0.158307,
638,479,0.75,0.159043,
639,480,0.75,0.161232,
640,480,0.75,0.159402,
641,481,0.75,0.158038,
642,482,0.75,0.161481,
643,483,0.75,0.158075,
644,483,0.75,0.16061,
645,484,0.75,0.164676,
646,485,0.75,0.161543,
647,486,0.75,0.16104,
648,486,0.75,0.162872,
649,487,0.75,0.160184,
650,488,0.75,0.162487,
651,489,0.75,0.164058,
652,489,0.75,0.164744,
653,490,0.75,0.167995,
654,491,0.75,0.165046,
655,492,0.75,0.163507,
656,492,0.75,0.163211,
657,493,0.75,0.165036,
658,494,0.75,0.164319,
659,495,0.75,0.163944,
660,495,0.75,0.166291,
661,496,0.75,0.166634,
662,497,0.75,0.166508,
663,498,0.75,0.167957,
664,498,0.75,0.170085,
665,499,0.75,0.168174,
666,500,0.75,0.167974,
667,501,0.75,0.167702,
668,501,0.75,0.168841,
669,502,0.75,0.167949,
670,503,0.75,0.171209,
671,504,0.75,0.168086,
672,504,0.75,0.168451,
673,505,0.75,0.169322,
674,506,0.75,0.167775,
675,507,0.75,0.168583,
676,507,0.75,0.17211,
677,508,0.75,0.169923,
678,509,0.75,0.17189,
679,510,0.75,0.171604,
680,510,0.75,0.170331,
681,511,0.75,0.172297,
682,512,0.75,0.173219,
683,513,0.75,0.172775,
684,513,0.75,0.174627,
685,514,0.75,0.172571,
686,515,0.75,0.176246,
687,516,0.75,0.174119,
688,516,0.75,0.173614,
689,517,0.75,0.174068,
690,518,0.75,0.173849,
691,519,0.75,0.175061,
692,519,0.75,0.175884,
693,520,0.75,0.173973,
694,521,0.75,0.174861,
695,522,0.75,0.177721,
696,522,0.75,0.177346,
697,523,0.75,0.177568,
698,524,0.75,0.17579,
699,525,0.75,0.178669,
700,525,0.75,0.177977,
701,526,0.75,0.179028,
702,527,0.75,0.176642,
703,528,0.75,0.18089,
704,528,0.75,0.179702,
705,529,0.75,0.175407,
706,530,0.75,0.179765,
707,531,0.75,0.179343,
708,531,0.75,0.179949,
709,532,0.75,0.182707,
710,533,0.75,0.180128,
711,534,0.75,0.179784,
712,534,0.75,0.180295,
