sparsity,elapsed_time
0.10,0.121843000
0.15,0.168314000
0.20,0.228618000
0.25,0.285655000
0.30,0.344806000
0.35,0.394872000
0.40,0.442733000
0.45,0.497275000
0.50,0.564457000
0.55,0.608903000
0.60,0.669681000
0.65,0.719889000
0.70,0.782912000
0.75,0.831052000
0.80,0.903980000
0.85,0.954012000
0.90,0.999799000
