dimension,elapsed_time
402,0.040943000
403,0.045710000
404,0.042602000
405,0.042414000
406,0.042061000
407,0.042829000
408,0.042944000
409,0.043191000
410,0.043576000
411,0.044066000
412,0.044163000
413,0.044512000
414,0.044891000
415,0.045366000
416,0.045306000
417,0.046012000
418,0.046191000
419,0.046232000
420,0.046738000
421,0.047167000
422,0.047253000
423,0.047610000
424,0.048024000
425,0.048629000
426,0.048664000
427,0.049115000
428,0.049645000
429,0.049595000
430,0.050451000
431,0.051194000
432,0.052020000
433,0.053385000
434,0.052504000
435,0.052490000
436,0.052398000
437,0.052699000
438,0.054033000
439,0.054797000
440,0.054431000
441,0.054190000
442,0.054687000
443,0.055425000
444,0.056031000
445,0.056304000
446,0.056229000
447,0.056515000
448,0.057318000
449,0.057506000
450,0.057668000
451,0.061226000
452,0.061288000
453,0.059161000
454,0.060144000
455,0.059682000
456,0.059533000
457,0.060075000
458,0.060572000
459,0.061572000
460,0.061319000
461,0.061643000
462,0.061800000
463,0.062629000
464,0.062783000
465,0.063679000
466,0.063204000
467,0.064925000
468,0.064361000
469,0.064472000
470,0.065032000
471,0.065501000
472,0.067469000
473,0.070316000
474,0.067075000
475,0.068542000
476,0.070363000
477,0.070748000
478,0.068490000
479,0.069935000
480,0.070267000
481,0.070422000
482,0.070075000
483,0.071613000
484,0.070886000
485,0.071442000
486,0.072334000
487,0.072802000
488,0.072773000
489,0.073000000
490,0.074141000
491,0.074169000
492,0.074334000
493,0.074867000
494,0.075709000
495,0.075883000
496,0.077022000
497,0.076661000
498,0.077377000
499,0.077587000
500,0.077977000
501,0.078519000
502,0.079534000
503,0.079348000
504,0.080140000
505,0.080704000
506,0.081510000
507,0.081522000
508,0.082942000
509,0.082106000
510,0.082617000
511,0.083701000
512,0.083711000
513,0.085090000
514,0.084707000
515,0.085553000
516,0.085880000
517,0.086380000
518,0.086901000
519,0.087890000
520,0.087556000
521,0.088166000
522,0.088809000
523,0.088986000
524,0.090599000
525,0.090227000
526,0.090853000
527,0.091767000
528,0.091945000
529,0.093127000
530,0.092362000
531,0.093468000
532,0.094035000
533,0.094217000
534,0.095955000
535,0.095271000
536,0.095762000
537,0.096929000
538,0.097115000
539,0.097915000
540,0.097856000
541,0.098672000
542,0.099400000
543,0.102168000
544,0.101648000
545,0.104763000
546,0.102541000
547,0.102090000
548,0.104187000
549,0.102350000
550,0.102942000
551,0.103797000
552,0.103817000
553,0.105593000
554,0.105403000
555,0.109250000
556,0.108360000
557,0.108065000
558,0.110014000
559,0.108133000
560,0.109481000
561,0.110139000
562,0.109903000
563,0.110192000
564,0.111298000
565,0.111857000
566,0.112847000
567,0.112754000
568,0.113633000
569,0.113526000
570,0.115264000
571,0.115355000
572,0.115523000
573,0.116016000
574,0.117975000
575,0.117927000
576,0.117958000
577,0.118813000
578,0.120099000
579,0.119718000
580,0.120545000
581,0.121258000
582,0.122667000
583,0.122191000
584,0.123249000
585,0.123700000
586,0.125172000
587,0.124928000
588,0.125807000
589,0.126364000
590,0.126802000
591,0.127466000
592,0.127941000
593,0.129252000
594,0.129460000
595,0.130295000
596,0.130459000
597,0.132202000
598,0.132077000
599,0.132599000
600,0.133958000
601,0.134029000
602,0.134218000
603,0.134881000
604,0.136919000
605,0.136787000
606,0.137027000
607,0.138464000
608,0.138793000
609,0.139078000
610,0.139845000
611,0.141917000
612,0.140837000
613,0.141935000
614,0.143363000
615,0.143442000
616,0.144189000
617,0.145261000
618,0.145785000
619,0.145808000
620,0.147143000
621,0.147810000
622,0.147895000
623,0.148738000
624,0.150782000
625,0.150567000
626,0.150815000
627,0.152631000
628,0.152694000
629,0.153322000
630,0.154488000
631,0.154817000
632,0.155267000
633,0.156551000
634,0.156845000
635,0.158053000
636,0.158919000
637,0.158774000
638,0.160008000
639,0.161140000
640,0.161041000
641,0.162510000
642,0.163255000
643,0.163430000
644,0.164176000
645,0.166327000
646,0.165622000
647,0.166257000
648,0.168084000
649,0.167795000
650,0.169255000
651,0.169641000
652,0.170021000
653,0.171648000
654,0.172044000
655,0.172941000
656,0.174079000
657,0.174154000
658,0.175121000
659,0.176606000
660,0.176527000
661,0.178014000
662,0.177919000
663,0.179068000
664,0.180636000
665,0.180896000
666,0.180928000
667,0.182929000
668,0.183423000
669,0.184125000
670,0.184455000
671,0.185866000
672,0.187068000
673,0.187027000
674,0.188498000
675,0.189102000
676,0.189604000
677,0.191345000
678,0.191453000
679,0.192186000
680,0.193255000
681,0.194494000
682,0.195915000
683,0.195297000
684,0.196855000
685,0.197130000
686,0.197647000
687,0.199385000
688,0.200512000
689,0.201107000
690,0.201420000
691,0.202822000
692,0.202592000
693,0.204260000
694,0.206963000
695,0.206263000
696,0.207112000
697,0.207524000
698,0.208915000
699,0.208930000
700,0.210432000
701,0.211294000
702,0.212013000
703,0.213792000
704,0.213855000
705,0.215913000
706,0.215505000
707,0.216953000
708,0.217498000
709,0.218313000
710,0.219155000
711,0.221209000
712,0.220690000
713,0.228349000
714,0.264424000
715,0.236346000
716,0.239551000
717,0.235216000
718,0.235561000
719,0.237066000
720,0.238322000
721,0.236314000
722,0.232753000
723,0.234731000
724,0.236149000
725,0.236286000
726,0.235330000
727,0.237389000
728,0.238841000
729,0.239372000
730,0.240098000
731,0.241743000
732,0.241989000
733,0.242674000
734,0.244503000
735,0.244376000
736,0.246314000
737,0.247231000
738,0.248434000
739,0.248446000
740,0.249800000
741,0.250326000
742,0.251738000
743,0.251911000
744,0.254519000
745,0.254923000
746,0.254860000
747,0.257169000
748,0.257875000
749,0.258858000
750,0.260162000
751,0.260978000
752,0.261533000
753,0.262952000
754,0.263396000
755,0.265652000
756,0.265737000
757,0.266992000
758,0.268770000
759,0.269061000
760,0.270154000
761,0.271705000
762,0.271672000
763,0.272725000
764,0.274476000
765,0.276449000
766,0.276018000
767,0.277844000
768,0.279449000
769,0.279951000
770,0.280976000
771,0.281831000
772,0.282793000
773,0.283481000
774,0.285599000
775,0.286901000
776,0.286650000
777,0.288913000
778,0.290318000
779,0.290672000
780,0.292158000
781,0.292894000
782,0.293861000
783,0.295029000
784,0.296596000
785,0.298553000
786,0.298746000
787,0.299968000
788,0.302038000
789,0.301002000
790,0.303484000
791,0.304145000
792,0.311196000
793,0.306835000
794,0.308513000
795,0.309534000
796,0.309871000
797,0.311159000
798,0.313042000
799,0.313514000
800,0.314225000
801,0.316325000
802,0.317715000
803,0.317883000
804,0.319154000
805,0.321083000
806,0.322002000
807,0.323051000
808,0.325082000
809,0.325387000
810,0.326467000
811,0.328050000
812,0.328669000
813,0.330244000
814,0.331259000
815,0.332893000
816,0.334361000
817,0.335189000
818,0.336546000
819,0.337126000
820,0.339033000
821,0.340852000
822,0.340585000
823,0.342912000
824,0.344036000
825,0.345711000
826,0.344813000
827,0.347764000
828,0.349580000
829,0.349920000
830,0.352032000
831,0.353037000
832,0.353658000
833,0.354884000
834,0.356609000
835,0.357853000
836,0.359370000
837,0.360414000
838,0.362326000
839,0.362263000
840,0.364120000
841,0.383891000
842,0.386154000
843,0.384178000
844,0.378447000
845,0.373479000
846,0.419489000
847,0.375399000
848,0.374790000
849,0.373171000
850,0.383201000
851,0.402972000
852,0.405628000
853,0.395741000
854,0.385312000
855,0.387215000
856,0.386025000
857,0.386209000
858,0.388676000
859,0.400224000
860,0.401418000
861,0.401432000
862,0.403750000
863,0.401716000
864,0.399705000
865,0.405647000
866,0.405898000
867,0.401894000
868,0.400261000
869,0.401471000
870,0.402424000
871,0.431845000
872,0.410813000
873,0.409942000
874,0.431652000
875,0.461772000
876,0.429210000
877,0.416039000
878,0.418768000
879,0.425387000
