sparsity,elapsed_time
0.10,0.102490000
0.15,0.141477000
0.20,0.180183000
0.25,0.260041000
0.30,0.265877000
0.35,0.336471000
0.40,0.357261000
0.45,0.392232000
0.50,0.431658000
0.55,0.479996000
0.60,0.520227000
0.65,0.557801000
0.70,0.600199000
0.75,0.635689000
0.80,0.691308000
0.85,0.725593000
0.90,0.780033000
