Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,2,0.4,4.72e-07,0.000605677,
4,2,0.4,4.9e-07,0.000494225,
5,3,0.4,4.67e-07,0.000466119,
6,3,0.4,5.71e-07,0.000486387,
7,3,0.4,5.05e-07,0.000483336,
8,4,0.4,7.54e-07,0.000492197,
9,4,0.4,7.55e-07,0.000562226,
10,5,0.4,9.82e-07,0.000483228,
11,5,0.4,1.136e-06,0.000474267,
12,5,0.4,9.56e-07,0.00047764,
13,6,0.4,1.318e-06,0.000474263,
14,6,0.4,1.354e-06,0.000526103,
15,7,0.4,1.656e-06,0.000468566,
16,7,0.4,1.765e-06,0.000479371,
17,7,0.4,5.746e-06,0.00109607,
18,8,0.4,6.217e-06,0.000580259,
19,8,0.4,2.112e-06,0.000501817,
20,9,0.4,3.711e-06,0.000525248,
21,9,0.4,3.803e-06,0.000558058,
22,9,0.4,2.799e-06,0.000547202,
23,10,0.4,5.693e-06,0.000515184,
24,10,0.4,3.67e-06,0.000544754,
25,11,0.4,4.524e-06,0.000521825,
26,11,0.4,4.416e-06,0.000531735,
27,11,0.4,4.71e-06,0.000546078,
28,12,0.4,5.419e-06,0.000584448,
29,12,0.4,5.579e-06,0.000559562,
30,13,0.4,5.886e-06,0.000557635,
31,13,0.4,6.551e-06,0.000562964,
32,13,0.4,6.617e-06,0.000544832,
33,14,0.4,8.006e-06,0.000575868,
34,14,0.4,7.686e-06,0.000635341,
35,15,0.4,8.835e-06,0.000598068,
36,15,0.4,8.996e-06,0.000636992,
37,15,0.4,9.362e-06,0.000609401,
38,16,0.4,1.0565e-05,0.000634316,
39,16,0.4,1.0388e-05,0.000616867,
40,17,0.4,1.1788e-05,0.00063024,
41,17,0.4,1.1944e-05,0.00064274,
42,17,0.4,1.2275e-05,0.000639318,
43,18,0.4,1.4048e-05,0.000642791,
44,18,0.4,1.4857e-05,0.000673887,
45,19,0.4,1.694e-05,0.000677724,
46,19,0.4,1.6973e-05,0.000680995,
47,19,0.4,1.7909e-05,0.000658367,
48,20,0.4,2.0237e-05,0.000717599,
49,20,0.4,2.0146e-05,0.000705877,
50,21,0.4,2.1954e-05,0.000700451,
51,21,0.4,2.2397e-05,0.000717148,
52,21,0.4,2.3125e-05,0.000730988,
53,22,0.4,2.5264e-05,0.0007561,
54,22,0.4,2.5827e-05,0.000736433,
55,23,0.4,3.1188e-05,0.000785395,
56,23,0.4,2.8271e-05,0.000793746,
57,23,0.4,2.7801e-05,0.000785456,
58,24,0.4,3.1751e-05,0.000774131,
59,24,0.4,3.1023e-05,0.000803579,
60,25,0.4,3.2774e-05,0.000822049,
61,25,0.4,5.721e-05,0.000878165,
62,25,0.4,3.4318e-05,0.000894519,
63,26,0.4,3.8943e-05,0.00090627,
64,26,0.4,3.7701e-05,0.000866528,
65,27,0.4,4.0309e-05,0.000892799,
66,27,0.4,4.35e-05,0.000912514,
67,27,0.4,4.2947e-05,0.000922723,
68,28,0.4,4.6591e-05,0.000959787,
69,28,0.4,4.8317e-05,0.000939221,
70,29,0.4,4.9502e-05,0.000965537,
71,29,0.4,4.839e-05,0.000988579,
72,29,0.4,5.0669e-05,0.000988259,
73,30,0.4,0.000101824,0.00099578,
74,30,0.4,5.5477e-05,0.00103594,
75,31,0.4,6.1035e-05,0.001043,
76,31,0.4,6.2339e-05,0.00106695,
77,31,0.4,6.2887e-05,0.00104948,
78,32,0.4,6.4862e-05,0.00111634,
79,32,0.4,6.7822e-05,0.00111493,
80,33,0.4,7.1128e-05,0.0012386,
81,33,0.4,0.00013397,0.00119421,
82,33,0.4,7.1486e-05,0.00120682,
83,34,0.4,7.9852e-05,0.00115711,
84,34,0.4,0.000146499,0.00121397,
85,35,0.4,8.147e-05,0.00118684,
86,35,0.4,8.5846e-05,0.00122672,
87,35,0.4,0.000161659,0.00126499,
88,36,0.4,9.1442e-05,0.00130433,
89,36,0.4,9.118e-05,0.00133413,
90,37,0.4,9.9115e-05,0.00132433,
91,37,0.4,0.000100581,0.0013324,
92,37,0.4,9.9737e-05,0.00135178,
93,38,0.4,0.000105512,0.00135148,
94,38,0.4,0.000103444,0.00140841,
95,39,0.4,0.00010896,0.00139819,
96,39,0.4,0.00011846,0.00143769,
97,39,0.4,0.000119237,0.00146229,
98,40,0.4,0.000123641,0.0015111,
99,40,0.4,0.000123452,0.00145128,
100,41,0.4,0.000132345,0.00154425,
101,41,0.4,0.000130887,0.00151012,
102,41,0.4,0.000128874,0.00152718,
103,42,0.4,0.000134781,0.00154512,
104,42,0.4,0.00013746,0.0015822,
105,43,0.4,0.000143665,0.00164908,
106,43,0.4,0.000142903,0.0016426,
107,43,0.4,0.000147821,0.00162351,
108,44,0.4,0.000158731,0.00173185,
109,44,0.4,0.000162004,0.00169589,
110,45,0.4,0.000161229,0.00172181,
111,45,0.4,0.000169367,0.00175396,
112,45,0.4,0.00016476,0.00175939,
113,46,0.4,0.000176075,0.00183268,
114,46,0.4,0.000180581,0.00182449,
115,47,0.4,0.000353447,0.00189928,
116,47,0.4,0.000194171,0.00188373,
117,47,0.4,0.000191279,0.00191504,
118,48,0.4,0.000202424,0.00196658,
119,48,0.4,0.000205364,0.00198454,
120,49,0.4,0.000211013,0.00208012,
121,49,0.4,0.000305834,0.00201692,
122,49,0.4,0.000217198,0.00207201,
123,50,0.4,0.000229155,0.00215712,
124,50,0.4,0.000227485,0.00210361,
125,51,0.4,0.000237697,0.00210904,
126,51,0.4,0.000238563,0.00217693,
127,51,0.4,0.000241086,0.00218745,
128,52,0.4,0.000250146,0.00222293,
129,52,0.4,0.000250964,0.00228797,
130,53,0.4,0.000266256,0.00233909,
131,53,0.4,0.000265609,0.00232729,
132,53,0.4,0.000267268,0.00230006,
133,54,0.4,0.000281708,0.00237377,
134,54,0.4,0.000282217,0.00231973,
135,55,0.4,0.000288024,0.00243509,
136,55,0.4,0.000294969,0.0024429,
137,55,0.4,0.000296829,0.00247625,
138,56,0.4,0.00031087,0.00255293,
139,56,0.4,0.000311168,0.00252898,
140,57,0.4,0.000536918,0.00249505,
141,57,0.4,0.00031718,0.00249794,
142,57,0.4,0.000337215,0.00258838,
143,58,0.4,0.000408173,0.00265737,
144,58,0.4,0.000340846,0.00269191,
145,59,0.4,0.000358381,0.00271237,
146,59,0.4,0.000354171,0.00270448,
147,59,0.4,0.000360695,0.00277351,
148,60,0.4,0.000388704,0.00286547,
149,60,0.4,0.000371777,0.0028321,
150,61,0.4,0.000389236,0.00290718,
151,61,0.4,0.000399332,0.00293368,
152,61,0.4,0.000405354,0.00294497,
153,62,0.4,0.000412691,0.00296439,
154,62,0.4,0.000401158,0.00296528,
155,63,0.4,0.000429574,0.00302531,
156,63,0.4,0.00041826,0.00304753,
157,63,0.4,0.000427377,0.0030772,
158,64,0.4,0.000453858,0.0031197,
159,64,0.4,0.000458825,0.00314683,
160,65,0.4,0.000458099,0.00318406,
161,65,0.4,0.0004595,0.00319462,
162,65,0.4,0.000465179,0.00327808,
163,66,0.4,0.000475287,0.00326448,
164,66,0.4,0.000478428,0.00333072,
165,67,0.4,0.000497969,0.00336433,
166,67,0.4,0.000499081,0.00334162,
167,67,0.4,0.000502471,0.00335978,
168,68,0.4,0.000513643,0.00339498,
169,68,0.4,0.000836197,0.00348027,
170,69,0.4,0.00053574,0.00349874,
171,69,0.4,0.000546315,0.00353036,
172,69,0.4,0.000546383,0.00356399,
173,70,0.4,0.00056229,0.00361629,
174,70,0.4,0.000564636,0.00362765,
175,71,0.4,0.000583359,0.00370513,
176,71,0.4,0.000589572,0.00372414,
177,71,0.4,0.000808535,0.00377867,
178,72,0.4,0.000605731,0.00380342,
179,72,0.4,0.000616242,0.00378651,
180,73,0.4,0.000629698,0.00383433,
181,73,0.4,0.000638977,0.00386477,
182,73,0.4,0.000639495,0.00394243,
