Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,1,0.15,3.53e-07,0.000633202,
4,1,0.15,3.39e-07,0.000492018,
5,1,0.15,3.61e-07,0.000482464,
6,1,0.15,7.95e-07,0.00116567,
7,2,0.15,5.94e-07,0.000810849,
8,2,0.15,9.23e-07,0.000584419,
9,2,0.15,5.99e-07,0.000562422,
10,2,0.15,5.51e-07,0.000488221,
11,2,0.15,5.56e-07,0.000476702,
12,2,0.15,5.77e-07,0.000484304,
13,2,0.15,5.44e-07,0.000486062,
14,3,0.15,9.27e-07,0.000491252,
15,3,0.15,8.27e-07,0.000488902,
16,3,0.15,9.13e-07,0.000486512,
17,3,0.15,8.86e-07,0.000466042,
18,3,0.15,8.77e-07,0.000483048,
19,3,0.15,1.109e-06,0.000527151,
20,3,0.15,9.18e-07,0.000468863,
21,4,0.15,1.583e-06,0.000480234,
22,4,0.15,1.429e-06,0.000501743,
23,4,0.15,1.311e-06,0.000493599,
24,4,0.15,1.33e-06,0.000511874,
25,4,0.15,1.629e-06,0.000512142,
26,4,0.15,1.328e-06,0.00046738,
27,5,0.15,1.938e-06,0.000488652,
28,5,0.15,1.912e-06,0.000543805,
29,5,0.15,1.881e-06,0.000513892,
30,5,0.15,1.981e-06,0.000566107,
31,5,0.15,1.953e-06,0.000492398,
32,5,0.15,1.968e-06,0.000517902,
33,5,0.15,2.067e-06,0.000502865,
34,6,0.15,3.008e-06,0.000503938,
35,6,0.15,2.555e-06,0.000504393,
36,6,0.15,2.936e-06,0.000506124,
37,6,0.15,2.912e-06,0.000512117,
38,6,0.15,3.083e-06,0.00057885,
39,6,0.15,3.389e-06,0.000573527,
40,6,0.15,2.721e-06,0.000519789,
41,7,0.15,3.864e-06,0.000533655,
42,7,0.15,4.929e-06,0.000600084,
43,7,0.15,3.581e-06,0.000552365,
44,7,0.15,4.089e-06,0.0006058,
45,7,0.15,5.442e-06,0.000526142,
46,7,0.15,4.136e-06,0.000590219,
47,8,0.15,4.857e-06,0.00055506,
48,8,0.15,4.931e-06,0.000549189,
49,8,0.15,5.001e-06,0.000605242,
50,8,0.15,5.061e-06,0.000555454,
51,8,0.15,4.993e-06,0.000555209,
52,8,0.15,5.211e-06,0.000577613,
53,8,0.15,7.243e-06,0.000562867,
54,9,0.15,9.093e-06,0.000574202,
55,9,0.15,5.898e-06,0.0005785,
56,9,0.15,6.393e-06,0.000578729,
57,9,0.15,6.196e-06,0.000597491,
58,9,0.15,6.33e-06,0.000587704,
59,9,0.15,6.821e-06,0.000599848,
60,9,0.15,6.981e-06,0.000600839,
61,10,0.15,1.2617e-05,0.0006062,
62,10,0.15,8.429e-06,0.000599435,
63,10,0.15,1.2501e-05,0.000613163,
64,10,0.15,8.267e-06,0.000625183,
65,10,0.15,9.057e-06,0.00069976,
66,10,0.15,8.743e-06,0.000610094,
67,11,0.15,1.0623e-05,0.000651179,
68,11,0.15,1.0426e-05,0.000648528,
69,11,0.15,1.0313e-05,0.000638975,
70,11,0.15,1.56e-05,0.000662851,
71,11,0.15,1.0915e-05,0.000659101,
72,11,0.15,1.0842e-05,0.000646741,
73,11,0.15,1.0914e-05,0.000659247,
74,12,0.15,1.2232e-05,0.000688184,
75,12,0.15,1.3158e-05,0.000684717,
76,12,0.15,1.3342e-05,0.000678037,
77,12,0.15,2.0037e-05,0.000705095,
78,12,0.15,1.3243e-05,0.000682411,
79,12,0.15,1.3158e-05,0.00070021,
80,12,0.15,1.3617e-05,0.000727534,
81,13,0.15,1.5773e-05,0.000762134,
82,13,0.15,1.6128e-05,0.000724519,
