Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,2,0.35,9.36e-07,0.00100319,
4,2,0.35,5.11e-07,0.000558958,
5,2,0.35,4.72e-07,0.000565704,
6,3,0.35,5.65e-07,0.000496751,
7,3,0.35,5.91e-07,0.00047786,
8,3,0.35,5.87e-07,0.000471604,
9,4,0.35,6.39e-07,0.000529295,
10,4,0.35,7.4e-07,0.000514878,
11,4,0.35,7.89e-07,0.000482568,
12,5,0.35,8.8e-07,0.000475977,
13,5,0.35,1.221e-06,0.000469384,
14,5,0.35,1.165e-06,0.000474493,
15,6,0.35,1.596e-06,0.00048499,
16,6,0.35,1.492e-06,0.000478952,
17,6,0.35,1.561e-06,0.000500507,
18,7,0.35,2.03e-06,0.000508284,
19,7,0.35,1.88e-06,0.000524965,
20,8,0.35,2.378e-06,0.000558096,
21,8,0.35,2.629e-06,0.000511262,
22,8,0.35,6.214e-06,0.000537631,
23,9,0.35,3.349e-06,0.000532271,
24,9,0.35,3.5e-06,0.000537156,
25,9,0.35,4.69e-06,0.000570756,
26,10,0.35,3.811e-06,0.000535033,
27,10,0.35,3.928e-06,0.000529006,
28,10,0.35,4.273e-06,0.000526885,
29,11,0.35,7.394e-06,0.000540711,
30,11,0.35,4.686e-06,0.000562849,
31,11,0.35,7.445e-06,0.000565651,
32,12,0.35,6.109e-06,0.000573178,
33,12,0.35,5.956e-06,0.000555707,
34,12,0.35,9.099e-06,0.000562897,
35,13,0.35,6.877e-06,0.00057416,
36,13,0.35,7.017e-06,0.000593428,
37,13,0.35,7.175e-06,0.000589814,
38,14,0.35,8.343e-06,0.000592624,
39,14,0.35,8.375e-06,0.00062637,
40,15,0.35,1.0176e-05,0.000647451,
41,15,0.35,9.72e-06,0.000621152,
42,15,0.35,1.0085e-05,0.000636107,
43,16,0.35,1.1829e-05,0.000665971,
44,16,0.35,1.1503e-05,0.000645602,
45,16,0.35,1.1949e-05,0.000649988,
46,17,0.35,1.4056e-05,0.000660393,
47,17,0.35,1.3288e-05,0.000699917,
48,17,0.35,1.4354e-05,0.000671194,
49,18,0.35,1.6309e-05,0.000712188,
50,18,0.35,1.7166e-05,0.000688093,
51,18,0.35,1.6283e-05,0.000693545,
52,19,0.35,2.0064e-05,0.000704448,
53,19,0.35,2.0134e-05,0.000741242,
54,19,0.35,1.9967e-05,0.000721386,
55,20,0.35,2.3446e-05,0.000748342,
56,20,0.35,3.5321e-05,0.000742612,
57,20,0.35,2.4473e-05,0.000751955,
58,21,0.35,2.6124e-05,0.000814006,
59,21,0.35,4.2816e-05,0.000789173,
60,22,0.35,2.8949e-05,0.000791734,
61,22,0.35,2.9368e-05,0.00079292,
62,22,0.35,2.983e-05,0.000850144,
63,23,0.35,3.2718e-05,0.000837233,
64,23,0.35,3.3021e-05,0.000829196,
65,23,0.35,3.3873e-05,0.00084193,
66,24,0.35,3.5717e-05,0.000873747,
67,24,0.35,6.1682e-05,0.000876148,
68,24,0.35,3.7478e-05,0.000872991,
69,25,0.35,4.0551e-05,0.000917665,
70,25,0.35,4.083e-05,0.000923622,
71,25,0.35,4.0917e-05,0.000933843,
72,26,0.35,4.4222e-05,0.000919947,
73,26,0.35,4.6424e-05,0.000934038,
74,26,0.35,4.6382e-05,0.00101527,
75,27,0.35,4.8955e-05,0.000969914,
76,27,0.35,4.9751e-05,0.00099416,
77,27,0.35,5.0344e-05,0.00099552,
78,28,0.35,5.5691e-05,0.00106474,
79,28,0.35,5.488e-05,0.00108444,
80,29,0.35,5.8466e-05,0.00108798,
81,29,0.35,5.9214e-05,0.0010782,
82,29,0.35,6.2282e-05,0.00110708,
83,30,0.35,6.4144e-05,0.00111439,
84,30,0.35,6.4529e-05,0.00110139,
85,30,0.35,6.7976e-05,0.00117014,
86,31,0.35,7.2359e-05,0.00118464,
87,31,0.35,7.3695e-05,0.00113315,
88,31,0.35,7.282e-05,0.00115088,
89,32,0.35,7.8807e-05,0.00120078,
90,32,0.35,7.6413e-05,0.0012236,
91,32,0.35,7.6824e-05,0.00119062,
92,33,0.35,8.289e-05,0.00120342,
93,33,0.35,8.268e-05,0.00124101,
94,33,0.35,0.000156394,0.00123768,
95,34,0.35,8.9051e-05,0.00128075,
96,34,0.35,9.1862e-05,0.00137272,
97,34,0.35,9.6e-05,0.00132074,
98,35,0.35,9.8419e-05,0.0016046,
99,35,0.35,0.000187395,0.00130171,
100,36,0.35,0.000102989,0.00137566,
101,36,0.35,0.000102119,0.00139249,
102,36,0.35,0.000109066,0.00143979,
103,37,0.35,0.000213523,0.00146916,
104,37,0.35,0.000116334,0.00146723,
105,37,0.35,0.000115402,0.00149659,
106,38,0.35,0.000123994,0.00148229,
107,38,0.35,0.000119778,0.00151053,
108,38,0.35,0.000122134,0.0014964,
109,39,0.35,0.000127224,0.00158972,
110,39,0.35,0.000128542,0.00153688,
111,39,0.35,0.000130714,0.00160262,
112,40,0.35,0.000137783,0.00166402,
113,40,0.35,0.000147161,0.00169192,
114,40,0.35,0.00014484,0.0016347,
115,41,0.35,0.000148822,0.00168598,
116,41,0.35,0.000278859,0.00169688,
117,41,0.35,0.000149382,0.00171729,
118,42,0.35,0.000155863,0.00177363,
119,42,0.35,0.000304604,0.00176131,
120,43,0.35,0.00016904,0.00180907,
121,43,0.35,0.00017053,0.00185865,
122,43,0.35,0.000173223,0.00183713,
123,44,0.35,0.00017789,0.00187978,
124,44,0.35,0.000175986,0.00185019,
125,44,0.35,0.000182027,0.00189495,
126,45,0.35,0.000190626,0.00197004,
127,45,0.35,0.000189063,0.00201226,
128,45,0.35,0.000199248,0.0020025,
129,46,0.35,0.000209429,0.00201706,
130,46,0.35,0.000205975,0.00210049,
131,46,0.35,0.000216782,0.002111,
132,47,0.35,0.000220574,0.00214867,
133,47,0.35,0.000227611,0.00220498,
134,47,0.35,0.00022887,0.0021679,
135,48,0.35,0.000239383,0.00221006,
136,48,0.35,0.000237102,0.00224808,
137,48,0.35,0.000236417,0.0022737,
138,49,0.35,0.000247522,0.00233187,
139,49,0.35,0.000249958,0.00233689,
140,50,0.35,0.000263592,0.00238269,
141,50,0.35,0.000279642,0.00238011,
142,50,0.35,0.000264658,0.00242003,
143,51,0.35,0.00027817,0.00247429,
144,51,0.35,0.000280413,0.00248354,
145,51,0.35,0.000279422,0.00249651,
146,52,0.35,0.000298447,0.00253591,
147,52,0.35,0.000295591,0.00252526,
148,52,0.35,0.000298631,0.00256272,
149,53,0.35,0.000311225,0.00269394,
150,53,0.35,0.000311979,0.00262828,
151,53,0.35,0.000315274,0.00262836,
152,54,0.35,0.000323841,0.00270384,
153,54,0.35,0.000328537,0.00274468,
154,54,0.35,0.000332565,0.00275969,
155,55,0.35,0.000346361,0.00277873,
156,55,0.35,0.000346523,0.00280442,
157,55,0.35,0.00034565,0.0028589,
158,56,0.35,0.000361068,0.00289882,
159,56,0.35,0.000363664,0.0028733,
160,57,0.35,0.000364201,0.00284657,
161,57,0.35,0.000385495,0.00290644,
162,57,0.35,0.000376279,0.0029094,
163,58,0.35,0.000402075,0.00299425,
164,58,0.35,0.00040152,0.00297544,
165,58,0.35,0.000404304,0.00304054,
166,59,0.35,0.000398146,0.00309053,
167,59,0.35,0.000410953,0.00310656,
168,59,0.35,0.000404992,0.00319402,
169,60,0.35,0.00043681,0.0032363,
170,60,0.35,0.000445045,0.00323064,
171,60,0.35,0.000438611,0.0033249,
172,61,0.35,0.000446034,0.00328402,
173,61,0.35,0.000470336,0.00339418,
174,61,0.35,0.000460978,0.00327647,
175,62,0.35,0.000489415,0.00344757,
176,62,0.35,0.000488016,0.00349365,
177,62,0.35,0.000492584,0.00350796,
178,63,0.35,0.00064056,0.00355467,
179,63,0.35,0.000509717,0.00361821,
180,64,0.35,0.000520854,0.0036388,
181,64,0.35,0.00053325,0.00368932,
182,64,0.35,0.000534408,0.00367695,
183,65,0.35,0.000565715,0.00372142,
184,65,0.35,0.000547699,0.00371794,
185,65,0.35,0.00053904,0.0036709,
186,66,0.35,0.000584508,0.00377253,
187,66,0.35,0.000565026,0.00381018,
188,66,0.35,0.000564632,0.00376602,
189,67,0.35,0.000593195,0.00386946,
190,67,0.35,0.000602015,0.00389689,
191,67,0.35,0.000583704,0.00391706,
192,68,0.35,0.000613899,0.00394876,
193,68,0.35,0.00061372,0.00399041,
194,68,0.35,0.00061956,0.00399237,
195,69,0.35,0.000630314,0.00407727,
196,69,0.35,0.000636341,0.00420713,
