Dimension,NNZ_per_row,Sparsity,Unzipper_Time,TACO_Time
3,2,0.45,7.95e-07,0.0672642,
4,2,0.45,1.008e-06,0.0647641,
5,3,0.45,6.12e-07,0.0665486,
6,3,0.45,6.65e-07,0.0657624,
7,4,0.45,1.955e-06,0.0685228,
8,4,0.45,1.098e-06,0.0674335,
9,5,0.45,1.009e-06,0.0667561,
10,5,0.45,2.578e-06,0.0658132,
11,5,0.45,1.356e-06,0.0657969,
12,6,0.45,3.699e-06,0.0658995,
13,6,0.45,3.407e-06,0.0650008,
14,7,0.45,2.112e-06,0.0653464,
15,7,0.45,5.214e-06,0.0669978,
16,8,0.45,6.079e-06,0.0629282,
17,8,0.45,2.398e-06,0.0654624,
18,9,0.45,3.659e-06,0.0642881,
19,9,0.45,6.046e-06,0.0647558,
20,9,0.45,8.524e-06,0.0639034,
21,10,0.45,3.569e-06,0.0612763,
22,10,0.45,8.602e-06,0.0666981,
23,11,0.45,9.476e-06,0.0604811,
24,11,0.45,9.876e-06,0.0643197,
25,12,0.45,2.1831e-05,0.0655921,
26,12,0.45,1.102e-05,0.0636425,
27,13,0.45,5.842e-06,0.0642801,
28,13,0.45,9.419e-06,0.066479,
29,14,0.45,9.861e-06,0.0667404,
30,14,0.45,1.1468e-05,0.065686,
31,14,0.45,7.696e-06,0.0643514,
32,15,0.45,1.8292e-05,0.063456,
33,15,0.45,1.5382e-05,0.0663381,
34,16,0.45,1.2926e-05,0.0649077,
35,16,0.45,2.4415e-05,0.0613659,
36,17,0.45,4.5165e-05,0.0640074,
37,17,0.45,1.2897e-05,0.0633598,
38,18,0.45,1.4172e-05,0.0661854,
39,18,0.45,1.4159e-05,0.0653836,
40,18,0.45,3.2108e-05,0.0639643,
41,19,0.45,3.7615e-05,0.0670388,
42,19,0.45,4.1408e-05,0.0656293,
43,20,0.45,3.9991e-05,0.0652571,
44,20,0.45,4.3565e-05,0.0632527,
45,21,0.45,2.2868e-05,0.0659815,
46,21,0.45,2.3244e-05,0.0656705,
47,22,0.45,4.0783e-05,0.0645943,
48,22,0.45,2.3304e-05,0.0682652,
49,23,0.45,9.2375e-05,0.069241,
50,23,0.45,4.2173e-05,0.0670534,
51,23,0.45,9.6455e-05,0.0642677,
52,24,0.45,0.00010775,0.0620353,
